company,pio_vs_igpa_mc_sc,mrv_vs_ipsa,price,ret_1m,ret_ytd,ret_1y,ret_5y,mkt_cap_bn,net_debt,FV,ebitda_prev,ebitda_ltm,ebitda_chg,net_income_prev,net_income_ltm,net_income_chg,ebitda_ltm,ebitda_ltm2,ebitda_2025e,ebitda_2026e,ebitda_2027e,Fv_ebitda_2024,Fv_ebitda_ltm,Fv_ebitda_2025e,Fv_ebitda_2026e,Fv_ebitda_2027e,ni_2024,ni_ltm,ni_2025e,ni_2026e,ni_2027e,pe_2024,pe_ltm,pe_2025e,pe_2026e,pe_2027e,peg_2026e,p_ce_ltm,p_bv_ltm,roe_ltm,fv_s_2025e,fv_s_ltm,leverage_ltm,div_policy,div_yield_2026e,roic_ltm,fv_ic_ltm,recommendation,rec_date,roe_2026e,div_yield_2026e_b,div_yield_ltm,div_yield_lagged,div_yield_2022,sector,target_price
Chile,,-0.040564,172.9,0.042092,0.059188,0.731816,0.263369,19735.427485,,,NA,NA,NA,1047.847778,1067.896988,0.019134,NA,NA,NA,NA,NA,,NA,NA,NA,NA,1391.31873,1411.367941,1373.509317,1479.273911,1570.578778,9.28281,13.983191,14.368616,13.341294,12.565704,1.732564,NA,3.014405,0.223721,0.211975,NA,NA,0.8,0.055677,NA,NA,Mantener,2025-12-12 00:00:00,0.225945,0.055677,0.057212,0.087686,0.085078,Bancos,187
BCI,,0.065539,52900,0.087764,0.057712,1.334517,0.244474,13066.853448,,,NA,NA,NA,727.37494,884.003879,0.215335,NA,NA,NA,NA,NA,,NA,NA,NA,NA,923.759307,1080.388246,1140.370057,1303.638664,1398.282252,7.406897,12.094591,11.458433,10.023371,9.344933,0.700095,NA,1.5147,0.141645,0.141419,NA,NA,0.3,0.026182,NA,NA,Mantener,2025-12-12 00:00:00,0.151117,0.026182,0.024804,0.046399,0.05,Bancos,54335
Itaucl,-0.067726,-0.020188,18000,0.169298,0.074537,1.199286,0.193807,4400.150827,,,NA,NA,NA,324.270836,347.270475,0.070927,NA,NA,NA,NA,NA,,NA,NA,NA,NA,425.567424,448.567062,440.794387,460.694269,514.964023,5.818836,9.809349,9.98232,9.55113,8.544579,2.115633,NA,1.047305,0.117138,0.113755,NA,NA,0.3,0.030053,NA,NA,Mantener,2025-09-23 00:00:00,0.109652,0.030053,0.030583,0.052689,0.053401,Bancos,16312
Nubank,,,17.25,0.008284,0.001175,0.537906,ND,83081.0715,,,NA,NA,NA,1419.472,1976.873,0.392682,NA,NA,NA,NA,NA,,NA,NA,NA,NA,1972.112,2529.513,2438.617676,3410.660553,4570.326995,0.036764,32.84469,34.06892,24.359232,18.178365,0.611114,NA,7.873497,0.330858,0.29615,NA,NA,0,0,NA,NA,Vender,2025-02-20 00:00:00,0.323224,0,0,0,0,Bancos,13
ILC,0.014382,-0.007634,16000,0.161816,0.063655,1.612795,0.443201,1789.830508,452.011184,2241.841692,,NA,NA,127.834799,214.852044,0.680701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170.826557,257.843802,274.043529,251.427501,273.512147,5.0986,6.94153,6.531191,7.118674,6.543879,-0.862586,NA,1.274078,0.201427,0.210207,NA,NA,0.35,0.053589,0.142542,1.127936,Comprar,2025-12-30 00:00:00,0.178977,0.053589,0.050421,0.107348,0.110124,Conglomerados,20900
Bicecorp,0.025491,,358.1,0.14455,0.122667,0.755483,0.272018,4118.778208,916.227243,5035.005451,,NA,NA,163.341371,221.844151,0.358163,NA,NA,NA,NA,NA,,NA,NA,NA,NA,224.82546,283.328241,221.835007,354.609282,464.430986,8.082327,14.537126,18.566854,11.614976,8.86844,0.194059,NA,1.462752,0.176773,0.148058,NA,NA,0.5,0.02693,0.132472,1.315744,Comprar,2025-10-20 00:00:00,0.125937,0.02693,0.034395,0.071876,0.061041,Grup. Financ.,352
Banvida,,,600.01,0.150296,0.085904,0.541328,0.337501,1084.80839,58.918419,1143.726809,,NA,NA,98.62692,128.547728,0.303374,NA,NA,NA,NA,NA,,NA,NA,NA,NA,138.364169,168.284977,142.459426,149.582398,157.061517,6.15122,6.446258,7.614859,7.252246,6.906901,1.450449,NA,1.304418,0.229139,0.188102,NA,NA,0.5,0.065661,-0.000896,1.284278,,,0.179864,0.065661,0.077564,0.099422,0.083691,Grup. Financ.,
Andina-A,0.01985,0.0137,3554.7,-0.016563,0.024658,0.565575,0.286083,1901.01862,551.699537,2452.718157,218.150485,326.665082,0.083174,75.134969,95.133159,0.266164,326.665082,344.809534,353.896482,381.544113,402.140829,5.469203,7.113255,6.930609,6.4284,6.099152,131.449068,151.447257,149.819799,165.198296,172.256373,9.932237,12.552348,12.688701,11.507495,11.035984,1.121079,7.849198,2.963204,0.276526,0.271586,1.274255,1.600012,0.761905,0.060046,0.176305,2.019052,Mantener,2025-11-17 00:00:00,#N/A,0.060046,0.060698,0.098983,0.087431,Bebidas,3400
Andina-B,-0.079461,0.007858,4190,0.030038,0.048135,0.488981,0.277082,2240.732949,551.690214,2792.423163,218.146799,326.659561,0.083174,75.1337,95.131551,0.266164,326.659561,344.803707,353.890501,381.537665,402.134034,6.465718,8.098588,7.890642,7.318866,6.944011,131.446846,151.444698,149.817267,165.195504,172.253462,12.408685,14.795717,14.95644,13.564128,13.008348,1.321439,9.252016,3.492791,0.276526,0.271581,1.450765,1.600012,0.838095,0.056036,0.176305,2.298732,Mantener,2025-11-17 00:00:00,#N/A,0.056036,0.056644,0.079166,0.07698,Bebidas,4255
CCU,-0.042241,0.022688,6225,0.046264,0.089484,0.094646,0.060827,2599.045625,901.468252,3500.513877,230.94718,437.298147,0.100879,98.069419,70.119863,-0.284998,437.298147,460.595929,445.053354,495.961718,533.436111,7.373194,7.599967,7.86538,7.058032,6.562199,181.857783,153.908227,171.60592,196.485592,231.761229,13.178153,16.886983,15.145431,13.227665,11.214324,0.91237,6.815,1.553485,0.09638,0.099576,1.024358,1.957178,0.5,0.033013,0.077784,1.280973,Comprar,2025-12-30 00:00:00,0.117442,0.033013,0.029609,0.034776,0.035803,Bebidas,7300
Embonor-A,,,1330,0,0,0.14449,0.20089,367.32151,141.779922,509.101432,62.251699,101.946556,-0.025123,17.999688,16.294555,-0.094731,101.946556,100.382614,90.314304,80.8854,90.681097,5.070939,5.07161,5.636997,6.294108,5.614196,40.159098,38.453966,30.713075,29.413009,35.485818,8.383977,9.55224,11.959776,12.488403,10.35122,-2.950291,4.750223,1.251322,0.129682,0.09343,0.697975,1.412395,0.585366,0.048945,0.097388,1.169429,Vender,2025-05-19 00:00:00,#N/A,0.048945,0.06128,0.067919,0.053397,Bebidas,1130
Embonor-B,0.013293,,1409.5,0.124844,0.015875,0.443722,0.187484,424.335193,154.548212,578.883405,67.857907,111.127568,-0.025123,19.620687,17.761996,-0.094731,111.127568,109.422782,98.447749,88.169705,98.847574,5.015132,5.290337,5.880108,6.565559,5.856324,43.775711,41.917019,33.479006,32.06186,38.681568,8.242307,10.12322,12.674665,13.23489,10.969958,-3.126643,5.034165,1.32612,0.129682,0.101844,0.728078,1.412395,0.614634,0.048493,0.097388,1.219864,Vender,2025-05-19 00:00:00,#N/A,0.048493,0.060715,0.071674,0.057031,Bebidas,1250
Cencosud,,-0.030676,2835.2,0.088136,0.095563,0.462661,0.260654,8454.83379,6084.147937,14538.981727,1202.798803,1674.319697,-0.048172,109.101277,154.278476,0.414085,1674.319697,1616.378437,1646.975888,1857.287395,2073.602541,7.377719,8.994788,8.827683,7.828073,7.01146,153.919495,199.096694,559.577792,568.758785,714.410853,45.132861,42.465968,15.109309,14.865412,11.834694,9.060408,11.462885,1.594324,0.040928,0.105839,0.757464,3.764062,0.3,0.019855,0.072358,1.200245,Mantener,2025-11-05 00:00:00,0.107251,0.019855,0.007064,0.010391,0.024165,Retail,3450
Falabella,,-0.05417,5960,-0.006275,0.049397,0.870732,0.197153,16895.722021,3357.33193,20253.053951,1073.020001,1636.087982,0.427812,236.182321,587.892981,1.489149,1636.087982,2095.138369,2162.773545,2345.997102,2556.642409,8.313846,9.66669,9.36439,8.633026,7.921739,470.706519,822.417179,821.57173,910.382718,1048.453005,21.169257,20.54398,20.565121,18.558922,16.114906,1.716847,11.005088,1.962985,0.111235,0.106481,1.381682,1.602439,0.3,0.014588,0.087441,1.439373,Mantener,2025-11-17 00:00:00,0.10577,0.014588,0.014603,0.026753,0.024735,Retail,6500
Mercado Libre,,,2031.61,0.066477,0.089274,0.235575,0.036374,102104.149509,-1359,100745.149509,2277.127762,3249.501996,0.270505,1258.127762,1439.102946,0.143845,3249.501996,3865.47718,4047,5505,7155,0.343778,26.062798,24.893785,18.300663,14.080384,1897.501996,2078.47718,2155,3179,4294,0.053285,49.124499,47.380116,32.118323,23.77833,0.675928,32.574539,16.420738,0.51936,0.459914,3.846262,-0.351574,0,0,0.389219,20.733721,Comprar,2025-12-30 00:00:00,0.511258,0,0,0,0,Retail,2867
SMU,-0.022139,-0.006599,153.95,0.090188,0.057692,0.08834,0.168829,1002.537307,1270.397731,2272.935038,186.984212,262.094078,-0.060451,37.502699,58.503066,0.559969,262.094078,250.790703,261.474664,289.157105,318.697718,8.573474,9.063075,8.692754,7.860554,7.131946,55.699107,76.699473,66.975015,101.622456,123.654323,18.588418,13.07098,14.968825,9.865313,8.10758,0.190701,4.773421,1.057073,0.084839,0.07298,0.712193,5.065569,0.75,0.050104,0.042384,1.024395,Mantener,2025-10-07 00:00:00,0.10715,0.050104,0.057379,0.05969,0.048516,Retail,180
Ripley,-0.029618,-0.008829,449.74,-0.013029,0.02862,0.650529,0.195063,983.864588,1687.516808,2671.381396,105.690575,195.752459,0.345538,13.45205,38.324402,1.848964,195.752459,232.272616,213.60339,270.142373,270.142373,9.49542,11.50106,12.506269,9.888791,9.888791,56.948585,81.820938,52.543503,86.319774,86.319774,10.415604,12.024607,18.724762,11.397905,11.397905,0.17731,5.986868,0.785992,0.074363,0.044141,1.090984,7.265242,0.3,0.016022,0.044782,0.908388,Mantener,2025-11-17 00:00:00,0.068959,0.016022,0.024949,0.042341,0.026575,Retail,580
Nuevapolar,,,9.795,-0.009251,-0.05153,0.215812,-0.00865,62.002155,374.137542,436.139697,15.213698,33.654211,0.408909,-0.77387,-20.011997,NM,33.654211,39.875224,34.663838,35.703753,36.774865,12.747039,10.937611,12.58198,12.215514,11.859722,7.428694,-11.809433,7.651555,7.881101,8.117534,7.754098,NM,8.10321,7.867194,7.638053,2.622398,3.615995,1.304172,NM,0.11288,0.781122,9.382707,0.3,0.037022,0.016538,1.034293,,,0.165773,0.037022,0,0,0.03985,Retail,
Hites,,,137,-0.043111,0.012621,0.948387,0.080474,58.37975,231.49102,289.87077,1.033011,9.052907,16.428569,-26.566316,-12.088251,NM,9.052907,26.023805,20.306676,20.306676,20.306676,25.635194,11.138678,14.274654,14.274654,14.274654,-38.898592,-24.420527,-14.475262,-14.475262,-14.475262,-0.681503,NM,NM,NM,NM,,13.592838,0.545757,NM,NM,0.814532,8.895357,0.3,0,-0.004854,0.856424,,,NM,0,0,0,0,Retail,
Forus,0.037057,0.021652,2170,-0.064,0.006452,0.421214,0.181402,633.760147,29.675251,663.435398,51.778522,74.635301,0.062601,21.575032,20.058507,-0.070291,74.635301,77.876701,77.579768,87.753261,96.697497,6.803455,8.519049,8.551655,7.560236,6.860937,34.003615,32.48709,32.62315,37.810564,41.985031,14.73778,19.508061,19.4267,16.761457,15.094907,1.054112,9.782129,2.161623,0.122816,0.12175,1.48953,0.381054,0.4,0.02059,0.124785,2.049935,Mantener,2025-07-30 00:00:00,0.128964,0.02059,0.020504,0.024211,0.026039,Retail,2200
Tricot,0.014645,,655,-0.004594,0,0.599894,0.144132,317.29347,139.31505,456.608519,33.748715,54.210381,0.101394,9.27678,12.020318,0.295742,54.210381,57.632292,52.730169,55.366678,55.366678,5.991704,7.92279,8.659341,8.246991,8.246991,19.548427,22.291965,16.999322,17.849288,17.849288,10.606004,14.233535,18.665066,17.776253,17.776253,3.555251,6.95029,1.928823,0.143306,0.105636,1.556947,2.417309,0.6,0.032146,0.09517,1.502911,Mantener,2025-11-17 00:00:00,0.108506,0.032146,0.042154,0.062752,0.049195,Retail,720
Zofri,,,1009.4,0.037473,0.025587,0.366981,0.295088,251.573566,-53.979862,197.593704,13.414569,19.658652,0.234043,14.567668,16.380924,0.124471,19.658652,22.798241,20.975141,20.975141,20.975141,-2.529449,8.667059,9.420375,9.420375,9.420375,20.910006,22.723262,18.101695,18.101695,18.101695,0,11.071191,13.897791,13.897791,13.897791,,9.5538,3.200811,0.314058,0.291976,3.059845,-2.367721,0.8,0.057563,0.828686,8.026735,,,0.230311,0.057563,0.07226,0.087062,#DIV/0!,Retail,
Mallplaza,,0.016353,3145,0.045802,0.070346,1.173456,0.270264,7782.542373,1587.233139,9369.775512,307.709908,430.09799,0.414606,203.660776,289.37695,0.420877,430.09799,557.676416,627.885671,678.041327,733.89339,13.21078,16.801456,14.922741,13.818886,12.767216,286.644933,372.361107,411.853956,444.515532,484.207882,14.072486,20.900524,18.896364,17.50792,16.07273,2.207703,21.702457,1.855444,0.106689,0.115423,13.358767,2.846154,0.4,0.021168,0.091549,1.60896,Mantener,2025-10-28 00:00:00,0.105977,0.021168,0.019138,0.039337,0.04084,Real Estate,2800
Cencoshopp,-0.057414,-0.017114,2450,0.036694,0.068532,0.653373,0.243908,4722.357222,792.231798,5514.589019,255.946551,356.528955,0.081396,190.115989,190.236244,0.000633,356.528955,377.362046,374.108183,412.457146,412.457146,10.71227,14.613523,14.740627,13.37009,13.37009,256.790453,256.910708,254.454232,282.327593,282.327593,11.872386,18.381317,18.558769,16.726517,16.726517,1.526954,15.148439,1.405146,0.080595,0.079629,13.04898,2.099394,0.3,0.016165,0.071554,1.325409,Mantener,2025-10-28 00:00:00,0.084007,0.016165,0.016321,0.026166,0.025039,Real Estate,2250
Parauco,-0.094187,-0.028076,2980,0.073859,0.097804,1.13602,0.243727,3049.755173,1861.425026,4911.180199,183.85299,261.760163,0.190929,75.580681,91.957266,0.216677,261.760163,296.863046,292.375531,335.147443,335.147443,11.470751,16.543589,16.797508,14.65379,14.65379,119.558925,135.93551,119.649233,139.895685,139.895685,13.52458,22.435309,25.489133,21.800209,21.800209,1.288314,21.512063,1.726873,0.090403,0.072306,12.137242,6.270316,0.3,0.01177,0.06767,1.224751,Mantener,2025-10-28 00:00:00,0.079214,0.01177,0.013372,0.025347,0.022199,Real Estate,2900
Quinenco,0.01172,0.076659,4435.7,-0.001051,0.064222,0.546057,0.472518,8333.901386,-555.486575,7778.414811,,,,442.76686,624.366024,0.410146,,,,,,,,NM,NM,,750.543738,932.142902,744.439233,513.497741,640.027209,8.260838,8.940583,11.194871,16.229675,13.021167,-0.523163,5.11114,0.804493,0.096583,0.070247,1.260227,NA,1,0.090848,0.005832,0.42847,Mantener,2025-05-19 00:00:00,0.049569,0.090848,0.11185,0.159682,0.122113,Conglomerados,4170
SK,0.038872,,1520,0.031937,0.032518,0.623213,0.190476,1844.114684,895.685896,2739.80058,268.716386,328.061985,0.088963,51.842,79.296,0.529571,328.061985,351.967757,400.832636,446.977158,481.216196,6.40648,7.784237,6.835273,6.129621,5.693492,103.056,130.51,103.418071,140.717552,165.972668,12.302329,14.130064,17.831648,13.105079,11.110954,0.363357,5.879624,1.189489,0.086687,0.064333,0.916492,2.544795,0.3,0.016824,0.089013,0.894788,Comprar,2025-12-30 00:00:00,0.090765,0.016824,0.022845,0.033071,0.024471,Conglomerados,1905
Cristales,0.013761,,2600,-0.046154,0,-0.084019,-0.073453,188.022599,267.858149,455.880748,42.157144,55.095299,-0.417267,-2.272794,-7.571636,NM,55.095299,37.50452,43.371909,61.95742,79.410774,8.175906,12.155355,10.510968,7.357969,5.740792,1.611042,-3.6878,-3.240371,7.785384,20.95107,121.82593,NM,NM,24.150717,8.974368,-0.070977,4.07597,0.499145,NM,NM,1.254375,7.142023,0.3,0,-0.001943,0.615606,Comprar,2025-04-17 00:00:00,0.020668,0,0,0,0,Conglomerados,4000
Elecmetal,,,8852,0.141211,0.141211,0.537431,0.026769,438.098983,750.272793,1188.371777,118.870448,165.040048,0.081482,46.659652,55.143964,0.181834,165.040048,174.725817,134.015458,134.015458,134.015458,4.501014,6.801352,8.867423,8.867423,8.867423,75.061939,83.546251,99.252767,99.252767,99.252767,4.699793,5.24379,4.413972,4.413972,4.413972,,2.801481,0.615958,0.130802,0.14293,0.849866,4.294001,0.4,0.090621,0.068132,0.71007,,,0.139547,0.090621,0.076281,0.09377,0.112539,Conglomerados,
Salfacorp,-0.010742,-0.0068,1149,0.048668,0.066458,1.455954,0.289794,713.938988,550.358853,1264.297841,74.048892,94.728985,-0.143912,37.963228,44.225099,0.164946,94.728985,84.072454,91.424258,115.778053,124.844489,8.551879,15.038194,13.82891,10.920013,10.126982,48.621919,54.88379,59.566522,67.231638,74.689266,7.055099,13.008194,11.985574,10.619093,9.55879,0.825222,9.814441,1.159948,0.095747,0.102166,1.064683,6.546245,0.3,0.02503,0.043049,1.084475,Comprar,2025-10-28 00:00:00,0.109232,0.02503,0.023062,0.048713,0.052094,Construcción,1195
Besalco,-0.016149,,1203.8,0.07912,0.112587,1.472533,0.33887,783.725032,411.746576,1195.471608,107.99322,162.011159,0.069895,30.596769,41.498436,0.356301,162.011159,169.559336,200.257752,218.595624,225.153493,4.784016,7.050462,5.969665,5.468873,5.309585,51.045297,61.946964,63.028931,76.702679,74.442792,7.233424,12.651549,12.43437,10.217701,10.527883,0.470983,5.965217,1.915389,0.176093,0.170256,0.982636,2.428333,0.3,0.024127,0.105469,1.409763,Comprar,2025-04-30 00:00:00,0.187458,0.024127,0.023713,0.054894,0.051211,Construcción,876
EISA,0.02978,,465,0.026634,0.008275,1.68042,0.258253,316.511728,200.582947,517.094674,38.771896,56.999362,0.08475,15.801702,18.201931,0.151897,56.999362,60.285267,64.37058,66.827345,66.827345,5.396557,8.577464,8.03309,7.737771,7.737771,28.386377,30.786607,31.49758,33.140469,33.140469,4.000858,10.280825,10.048763,9.550611,9.550611,1.83105,7.193614,1.557933,0.173177,0.176547,0.772558,3.32723,0.5,0.049757,0.088839,1.274999,Comprar,2025-04-30 00:00:00,0.163124,0.049757,0.048634,0.142888,0.138671,Construcción,354
Socovesa,0.012227,,143.96,-0.126887,0.030338,0.690024,-0.052113,199.093539,616.954341,816.04788,22.882725,41.134738,-0.071637,-23.551667,-11.363319,NM,41.134738,39.495477,41.500967,33.057587,40.449726,19.223834,20.661806,19.663346,24.685646,20.174373,-22.383525,-10.195177,-16.605424,-9.152802,-6.379446,-5.075064,NM,NM,NM,NM,,NM,0.534876,NM,NM,2.10023,15.620886,0.3,0,0.023553,0.821764,Mantener,2025-04-30 00:00:00,NM,0,0,0,0,Construcción,148
Paz,,,842.45,0.014928,0.045313,0.80994,0.121079,269.77077,370.857488,640.628258,20.944633,52.910734,1.011221,5.096955,12.594544,1.470994,52.910734,74.090395,40.850274,48.047349,48.047349,11.555557,8.646576,15.682349,13.33327,13.33327,15.676945,23.174533,16.07239,23.386356,23.386356,8.986951,11.640829,16.784732,11.535392,11.535392,0.253489,11.348666,0.926728,0.086372,0.058044,2.563471,5.005473,0.3,0.017873,0.038185,0.96463,,,0.080338,0.017873,0.025771,0.046194,0.034224,Construcción,
Manquehue,,,137.93,-0.027161,0.073653,0.492279,0.062984,92.195839,124.460435,216.656274,-0.001105,5.842946,NM,-0.710383,-2.230793,NM,5.842946,5.841529,8.675347,13.771529,13.771529,29.827898,37.088968,24.973787,15.732187,15.732187,0.016384,-1.504026,2.311373,7.256907,7.256907,3577.893791,NM,39.887904,12.704563,12.704563,0.059377,NM,0.57383,NM,0.014154,2.959242,21.306141,0.3,0.007521,0.003219,0.68277,,,0.045167,0.007521,0,0,0.011829,Construcción,
