page_num,report_date,currency,group,FUND,Date,Manager,Incep,NAV,AUM_USD_mm,MTD,YTD,1_year,3_years,5_years,10_years,CUMULATIVE S. INCEP. PIONERO,ANNUALIZED S. INCEP. PIONERO,sigma,Sharpe,Alpha,Beta,Mgmt_Fee,ANNUALIZED S. INCEP. ORANGE,CUMULATIVE S. INCEP. MRV A,ANNUALIZED S. INCEP. MRV A,CUMULATIVE S. INCEP. MSC,ANNUALIZED S. INCEP. MSC,ANNUALIZED S. INCEP. MLE LX,ANNUALIZED S. INCEP. MDELA,ANNUALIZED S. INCEP. GLORY
1,20/Feb/2026,CLP,Moneda,Pionero A,,Moneda,,"15,607.8",584.3,−6.0%,7.0%,72.8%,32.0%,22.0%,15.0%,"8,557.6%",15.0%,14.5%,1.50,12.6%,0.66,0.85%,,,,,,,,
1,20/Feb/2026,CLP,Moneda,Pionero AE,,Moneda,,"15,775.3",1.6,−6.0%,7.1%,73.1%,32.2%,22.2%,,,,14.5%,1.51,12.8%,0.66,0.85%,,,,,,,,
1,20/Feb/2026,CLP,Moneda,Pionero I,,Moneda,,"15,619.7",199.8,−6.0%,7.0%,,,,,,,,,,,0.75%,,,,,,,,
1,20/Feb/2026,CLP,Moneda,Pionero R,,Moneda,,"14,972.5",53.7,−6.0%,6.3%,67.5%,,,,,,,,,,1.80%,,,,,,,,
1,20/Feb/2026,CLP,Peer Group,Compass SC Chile - I,,Compass,,"148,903.8",389.0,−3.9%,5.0%,56.2%,26.9%,17.0%,11.8%,,,14.4%,1.24,8.5%,0.66,0.50%,,,,,,,,
1,20/Feb/2026,CLP,Peer Group,LarrainVial SC Chile,,LarrainVial,,"16,398.3",109.9,−5.8%,4.9%,75.7%,32.3%,18.4%,,,,15.9%,1.39,11.8%,0.71,0.50%,,,,,,,,
1,20/Feb/2026,CLP,Peer Group,Toesca SC Chile,,Toesca,,"17,326.2",92.3,−3.6%,6.4%,58.0%,27.1%,14.8%,,,,14.3%,1.26,10.9%,0.58,0.50%,,,,,,,,
1,20/Feb/2026,CLP,Peer Group,Siglo XXI,BICE,,,"68,725.9",69.8,−4.0%,6.9%,55.4%,26.6%,15.8%,10.9%,,,14.7%,1.20,8.0%,0.66,0.50%,,,,,,,,
1,20/Feb/2026,CLP,Indices,MSCI Chile SC Net,,,,1.2,,−3.8%,6.1%,38.8%,27.4%,18.4%,10.2%,"1,430.9%",8.9%,,,,,,,,,,,,,
1,20/Feb/2026,CLP,Indices,IGPA Small Cap,,,,"97,586.3",,−5.4%,2.1%,41.7%,26.3%,21.2%,14.9%,,,13.6%,1.25,,,,,,,,,,,
1,20/Feb/2026,CLP,Indices,IGPA Mid Cap,,,,"56,551.5",,−3.1%,8.5%,51.3%,32.5%,24.2%,11.9%,,,14.3%,1.60,,,,,,,,,,,
1,20/Feb/2026,CLP,Indices,IGPA SC & MC,,,,"2,273.3",,−3.9%,6.2%,47.6%,30.4%,23.3%,13.2%,,,13.3%,1.56,,,,,,,,,,,
1,20/Feb/2026,CLP,Indices,Moneda 500,,,,"6,525.9",,−3.5%,6.0%,51.4%,30.2%,20.2%,11.2%,"2,080.3%",10.1%,12.7%,1.60,,,,,,,,,,,
1,20/Feb/2026,CLP,Indices,IPSA,,,,"10,855.1",,−4.9%,3.6%,48.2%,26.7%,18.6%,11.2%,"1,296.1%",8.6%,15.1%,1.18,,,,,,,,,,,
1,20/Feb/2026,CLP,Indices,MSCI EM Latam SC Net,,,,1.3,,3.9%,12.5%,37.4%,18.9%,12.4%,11.9%,,,,,,,,,,,,,,,
1,20/Feb/2026,CLP,Indices,UF,,,,"39,745.3",,0.1%,0.0%,3.2%,3.9%,6.3%,4.5%,269.3%,4.2%,,,,,,,,,,,,,
1,20/Feb/2026,CLP,Indices,U.S. Dollar (Obs) USD/CLP,,,,867.1,,−0.2%,4.6%,8.9%,−3.0%,−4.0%,−2.1%,−50.4%,−2.2%,,,,,,,,,,,,,
2,20/Feb/2026,CLP,Moneda,MRV A,,Moneda,,"31,507.5",50.1,−5.9%,1.0%,46.6%,24.6%,18.0%,11.0%,,,15.1%,1.03,−1.5%,0.97,0.80%,6.7%,129.2%,5.8%,,,,,
2,20/Feb/2026,CLP,Moneda,MRV AE,,Moneda,,"31,820.7",0.2,−5.9%,1.0%,46.9%,24.8%,18.2%,,,,15.1%,1.04,−1.4%,0.97,0.80%,,,,,,,,
2,20/Feb/2026,CLP,Moneda,MRV E,,Moneda,,"32,134.1",27.3,−5.9%,1.0%,47.3%,24.9%,18.5%,,,,15.1%,1.04,−1.3%,0.97,0.65%,,,,,,,,
2,20/Feb/2026,CLP,Moneda,MRV I,,Moneda,,"32,632.4",12.8,−5.9%,1.0%,47.3%,24.9%,18.5%,,,,15.1%,1.04,−1.3%,0.97,0.65%,,,,,,,,
2,20/Feb/2026,CLP,Moneda,MRV R,,Moneda,,"30,973.7",3.1,−6.0%,0.9%,45.9%,,,,,,,,,,1.30%,,,,,,,,
2,20/Feb/2026,CLP,Moneda,Orange,,Moneda,,"26,103.9",595.0,−5.5%,1.1%,45.1%,23.6%,18.3%,12.0%,,,14.7%,1.00,−1.7%,0.94,,7.6%,,,,,,,
2,20/Feb/2026,CLP,Peer Group,MBI Arbitrage,MBI,,,"58,025.8",75.2,−4.8%,−0.7%,27.5%,20.2%,14.6%,8.5%,,,14.1%,0.86,−3.0%,0.89,0.85%,,,,,,,,
2,20/Feb/2026,CLP,Peer Group (Mutual Funds),FM BTG Chile Acción,BTG,Pactual,,"1,870.1",304.8,−6.2%,1.7%,50.6%,31.2%,22.5%,,,,15.7%,1.36,3.0%,1.02,1.00%,,,,,,,,
2,20/Feb/2026,CLP,Peer Group (Mutual Funds),FM ETF Itau Now IPSA,Itau,,,"5,164.5",243.2,−5.0%,3.5%,47.8%,26.2%,18.1%,10.9%,,,15.2%,1.14,−0.6%,1.00,0.47%,,,,,,,,
2,20/Feb/2026,CLP,Peer Group (Mutual Funds),FM Security Index Fund Chile,20-Jan,Security,,"1,421.2",170.8,0.0%,6.5%,47.0%,23.1%,12.9%,8.2%,,,14.3%,1.01,−1.6%,0.93,0.63%,4.6%,,,,,,,
2,20/Feb/2026,CLP,Peer Group (Mutual Funds),FM Principal Capitales Acc Chilenas,,Principal,,"1,872.4",154.1,−5.9%,3.5%,47.7%,28.0%,23.0%,,,,14.2%,1.32,3.4%,0.90,1.09%,,,,,,,,
2,20/Feb/2026,CLP,Peer Group (Mutual Funds),FM Toesca Chile Equities,,Toesca,,"2,133.8",141.4,−5.5%,3.3%,53.3%,27.6%,25.6%,,,,14.9%,1.22,1.4%,0.95,1.10%,,,,,,,,
2,20/Feb/2026,CLP,Peer Group (Mutual Funds),FM Compass Acciones Chilenas,,Compass,,"2,347.2",126.8,−7.2%,3.3%,49.7%,28.7%,23.7%,,,,14.9%,1.30,3.1%,0.94,0.80%,,,,,,,,
2,20/Feb/2026,CLP,Peer Group (Mutual Funds),FM Santander Acciones Chilenas III,,Santander,,"1,756.2",105.5,−5.2%,3.5%,49.3%,27.3%,19.0%,,,,15.3%,1.19,0.2%,1.01,1.29%,,,,,,,,
2,20/Feb/2026,CLP,Peer Group (Mutual Funds),FM Credicorp Acciones Estratégicas,,Credicorp,,"2,254.9",43.0,−5.3%,3.5%,53.1%,30.1%,21.7%,11.7%,,,14.8%,1.38,3.6%,0.96,1.05%,,,,,,,,
2,20/Feb/2026,CLP,Peer Group (Hedge Funds Chile),FM LarrainVial Enfoque,,LarrainVial,,"2,306.6",559.3,−6.9%,6.5%,70.5%,39.4%,26.7%,13.9%,,,16.4%,1.68,10.0%,1.00,0.84%,9.5%,204.8%,7.8%,,,,,
2,20/Feb/2026,CLP,Peer Group (Hedge Funds Chile),Falcom Tactical Chilean Equities,,Falcom,,"3,927.1",487.4,−6.2%,3.4%,57.5%,33.0%,26.8%,18.7%,,,16.6%,1.36,3.4%,1.06,1.50%,,,,,,,,
2,20/Feb/2026,CLP,Peer Group (Hedge Funds Chile),Arrayan Acciones Chilenas,,Arrayan,,"57,754.3",130.1,−4.2%,4.8%,31.5%,22.1%,22.8%,,,,11.6%,1.14,2.1%,0.73,0.80%,,,,,,,,
2,20/Feb/2026,CLP,Peer Group (Hedge Funds Chile),Quest Acciones Chile,,Quest,,"97,307.8",82.3,−5.6%,3.0%,47.5%,26.9%,22.4%,16.0%,,,15.4%,1.17,1.4%,0.95,1.26%,,,,,,,,
2,20/Feb/2026,CLP,Indices,IPSA,,,,"10,855.1",,−4.9%,3.6%,48.2%,26.7%,18.6%,11.2%,,,15.1%,1.18,,,,7.0%,125.4%,5.7%,,,,,
2,20/Feb/2026,CLP,Indices,MSCI TR Net Chile USD,,,,"441,823.5",,−5.5%,2.0%,45.9%,21.1%,13.6%,7.9%,,,,,,,,4.4%,62.3%,3.3%,,,,,
2,20/Feb/2026,CLP,Indices,MSCI Chile LC USD Net,,,,1.2,,−5.0%,2.4%,62.3%,16.4%,12.5%,8.0%,,,,,,,,4.3%,55.3%,3.0%,,,,,
2,20/Feb/2026,CLP,Indices,FTSE Chile All Cap TR,,,,"2,100.9",,−5.0%,3.5%,47.6%,25.1%,17.3%,10.3%,,,15.7%,1.04,,,,,,,,,,,
2,20/Feb/2026,CLP,Indices,FTSE Chile All Cap TR Gross Orange,,,,"2,405.3",,−5.2%,2.8%,49.8%,24.1%,19.0%,10.4%,,,15.7%,1.02,,,,6.5%,,,,,,,
2,20/Feb/2026,CLP,Indices,Dow Jones Sustainability Chile,,,,"1,726.7",,−5.3%,2.9%,44.4%,20.4%,11.7%,5.9%,,,15.6%,0.80,,,,,,,,,,,
2,20/Feb/2026,CLP,Indices,U.S. Dollar (Obs) USD/CLP,,,,867.1,,−0.2%,4.6%,8.9%,−3.0%,−4.0%,−2.1%,,,,,,,,−4.5%,−45.9%,−4.1%,,,,,
3,20/Feb/2026,USD,Moneda,MSC I (LX),,Moneda,,106.0,309.7,2.4%,15.8%,48.1%,12.8%,3.7%,7.6%,,,23.0%,0.49,−2.2%,1.01,1.20%,,,,96.5%,3.9%,,,
3,20/Feb/2026,USD,Peer Group (Small & Mid Cap),LarrainVial Small & Mid Cap (LX),,LarrainVial,,129.1,929.1,6.5%,19.7%,52.7%,14.9%,7.5%,9.4%,,,20.8%,0.59,1.0%,0.89,1.00%,,,,,,,,
3,20/Feb/2026,USD,Peer Group (Small & Mid Cap),Zurich AM SICAV SC Latam I,,Zurich,,153.4,68.7,5.2%,19.8%,53.1%,15.4%,6.3%,7.3%,,,22.8%,0.59,−0.0%,1.01,,,,,,,,,
3,20/Feb/2026,USD,Peer Group (Latam Specific Country),MSCI Brasil SC Net,,,,"1,777.8",,4.6%,19.5%,48.6%,13.4%,3.4%,13.8%,,,27.2%,0.48,−3.4%,1.18,,,,,53.4%,2.4%,,,
3,20/Feb/2026,USD,Peer Group (Latam Specific Country),MSCI Chile SC Net,,,,"1,347.2",,−4.0%,11.0%,51.2%,23.6%,13.7%,7.9%,,,20.6%,0.99,14.0%,0.67,,,,,42.1%,2.0%,,,
3,20/Feb/2026,USD,Peer Group (Latam Specific Country),MSCI Colombia SC Net,,,,"2,164.8",,−4.2%,18.9%,60.0%,,,,,,,,,,,,,,,,,,
3,20/Feb/2026,USD,Peer Group (Latam Specific Country),MSCI Mexico SC Net,,,,"1,595.1",,9.0%,17.2%,46.6%,13.1%,18.5%,9.6%,,,22.3%,0.48,2.0%,0.74,,,,,58.1%,2.6%,,,
3,20/Feb/2026,USD,Indices,MSCI EM Latam SC Net,,,,"1,489.1",,3.6%,17.7%,49.6%,15.4%,7.9%,9.6%,,,22.4%,0.59,,,,,,,41.2%,2.0%,,,
4,20/Feb/2026,USD,Moneda,MLE A (LX),,Moneda (LX),,218.9,3.5,3.0%,17.9%,57.3%,15.1%,6.9%,9.5%,,,21.2%,0.58,−4.2%,1.01,1.00%,,,,,,118.9%,7.9%,
4,20/Feb/2026,USD,Moneda,MLE I (LX),,Moneda (LX),,201.1,224.1,3.0%,18.0%,58.1%,15.7%,7.5%,,,,21.2%,0.60,−3.7%,1.01,1.00%,,,,,,,,
4,20/Feb/2026,USD,Peer Group (Large Cap),iShares Latam 40 ETF,,BlackRock,,37.1,"4,419.3",4.9%,21.8%,58.1%,20.3%,10.7%,9.6%,,,20.4%,0.81,0.6%,0.98,0.49%,,,,,,112.7%,7.6%,5.2%
4,20/Feb/2026,USD,Peer Group (Large Cap),DWS Invest Latam Equities,,Deutsche,,303.0,"2,755.9",2.3%,17.9%,60.9%,19.8%,13.1%,,,,20.6%,0.83,1.3%,0.97,0.30%,,,,,,,,
4,20/Feb/2026,USD,Peer Group (Large Cap),LV Latin American Equity,,LarrainVial,,162.7,"2,324.4",4.8%,19.9%,59.8%,20.8%,11.5%,,,,19.6%,0.87,2.0%,0.94,1.00%,,,,,,,,
4,20/Feb/2026,USD,Peer Group (Large Cap),BlackRock Global Funds Latam,,BlackRock,,90.4,853.4,2.0%,18.1%,47.4%,14.0%,7.2%,7.8%,,,23.4%,0.55,−5.0%,1.08,,,,,,,83.6%,6.1%,4.2%
4,20/Feb/2026,USD,Peer Group (Large Cap),Templeton Latin America Fund,,Templeton,,34.0,684.9,7.1%,22.3%,62.8%,19.1%,11.1%,10.4%,,,20.6%,0.77,−0.1%,0.98,,,,,,,140.3%,8.9%,6.8%
4,20/Feb/2026,USD,Peer Group (Large Cap),Schroder Latam Equities,,Schroder,,76.5,658.6,0.9%,17.2%,50.3%,15.8%,10.4%,10.8%,,,20.3%,0.64,−2.1%,0.94,,,,,,,146.5%,9.1%,7.1%
4,20/Feb/2026,USD,Peer Group (Large Cap),JPMorgan Latam (LX),,JPMorgan,,33.5,578.7,1.4%,17.9%,55.3%,20.4%,11.0%,11.1%,,,20.1%,0.85,1.8%,0.95,0.85%,,,,,,158.8%,9.7%,7.5%
4,20/Feb/2026,USD,Peer Group (Large Cap),Fidelity Latam I (LX),,Fidelity,,11.4,458.5,4.0%,20.8%,61.9%,19.5%,8.9%,9.6%,,,21.3%,0.76,−0.3%,1.00,,,,,,,124.3%,8.1%,6.4%
4,20/Feb/2026,USD,Peer Group (Large Cap),Amundi Latam Equity (LX),,Amundi,,"9,301.7",393.3,6.0%,23.1%,65.3%,23.5%,14.8%,11.8%,,,20.6%,0.95,3.5%,0.99,0.90%,,,,,,166.9%,10.0%,7.5%
4,20/Feb/2026,USD,Peer Group (Large Cap),BCI SICAV Latam Equity Fund,BCI,,,142.3,337.6,4.3%,19.2%,60.0%,18.6%,12.6%,,,,20.5%,0.72,−1.3%,0.99,1.00%,,,,,,,,
4,20/Feb/2026,USD,Peer Group (Large Cap),Handelsbanken Latinamerika,,Handelsbanken,,19.5,264.4,3.4%,17.1%,56.5%,20.2%,11.2%,,,,,,,0.00,,,,,,,,,
4,20/Feb/2026,USD,Peer Group (Large Cap),Threadneedle Latam (GB),,Threadneedle,,489.2,222.7,1.2%,17.6%,51.1%,15.9%,6.0%,8.4%,,,,,,0.00,1.00%,,,,,,97.4%,6.8%,4.6%
4,20/Feb/2026,USD,Peer Group (Large Cap),Santander SC Latam (LX),,Santander,,"1,512.2",113.5,4.8%,19.9%,60.2%,16.1%,9.2%,8.1%,,,20.6%,0.63,−3.2%,0.99,0.70%,,,,,,94.9%,6.7%,4.7%
4,20/Feb/2026,USD,Peer Group (Large Cap),All BTG Pactual Latam Equity,BTG,Pactual,,152.5,76.6,5.4%,17.7%,59.1%,15.6%,8.6%,7.9%,,,20.0%,0.65,−2.1%,0.94,0.90%,,,,,,97.3%,6.8%,5.4%
4,20/Feb/2026,USD,Peer Group (Large Cap),Ninety One Latam Equities (LX),,Ninety One,,23.4,41.8,5.4%,20.2%,63.6%,12.8%,7.0%,9.3%,,,21.4%,0.47,−5.6%,0.98,1.00%,,,,,,124.4%,8.1%,6.4%
4,20/Feb/2026,USD,Peer Group (Large Cap),Credicorp Latam Equities,,Credicorp,,"1,687.2",31.7,4.5%,20.9%,58.3%,16.5%,7.8%,,,,20.9%,0.64,−3.0%,1.01,,,,,,,,,
4,20/Feb/2026,USD,Peer Group (Latam Specific Country),iShares MSCI Brazil ETF,,BlackRock,,39.4,"9,592.0",6.3%,23.9%,53.6%,17.2%,7.9%,10.5%,,,24.4%,0.63,−3.6%,1.13,0.59%,,,,,,130.2%,8.4%,5.0%
4,20/Feb/2026,USD,Peer Group (Latam Specific Country),iShares MSCI Mexico ETF,,BlackRock,,81.2,"2,621.1",8.1%,17.2%,56.4%,14.5%,16.5%,6.6%,,,19.8%,0.52,−1.0%,0.77,0.47%,,,,,,64.2%,4.9%,4.2%
4,20/Feb/2026,USD,Peer Group (Latam Specific Country),iShares MSCI Chile ETF,,BlackRock,,43.6,"1,236.7",−3.7%,7.9%,54.3%,18.0%,10.1%,5.8%,,,19.8%,0.78,4.4%,0.75,0.59%,,,,,,66.9%,5.1%,3.8%
4,20/Feb/2026,USD,Peer Group (Latam Specific Country),iShares MSCI Peru ETF,,BlackRock,,89.7,576.2,3.5%,23.9%,116.8%,50.5%,22.7%,17.7%,,,21.7%,1.83,34.1%,0.71,0.59%,,,,,,363.1%,16.0%,13.1%
4,20/Feb/2026,USD,Indices,MSCI Latam 10/40 Net,,,,"1,206.9",,4.6%,20.6%,63.3%,19.8%,13.5%,11.5%,,,20.6%,0.79,,,,,,,,,155.7%,9.5%,7.4%
4,20/Feb/2026,USD,Indices,MSCI Latam ESG Leaders Net,,,,"1,690.9",,4.6%,20.0%,66.5%,16.9%,8.3%,8.2%,,,21.1%,0.67,,,,,,,,,94.7%,6.7%,4.4%
4,20/Feb/2026,USD,Indices,MSCI Latam TR Net,,,,878.7,,4.6%,20.6%,62.8%,19.6%,13.2%,11.3%,,,20.5%,0.79,,,,,,,,,152.1%,9.4%,7.2%
