page_num,report_date,currency,group,FUND,Date,Manager,Incep,NAV,AUM_USD_mm,MTD,YTD,1_year,3_years,5_years,10_years,CUMULATIVE S. INCEP. PIONERO,ANNUALIZED S. INCEP. PIONERO,sigma,Sharpe,Alpha,Beta,Mgmt_Fee,ANNUALIZED S. INCEP. ORANGE,CUMULATIVE S. INCEP. MRV A,ANNUALIZED S. INCEP. MRV A,CUMULATIVE S. INCEP. MSC,ANNUALIZED S. INCEP. MSC,ANNUALIZED S. INCEP. MLE LX,ANNUALIZED S. INCEP. MDELA,ANNUALIZED S. INCEP. GLORY
1,6/Feb/2026,CLP,Moneda,Pionero A,,Moneda,,"16,521.4",623.4,−0.5%,13.3%,82.2%,35.6%,24.5%,15.8%,"9,064.4%",15.2%,13.8%,1.69,14.9%,0.62,0.85%,,,,,,,,
1,6/Feb/2026,CLP,Moneda,Pionero AE,,Moneda,,"16,697.5",1.8,−0.5%,13.3%,82.5%,35.9%,24.7%,,,,13.8%,1.70,15.1%,0.62,0.85%,,,,,,,,
1,6/Feb/2026,CLP,Moneda,Pionero I,,Moneda,,"16,533.1",213.4,−0.5%,13.3%,,,,,,,,,,,0.75%,,,,,,,,
1,6/Feb/2026,CLP,Moneda,Pionero R,,Moneda,,"15,833.6",55.9,−0.6%,12.5%,76.4%,,,,,,,,,,1.80%,,,,,,,,
1,6/Feb/2026,CLP,Peer Group,Compass SC Chile - I,,Compass,,"154,843.8",406.7,−0.1%,9.1%,63.8%,30.9%,17.8%,12.5%,,,14.1%,1.36,9.8%,0.64,0.50%,,,,,,,,
1,6/Feb/2026,CLP,Peer Group,LarrainVial SC Chile,,LarrainVial,,"17,381.4",112.0,−0.2%,11.2%,88.2%,37.4%,19.9%,,,,15.2%,1.59,14.6%,0.67,0.50%,,,,,,,,
1,6/Feb/2026,CLP,Peer Group,Toesca SC Chile,,Toesca,,"17,988.3",96.6,0.0%,10.5%,65.6%,31.4%,15.6%,,,,14.0%,1.37,12.2%,0.56,0.50%,,,,,,,,
1,6/Feb/2026,CLP,Peer Group,Siglo XXI,BICE,,,"71,470.9",73.2,−0.1%,11.2%,63.2%,30.6%,16.6%,11.7%,,,14.3%,1.32,9.4%,0.64,0.50%,,,,,,,,
1,6/Feb/2026,CLP,Indices,MSCI Chile SC Net,,,,1.2,,−1.3%,8.8%,43.0%,28.9%,19.3%,10.9%,"1,470.7%",9.0%,,,,,,,,,,,,,
1,6/Feb/2026,CLP,Indices,IGPA Small Cap,,,,"102,334.1",,−0.8%,7.0%,49.6%,30.1%,23.1%,15.7%,,,13.1%,1.38,,,,,,,,,,,
