page_num,report_date,currency,group,FUND,Date,Manager,Incep,NAV,AUM_USD_mm,MTD,YTD,1_year,3_years,5_years,10_years,CUMULATIVE S. INCEP. PIONERO,ANNUALIZED S. INCEP. PIONERO,sigma,Sharpe,Alpha,Beta,Mgmt_Fee,ANNUALIZED S. INCEP. ORANGE,CUMULATIVE S. INCEP. MRV A,ANNUALIZED S. INCEP. MRV A,CUMULATIVE S. INCEP. MSC,ANNUALIZED S. INCEP. MSC,ANNUALIZED S. INCEP. MLE LX,ANNUALIZED S. INCEP. MDELA,ANNUALIZED S. INCEP. GLORY
1,6/Feb/2026,CLP,Indices,IGPA Mid Cap,,,,"57,310.8",,−1.8%,10.0%,54.3%,33.6%,25.0%,12.4%,,,14.2%,1.62,,,,,,,,,,,
1,6/Feb/2026,CLP,Indices,IGPA SC & MC,,,,"2,331.2",,−1.5%,8.9%,52.4%,32.4%,24.5%,13.8%,,,13.1%,1.65,,,,,,,,,,,
1,6/Feb/2026,CLP,Indices,Moneda 500,,,,"6,686.8",,−1.1%,8.6%,55.5%,32.5%,21.3%,11.7%,"2,134.1%",10.2%,12.4%,1.71,,,,,,,,,,,
1,6/Feb/2026,CLP,Indices,IPSA,,,,"11,210.8",,−1.8%,7.0%,53.5%,28.5%,20.3%,11.9%,"1,341.8%",8.7%,15.0%,1.23,,,,,,,,,,,
1,6/Feb/2026,CLP,Indices,MSCI EM Latam SC Net,,,,1.2,,0.1%,8.4%,33.5%,17.1%,10.6%,11.6%,,,,,,,,,,,,,,,
1,6/Feb/2026,CLP,Indices,UF,,,,"39,690.7",,−0.0%,−0.1%,3.4%,4.0%,6.4%,4.5%,268.8%,4.2%,,,,,,,,,,,,,
1,6/Feb/2026,CLP,Indices,U.S. Dollar (Obs) USD/CLP,,,,859.7,,0.6%,5.5%,12.6%,−2.2%,−3.0%,−2.0%,−50.0%,−2.1%,,,,,,,,,,,,,
2,6/Feb/2026,CLP,Moneda,MRV A,,Moneda,,"32,805.6",52.8,−2.1%,5.1%,53.7%,26.3%,19.6%,11.7%,,,14.4%,1.18,0.3%,0.94,0.80%,7.0%,138.7%,6.1%,,,,,
2,6/Feb/2026,CLP,Moneda,MRV AE,,Moneda,,"33,129.6",0.2,−2.1%,5.1%,54.0%,26.5%,19.8%,,,,14.5%,1.19,0.5%,0.94,0.80%,,,,,,,,
2,6/Feb/2026,CLP,Moneda,MRV E,,Moneda,,"33,455.5",28.7,−2.1%,5.1%,54.4%,26.6%,20.1%,,,,14.5%,1.20,0.5%,0.94,0.65%,,,,,,,,
2,6/Feb/2026,CLP,Moneda,MRV I,,Moneda,,"33,974.3",13.4,−2.1%,5.1%,54.4%,26.6%,20.1%,,,,14.5%,1.20,0.5%,0.94,0.65%,,,,,,,,
2,6/Feb/2026,CLP,Moneda,MRV R,,Moneda,,"32,257.8",3.2,−2.1%,5.1%,52.9%,,,,,,,,,,1.30%,,,,,,,,
2,6/Feb/2026,CLP,Moneda,Orange,,Moneda,,"27,098.5",623.1,−1.9%,5.0%,51.6%,25.2%,19.8%,12.8%,,,14.1%,1.14,−0.0%,0.91,,7.9%,,,,,,,
2,6/Feb/2026,CLP,Peer Group,MBI Arbitrage,MBI,,,"60,415.1",78.8,−0.8%,3.4%,32.9%,21.8%,15.9%,9.3%,,,13.7%,0.99,−1.3%,0.86,0.85%,,,,,,,,
2,6/Feb/2026,CLP,Peer Group (Mutual Funds),FM BTG Chile Acción,BTG,Pactual,,"1,958.3",322.2,−1.8%,6.5%,58.8%,33.7%,24.5%,,,,15.2%,1.50,4.6%,0.99,1.00%,,,,,,,,
2,6/Feb/2026,CLP,Peer Group (Mutual Funds),FM ETF Itau Now IPSA,Itau,,,"5,334.1",247.0,−1.8%,6.9%,53.1%,28.0%,19.8%,11.6%,,,14.9%,1.24,0.3%,0.99,0.47%,,,,,,,,
2,6/Feb/2026,CLP,Peer Group (Mutual Funds),FM Security Index Fund Chile,20-Jan,Security,,"1,421.2",172.3,0.0%,6.5%,47.4%,23.4%,13.8%,8.4%,,,14.3%,1.01,−2.3%,0.94,0.63%,4.6%,,,,,,,
2,6/Feb/2026,CLP,Peer Group (Mutual Funds),FM Principal Capitales Acc Chilenas,,Principal,,"1,937.8",165.1,−2.6%,7.2%,55.1%,29.5%,24.8%,,,,13.7%,1.44,4.5%,0.88,1.09%,,,,,,,,
2,6/Feb/2026,CLP,Peer Group (Mutual Funds),FM Toesca Chile Equities,,Toesca,,"2,217.0",146.4,−1.8%,7.4%,60.2%,29.7%,27.6%,,,,14.3%,1.37,3.1%,0.93,1.10%,,,,,,,,
2,6/Feb/2026,CLP,Peer Group (Mutual Funds),FM Compass Acciones Chilenas,,Compass,,"2,461.4",133.3,−2.7%,8.3%,59.2%,30.8%,25.8%,,,,14.3%,1.45,4.7%,0.91,0.80%,,,,,,,,
2,6/Feb/2026,CLP,Peer Group (Mutual Funds),FM Santander Acciones Chilenas III,,Santander,,"1,817.9",113.3,−1.8%,7.2%,54.8%,29.0%,20.8%,,,,14.9%,1.30,1.2%,0.99,1.29%,,,,,,,,
2,6/Feb/2026,CLP,Peer Group (Mutual Funds),FM Credicorp Acciones Estratégicas,,Credicorp,,"2,331.9",44.5,−2.0%,7.1%,59.4%,31.7%,23.7%,12.1%,,,14.4%,1.49,4.8%,0.94,1.05%,,,,,,,,
2,6/Feb/2026,CLP,Peer Group (Hedge Funds Chile),FM LarrainVial Enfoque,,LarrainVial,,"2,431.9",590.7,−1.8%,12.3%,80.7%,41.8%,29.2%,14.7%,,,15.5%,1.89,12.7%,0.96,0.84%,10.0%,221.4%,8.3%,,,,,
2,6/Feb/2026,CLP,Peer Group (Hedge Funds Chile),Falcom Tactical Chilean Equities,,Falcom,,"4,132.8",517.3,−1.3%,8.8%,65.9%,36.0%,29.2%,19.5%,,,16.0%,1.53,5.6%,1.02,1.50%,,,,,,,,
2,6/Feb/2026,CLP,Peer Group (Hedge Funds Chile),Arrayan Acciones Chilenas,,Arrayan,,"59,504.6",135.1,−1.3%,8.0%,36.3%,23.8%,24.3%,,,,11.3%,1.28,3.4%,0.71,0.80%,,,,,,,,
2,6/Feb/2026,CLP,Peer Group (Hedge Funds Chile),Quest Acciones Chile,,Quest,,"100,858.2",87.0,−2.2%,6.7%,53.9%,29.7%,24.2%,16.8%,,,15.0%,1.28,2.5%,0.93,1.26%,,,,,,,,
2,6/Feb/2026,CLP,Indices,IPSA,,,,"11,210.8",,−1.8%,7.0%,53.5%,28.5%,20.3%,11.9%,,,15.0%,1.23,,,,7.3%,132.8%,5.9%,,,,,
2,6/Feb/2026,CLP,Indices,MSCI TR Net Chile USD,,,,"458,835.8",,−1.9%,6.0%,51.3%,22.1%,15.4%,8.7%,,,,,,,,4.7%,68.5%,3.6%,,,,,
2,6/Feb/2026,CLP,Indices,MSCI Chile LC USD Net,,,,1.2,,−5.7%,1.7%,62.2%,14.7%,13.3%,8.3%,,,,,,,,4.2%,54.1%,3.0%,,,,,
2,6/Feb/2026,CLP,Indices,FTSE Chile All Cap TR,,,,"2,171.8",,−1.8%,6.9%,53.3%,26.1%,18.9%,11.0%,,,15.4%,1.13,,,,,,,,,,,
2,6/Feb/2026,CLP,Indices,FTSE Chile All Cap TR Gross Orange,,,,"2,489.5",,−1.8%,6.4%,55.1%,25.5%,19.8%,10.8%,,,15.4%,1.11,,,,6.8%,,,,,,,
2,6/Feb/2026,CLP,Indices,Dow Jones Sustainability Chile,,,,"1,783.9",,−2.2%,6.3%,49.7%,21.7%,13.3%,6.5%,,,15.2%,0.89,,,,,,,,,,,
2,6/Feb/2026,CLP,Indices,U.S. Dollar (Obs) USD/CLP,,,,859.7,,0.6%,5.5%,12.6%,−2.2%,−3.0%,−2.0%,,,,,,,,−4.4%,−45.5%,−4.0%,,,,,
3,6/Feb/2026,USD,Moneda,MSC I (LX),,Moneda,,104.0,304.6,0.4%,13.6%,48.1%,12.2%,3.4%,7.5%,,,23.0%,0.50,−2.0%,1.01,1.20%,,,,92.8%,3.8%,,,
3,6/Feb/2026,USD,Peer Group (Small & Mid Cap),LarrainVial Small & Mid Cap (LX),,LarrainVial,,125.3,901.8,3.4%,16.2%,51.8%,13.9%,7.4%,9.2%,,,20.8%,0.59,0.9%,0.89,1.00%,,,,,,,,
3,6/Feb/2026,USD,Peer Group (Small & Mid Cap),Zurich AM SICAV SC Latam I,,Zurich,,148.3,61.5,1.6%,15.8%,51.2%,14.3%,5.6%,7.0%,,,22.8%,0.59,−0.1%,1.01,,,,,,,,,
3,6/Feb/2026,USD,Peer Group (Latam Specific Country),MSCI Brasil SC Net,,,,"1,702.9",,0.2%,14.5%,46.7%,11.5%,2.2%,12.9%,,,27.2%,0.46,−3.8%,1.18,,,,,46.9%,2.2%,,,
3,6/Feb/2026,USD,Peer Group (Latam Specific Country),MSCI Chile SC Net,,,,"1,394.2",,−0.7%,14.9%,61.0%,26.1%,15.7%,8.6%,,,20.3%,1.08,15.6%,0.67,,,,,47.1%,2.2%,,,
3,6/Feb/2026,USD,Peer Group (Latam Specific Country),MSCI Colombia SC Net,,,,"2,192.7",,−3.0%,20.4%,66.3%,,,,,,,,,,,,,,,,,,
3,6/Feb/2026,USD,Peer Group (Latam Specific Country),MSCI Mexico SC Net,,,,"1,522.6",,4.0%,11.8%,45.9%,12.9%,17.1%,9.3%,,,22.2%,0.46,1.6%,0.74,,,,,51.0%,2.4%,,,
3,6/Feb/2026,USD,Indices,MSCI EM Latam SC Net,,,,"1,447.6",,0.7%,14.4%,50.2%,14.5%,7.2%,9.3%,,,22.4%,0.59,,,,,,,37.2%,1.8%,,,
4,6/Feb/2026,USD,Moneda,MLE A (LX),,Moneda (LX),,213.8,3.3,0.6%,15.2%,57.6%,15.0%,6.5%,9.3%,,,21.2%,0.58,−4.3%,1.01,1.00%,,,,,,113.9%,7.7%,
4,6/Feb/2026,USD,Moneda,MLE I (LX),,Moneda (LX),,196.5,219.4,0.6%,15.2%,58.5%,15.6%,7.1%,,,,21.2%,0.61,−3.7%,1.01,1.00%,,,,,,,,
4,6/Feb/2026,USD,Peer Group (Large Cap),iShares Latam 40 ETF,,BlackRock,,36.0,"4,144.5",1.9%,18.4%,57.3%,19.8%,10.2%,9.3%,,,20.4%,0.81,0.5%,0.98,0.49%,,,,,,106.7%,7.3%,5.0%
4,6/Feb/2026,USD,Peer Group (Large Cap),DWS Invest Latam Equities,,Deutsche,,294.2,"2,617.3",−0.7%,14.5%,61.9%,19.6%,12.8%,,,,20.6%,0.80,0.6%,0.97,0.30%,,,,,,,,
4,6/Feb/2026,USD,Peer Group (Large Cap),LV Latin American Equity,,LarrainVial,,158.8,"2,234.1",2.3%,17.1%,59.3%,20.4%,11.2%,,,,19.6%,0.88,2.2%,0.94,1.00%,,,,,,,,
4,6/Feb/2026,USD,Peer Group (Large Cap),BlackRock Global Funds Latam,,BlackRock,,88.1,855.6,−0.6%,15.1%,49.8%,14.1%,6.6%,7.4%,,,23.3%,0.52,−5.8%,1.07,,,,,,,78.9%,5.8%,4.0%
4,6/Feb/2026,USD,Peer Group (Large Cap),Templeton Latin America Fund,,Templeton,,32.9,684.9,3.6%,18.2%,63.4%,18.3%,10.2%,10.0%,,,20.5%,0.76,−0.5%,0.98,,,,,,,132.2%,8.5%,6.5%
4,6/Feb/2026,USD,Peer Group (Large Cap),Schroder Latam Equities,,Schroder,,74.3,654.1,−1.9%,14.0%,50.8%,15.2%,9.7%,10.3%,,,20.3%,0.60,−3.0%,0.94,,,,,,,139.6%,8.9%,6.9%
4,6/Feb/2026,USD,Peer Group (Large Cap),JPMorgan Latam (LX),,JPMorgan,,32.7,550.5,−1.0%,15.2%,56.0%,20.0%,10.4%,10.9%,,,20.1%,0.82,1.2%,0.94,0.85%,,,,,,152.7%,9.4%,7.3%
4,6/Feb/2026,USD,Peer Group (Large Cap),Fidelity Latam I (LX),,Fidelity,,11.0,430.8,0.5%,16.7%,59.7%,18.6%,8.0%,9.3%,,,21.2%,0.75,−0.7%,1.00,,,,,,,116.6%,7.8%,6.1%
4,6/Feb/2026,USD,Peer Group (Large Cap),Amundi Latam Equity (LX),,Amundi,,"8,946.5",322.2,1.9%,18.4%,62.6%,23.0%,13.8%,11.5%,,,20.6%,0.94,3.2%,0.98,0.90%,,,,,,156.7%,9.6%,7.2%
4,6/Feb/2026,USD,Peer Group (Large Cap),BCI SICAV Latam Equity Fund,BCI,,,138.2,315.3,1.3%,15.7%,58.6%,18.2%,11.9%,,,,20.5%,0.75,−1.0%,0.99,1.00%,,,,,,,,
4,6/Feb/2026,USD,Peer Group (Large Cap),Handelsbanken Latinamerika,,Handelsbanken,,18.7,260.2,−0.6%,12.5%,55.6%,19.1%,9.9%,,,,,,,0.00,,,,,,,,,
4,6/Feb/2026,USD,Peer Group (Large Cap),Threadneedle Latam (GB),,Threadneedle,,476.9,217.0,−1.3%,14.7%,51.3%,16.1%,5.5%,8.1%,,,,,,0.00,1.00%,,,,,,92.5%,6.6%,4.4%
4,6/Feb/2026,USD,Peer Group (Large Cap),Santander SC Latam (LX),,Santander,,"1,465.7",98.7,1.6%,16.3%,57.8%,15.3%,8.7%,7.8%,,,20.6%,0.64,−3.2%,0.99,0.70%,,,,,,88.9%,6.4%,4.4%
4,6/Feb/2026,USD,Peer Group (Large Cap),All BTG Pactual Latam Equity,BTG,Pactual,,148.1,64.7,2.4%,14.4%,59.0%,14.8%,8.1%,7.7%,,,20.0%,0.64,−2.4%,0.94,0.90%,,,,,,91.7%,6.5%,5.1%
4,6/Feb/2026,USD,Peer Group (Large Cap),Ninety One Latam Equities (LX),,Ninety One,,22.8,40.4,2.5%,17.0%,64.6%,11.4%,6.3%,9.2%,,,21.4%,0.48,−5.6%,0.98,1.00%,,,,,,118.2%,7.9%,6.2%
4,6/Feb/2026,USD,Peer Group (Large Cap),Credicorp Latam Equities,,Credicorp,,"1,638.5",28.6,1.5%,17.4%,56.1%,15.9%,7.1%,,,,20.9%,0.65,−3.0%,1.01,,,,,,,,,
4,6/Feb/2026,USD,Peer Group (Latam Specific Country),iShares MSCI Brazil ETF,,BlackRock,,37.6,"9,027.8",1.4%,18.2%,49.0%,15.6%,6.6%,9.8%,,,24.4%,0.61,−4.2%,1.12,0.59%,,,,,,119.6%,8.0%,4.6%
4,6/Feb/2026,USD,Peer Group (Latam Specific Country),iShares MSCI Mexico ETF,,BlackRock,,79.9,"2,339.6",6.3%,15.2%,60.3%,15.3%,15.9%,6.6%,,,20.0%,0.56,−0.5%,0.77,0.47%,,,,,,61.4%,4.8%,4.1%
4,6/Feb/2026,USD,Peer Group (Latam Specific Country),iShares MSCI Chile ETF,,BlackRock,,45.2,"1,317.4",0.0%,12.0%,64.0%,20.3%,12.4%,6.6%,,,19.7%,0.83,5.1%,0.76,0.59%,,,,,,73.3%,5.5%,4.2%
4,6/Feb/2026,USD,Peer Group (Latam Specific Country),iShares MSCI Peru ETF,,BlackRock,,88.2,538.4,1.8%,21.8%,113.5%,48.1%,23.5%,18.1%,,,21.7%,1.83,33.9%,0.71,0.59%,,,,,,355.3%,15.9%,13.0%
4,6/Feb/2026,USD,Indices,MSCI Latam 10/40 Net,,,,"1,172.8",,1.6%,17.2%,62.6%,19.5%,12.8%,11.2%,,,20.6%,0.80,,,,,,,,,148.4%,9.3%,7.1%
4,6/Feb/2026,USD,Indices,MSCI Latam ESG Leaders Net,,,,"1,642.7",,1.7%,16.6%,65.1%,16.7%,7.4%,8.0%,,,21.1%,0.67,,,,,,,,,89.1%,6.4%,4.2%
4,6/Feb/2026,USD,Indices,MSCI Latam TR Net,,,,853.8,,1.6%,17.2%,62.2%,19.2%,12.5%,11.0%,,,20.5%,0.79,,,,,,,,,144.9%,9.1%,7.0%
4,6/Feb/2026,USD,Other Moneda Funds Returns,Mercer,,Moneda,,242.5,295.8,1.7%,16.6%,63.7%,16.0%,11.8%,,,,22.0%,0.59,−2.9%,1.01,,,,,,,119.1%,8.2%,12.7%
4,6/Feb/2026,USD,Other Moneda Funds Returns,Moneda All Caps A,,Moneda,,90.6,37.2,0.5%,14.4%,53.7%,,,,,,,,,,0.10%,,,,,,,,
4,6/Feb/2026,USD,Other Moneda Funds Returns,Moneda All Caps AE,,Moneda,,91.1,1.3,0.5%,14.4%,53.8%,,,,,,,,,,0.10%,,,,,,,,
4,6/Feb/2026,USD,Other Moneda Funds Returns,MSCI EM Latam IMI,,,,"1,699.2",,1.5%,16.9%,60.7%,18.6%,11.8%,10.8%,,,20.6%,0.77,,,,,,,,,162.8%,10.2%,12.9%
4,6/Feb/2026,USD,Other Moneda Funds Returns,Glory,,Moneda,,220.7,395.4,1.4%,16.3%,59.9%,16.5%,8.0%,11.1%,,,20.7%,0.69,−2.3%,0.99,,,,,,,163.0%,9.9%,7.8%
4,6/Feb/2026,USD,Other Moneda Funds Returns,MSCI TR Latam Gross,,,,"12,590.0",,1.6%,17.2%,63.1%,19.9%,13.1%,11.5%,,,20.5%,0.82,,,,,,,,,155.9%,9.6%,7.1%
