page_num,report_date,currency,group,FUND,Date,Manager,Incep,NAV,AUM_USD_mm,MTD,YTD,1_year,3_years,5_years,10_years,CUMULATIVE S. INCEP. PIONERO,ANNUALIZED S. INCEP. PIONERO,sigma,Sharpe,Alpha,Beta,Mgmt_Fee,ANNUALIZED S. INCEP. ORANGE,CUMULATIVE S. INCEP. MRV A,ANNUALIZED S. INCEP. MRV A,CUMULATIVE S. INCEP. MSC,ANNUALIZED S. INCEP. MSC,ANNUALIZED S. INCEP. MLE LX,ANNUALIZED S. INCEP. MDELA,ANNUALIZED S. INCEP. GLORY
1,6/Mar/2026,CLP,Moneda,Pionero A,,Moneda,,"15,534.8",548.2,−2.2%,6.5%,71.3%,31.4%,21.5%,14.7%,"8,517.1%",15.0%,14.4%,1.51,15.2%,0.66,0.85%,,,,,,,,
1,6/Mar/2026,CLP,Moneda,Pionero AE,,Moneda,,"15,702.5",1.5,−2.2%,6.6%,71.5%,31.6%,21.7%,,,,14.4%,1.52,15.4%,0.66,0.85%,,,,,,,,
1,6/Mar/2026,CLP,Moneda,Pionero I,,Moneda,,"15,547.6",172.3,−2.2%,6.6%,,,,,,,,,,,0.75%,,,,,,,,
1,6/Mar/2026,CLP,Moneda,Pionero R,,Moneda,,"14,821.6",51.0,−2.5%,5.3%,65.2%,,,,,,,,,,1.80%,,,,,,,,
1,6/Mar/2026,CLP,Peer Group,Compass SC Chile - I,,Compass,,"144,306.1",355.2,−2.7%,1.7%,49.2%,25.1%,15.0%,11.4%,,,14.7%,1.19,9.8%,0.68,0.50%,,,,,,,,
1,6/Mar/2026,CLP,Peer Group,LarrainVial SC Chile,,LarrainVial,,"15,938.7",153.9,−3.4%,2.0%,68.5%,30.7%,16.8%,,,,16.0%,1.39,14.0%,0.73,0.50%,,,,,,,,
1,6/Mar/2026,CLP,Peer Group,Toesca SC Chile,,Toesca,,"16,769.9",84.1,−2.9%,3.0%,51.8%,25.6%,12.7%,,,,14.6%,1.22,11.6%,0.61,0.50%,,,,,,,,
1,6/Mar/2026,CLP,Peer Group,Siglo XXI,BICE,,,"66,638.9",63.7,−2.8%,3.7%,48.8%,24.9%,13.8%,10.6%,,,14.9%,1.16,9.5%,0.68,0.50%,,,,,,,,
1,6/Mar/2026,CLP,Indices,MSCI Chile SC Net,,,,1.1,,−4.9%,0.3%,29.7%,24.3%,16.8%,9.2%,"1,347.3%",8.7%,,,,,,,,,,,,,
1,6/Mar/2026,CLP,Indices,IGPA Small Cap,,,,"93,756.3",,−4.1%,−1.9%,33.9%,24.3%,19.8%,14.0%,,,13.6%,1.28,,,,,,,,,,,
