page_num,report_date,currency,group,FUND,Date,Manager,Incep,NAV,AUM_USD_mm,MTD,YTD,1_year,3_years,5_years,10_years,CUMULATIVE S. INCEP. PIONERO,ANNUALIZED S. INCEP. PIONERO,sigma,Sharpe,Alpha,Beta,Mgmt_Fee,ANNUALIZED S. INCEP. ORANGE,CUMULATIVE S. INCEP. MRV A,ANNUALIZED S. INCEP. MRV A,CUMULATIVE S. INCEP. MSC,ANNUALIZED S. INCEP. MSC,ANNUALIZED S. INCEP. MLE LX,ANNUALIZED S. INCEP. MDELA,ANNUALIZED S. INCEP. GLORY
1,30/Jan/2026,CLP,Moneda,Pionero A,,Moneda,,"16,609.6",622.4,13.9%,13.9%,86.1%,36.7%,25.2%,15.9%,"9,113.3%",15.2%,13.7%,1.81,17.2%,0.60,0.85%,,,,,,,,
1,30/Jan/2026,CLP,Moneda,Pionero AE,,Moneda,,"16,786.2",1.8,13.9%,13.9%,86.4%,37.0%,25.4%,,,,13.7%,1.82,17.4%,0.60,0.85%,,,,,,,,
1,30/Jan/2026,CLP,Moneda,Pionero I,,Moneda,,"16,621.1",213.1,13.9%,13.9%,,,,,,,,,,,0.75%,,,,,,,,
1,30/Jan/2026,CLP,Moneda,Pionero R,,Moneda,,"15,928.4",55.8,13.1%,13.1%,80.1%,,,,,,,,,,1.80%,,,,,,,,
1,30/Jan/2026,CLP,Peer Group,Compass SC Chile - I,,Compass,,"155,016.4",404.0,9.3%,9.3%,70.7%,30.9%,18.6%,12.7%,,,14.1%,1.46,11.7%,0.62,0.50%,,,,,,,,
1,30/Jan/2026,CLP,Peer Group,LarrainVial SC Chile,,LarrainVial,,"17,415.3",111.0,11.4%,11.4%,97.1%,37.9%,20.5%,,,,15.3%,1.70,17.1%,0.65,0.50%,,,,,,,,
1,30/Jan/2026,CLP,Peer Group,Toesca SC Chile,,Toesca,,"17,980.0",95.9,10.4%,10.4%,72.2%,32.1%,16.2%,,,,14.2%,1.50,15.3%,0.53,0.50%,,,,,,,,
1,30/Jan/2026,CLP,Peer Group,Siglo XXI,BICE,,,"71,573.5",72.9,11.3%,11.3%,70.7%,30.5%,17.5%,11.9%,,,14.3%,1.42,11.4%,0.63,0.50%,,,,,,,,
1,30/Jan/2026,CLP,Indices,MSCI Chile SC Net,,,,1.2,,10.3%,10.3%,48.3%,29.8%,20.1%,11.1%,"1,491.6%",9.1%,13.9%,1.43,,,,,,,,,,,
1,30/Jan/2026,CLP,Indices,IGPA Small Cap,,,,"103,196.0",,7.9%,7.9%,56.2%,30.6%,24.1%,15.8%,,,12.8%,1.57,,,,,,,,,,,
1,30/Jan/2026,CLP,Indices,IGPA Mid Cap,,,,"58,370.9",,12.0%,12.0%,61.4%,34.5%,26.1%,12.4%,,,14.0%,1.70,,,,,,,,,,,
1,30/Jan/2026,CLP,Indices,IGPA SC & MC,,,,"2,366.1",,10.6%,10.6%,59.2%,33.2%,25.5%,13.9%,,,12.8%,1.75,,,,,,,,,,,
1,30/Jan/2026,CLP,Indices,Moneda 500,,,,"6,763.0",,9.9%,9.9%,60.7%,33.4%,22.1%,12.1%,"2,159.6%",10.3%,12.3%,1.82,,,,,,,,,,,
1,30/Jan/2026,CLP,Indices,IPSA,,,,"11,420.1",,9.0%,9.0%,58.1%,28.9%,21.6%,11.9%,"1,368.8%",8.8%,14.7%,1.32,,,,,,,,,,,
1,30/Jan/2026,CLP,Indices,MSCI EM Latam SC Net,,,,1.2,,8.3%,8.3%,32.0%,15.9%,11.9%,11.6%,,,20.4%,0.46,,,,,,,,,,,
1,30/Jan/2026,CLP,Indices,UF,,,,"39,708.6",,−0.0%,−0.0%,3.4%,4.0%,6.4%,4.5%,268.9%,4.2%,,,,,,,,,,,,,
1,30/Jan/2026,CLP,Indices,U.S. Dollar (Obs) USD/CLP,,,,865.1,,4.9%,4.9%,14.2%,−2.2%,−3.2%,−2.0%,−50.3%,−2.2%,,,,,,,,,,,,,
2,30/Jan/2026,CLP,Moneda,MRV A,,Moneda,,"33,497.8",53.5,7.3%,7.3%,58.0%,26.9%,21.0%,12.0%,,,14.3%,1.24,−0.2%,0.94,0.80%,7.2%,143.7%,6.2%,,,,,
2,30/Jan/2026,CLP,Moneda,MRV AE,,Moneda,,"33,827.6",0.2,7.3%,7.3%,58.3%,27.1%,21.3%,,,,14.3%,1.25,−0.1%,0.94,0.80%,,,,,,,,
2,30/Jan/2026,CLP,Moneda,MRV E,,Moneda,,"34,160.1",29.1,7.4%,7.4%,58.7%,27.2%,21.6%,,,,14.3%,1.25,−0.0%,0.94,0.65%,,,,,,,,
2,30/Jan/2026,CLP,Moneda,MRV I,,Moneda,,"34,689.9",13.6,7.4%,7.4%,58.7%,27.2%,21.6%,,,,14.3%,1.25,−0.0%,0.94,0.65%,,,,,,,,
2,30/Jan/2026,CLP,Moneda,MRV R,,Moneda,,"32,942.4",3.2,7.3%,7.3%,57.2%,,,,,,,,,,1.30%,,,,,,,,
2,30/Jan/2026,CLP,Moneda,Orange,,Moneda,,"27,625.8",631.2,7.0%,7.0%,55.6%,25.8%,21.3%,12.8%,,,14.0%,1.19,−0.5%,0.92,,8.1%,,,,,,,
2,30/Jan/2026,CLP,Peer Group,MBI Arbitrage,MBI,,,"60,927.4",79.4,4.3%,4.3%,35.7%,22.2%,16.6%,9.5%,,,13.6%,1.01,−2.5%,0.88,0.85%,,,,,,,,
2,30/Jan/2026,CLP,Peer Group (Mutual Funds),FM BTG Chile Acción,BTG,Pactual,,"1,994.4",331.9,8.5%,8.5%,64.3%,34.0%,25.9%,,,,15.0%,1.57,4.2%,1.00,1.00%,,,,,,,,
2,30/Jan/2026,CLP,Peer Group (Mutual Funds),FM ETF Itau Now IPSA,Itau,,,"5,433.8",248.0,8.9%,8.9%,57.7%,28.3%,21.1%,11.6%,,,14.7%,1.29,−0.4%,1.00,0.47%,,,,,,,,
2,30/Jan/2026,CLP,Peer Group (Mutual Funds),FM Security Index Fund Chile,20-Jan,Security,,"1,421.2",171.2,6.5%,6.5%,48.6%,23.0%,14.6%,8.4%,,,14.3%,1.03,−3.7%,0.96,0.63%,4.6%,,,,,,,
