page_num,report_date,currency,group,FUND,Date,Manager,Incep,NAV,AUM_USD_mm,MTD,YTD,1_year,3_years,5_years,10_years,CUMULATIVE S. INCEP. PIONERO,ANNUALIZED S. INCEP. PIONERO,sigma,Sharpe,Alpha,Beta,Mgmt_Fee,ANNUALIZED S. INCEP. ORANGE,CUMULATIVE S. INCEP. MRV A,ANNUALIZED S. INCEP. MRV A,CUMULATIVE S. INCEP. MSC,ANNUALIZED S. INCEP. MSC,ANNUALIZED S. INCEP. MLE LX,ANNUALIZED S. INCEP. MDELA,ANNUALIZED S. INCEP. GLORY
1,2/Jan/2026,CLP,Moneda,Pionero A,,Moneda,,"14,664.6",523.7,0.6%,0.6%,69.7%,31.7%,24.0%,14.3%,"8,034.4%",14.8%,12.0%,1.75,17.5%,0.50,0.85%,,,,,,,,
1,2/Jan/2026,CLP,Moneda,Pionero AE,,Moneda,,"14,818.7",1.5,0.6%,0.6%,70.0%,31.9%,24.2%,,,,12.0%,1.77,17.7%,0.50,0.85%,,,,,,,,
1,2/Jan/2026,CLP,Moneda,Pionero I,,Moneda,,"14,673.4",194.7,0.6%,0.6%,,,,,,,,,,,0.75%,,,,,,,,
1,2/Jan/2026,CLP,Moneda,Pionero R,,Moneda,,"14,156.9",43.8,0.6%,0.6%,65.3%,,,,,,,,,,1.80%,,,,,,,,
1,2/Jan/2026,CLP,Peer Group,Compass SC Chile - I,,Compass,,"142,939.5",354.3,0.7%,0.7%,69.6%,28.9%,18.5%,11.9%,,,13.5%,1.37,12.1%,0.59,0.50%,,,,,,,,
1,2/Jan/2026,CLP,Peer Group,LarrainVial SC Chile,,LarrainVial,,"15,728.3",92.7,0.6%,0.6%,92.2%,34.5%,19.7%,,,,14.4%,1.61,17.4%,0.59,0.50%,,,,,,,,
1,2/Jan/2026,CLP,Peer Group,Toesca SC Chile,,Toesca,,"16,375.9",75.9,0.6%,0.6%,66.8%,29.0%,15.7%,,,,13.4%,1.41,15.8%,0.47,0.50%,,,,,,,,
1,2/Jan/2026,CLP,Peer Group,Siglo XXI,BICE,,,"64,674.6",63.5,0.6%,0.6%,64.9%,27.8%,17.0%,10.9%,,,13.3%,1.32,11.8%,0.56,0.50%,,,,,,,,
1,2/Jan/2026,CLP,Peer Group,Falcom Small Cap Chile,,Falcom,,"1,413.8",7.8,0.2%,0.2%,72.8%,30.6%,19.4%,,,,14.3%,1.37,13.9%,0.57,,,,,,,,,
1,2/Jan/2026,CLP,Peer Group,Chile FI SC,,BanChile,,"131,226.2",7.0,0.3%,0.3%,73.1%,25.5%,19.8%,11.1%,,,13.0%,1.17,8.7%,0.58,0.50%,,,,,,,,
1,2/Jan/2026,CLP,Peer Group,BCI Small Cap Chile,BCI,,,"13,768.5",6.7,0.4%,0.4%,75.9%,29.3%,16.8%,10.6%,,,100.0%,0.76,107.4%,0.35,0.50%,,,,,,,,
1,2/Jan/2026,CLP,Peer Group,BTG Pactual SC Chile,BTG,Pactual,,"77,507.3",6.2,0.8%,0.8%,47.4%,19.2%,10.9%,6.2%,,,12.9%,0.76,2.4%,0.60,0.60%,,,,,,,,
1,2/Jan/2026,CLP,Indices,MSCI Chile SC Net,,,,1.1,,−0.9%,−0.9%,43.2%,24.8%,17.8%,9.8%,"1,330.2%",8.7%,,,,,,,,,,,,,
1,2/Jan/2026,CLP,Indices,IGPA Small Cap,,,,"95,934.1",,0.3%,0.3%,54.0%,28.9%,24.0%,14.9%,,,12.4%,1.51,,,,,,,,,,,
1,2/Jan/2026,CLP,Indices,IGPA Mid Cap,,,,"51,994.1",,−0.2%,−0.2%,52.9%,29.1%,23.4%,11.0%,,,12.9%,1.66,,,,,,,,,,,
1,2/Jan/2026,CLP,Indices,IGPA SC & MC,,,,"2,139.5",,−0.0%,−0.0%,53.0%,29.1%,23.7%,12.7%,,,11.9%,1.71,,,,,,,,,,,
1,2/Jan/2026,CLP,Indices,Moneda 500,,,,"6,148.9",,−0.1%,−0.1%,54.9%,30.0%,20.4%,10.7%,"1,954.4%",10.0%,11.5%,1.73,,,,,,,,,,,
1,2/Jan/2026,CLP,Indices,IPSA,,,,"10,428.6",,−0.5%,−0.5%,56.1%,25.6%,20.1%,11.0%,"1,241.3%",8.5%,14.3%,1.28,,,,,,,,,,,
1,2/Jan/2026,CLP,Indices,MSCI EM Latam SC Net,,,,1.1,,−0.5%,−0.5%,33.2%,14.6%,9.3%,9.8%,,,,,,,,,,,,,,,
1,2/Jan/2026,CLP,Indices,UF,,,,"39,735.6",,0.0%,0.0%,3.4%,4.2%,6.5%,4.5%,269.2%,4.2%,,,,,,,,,,,,,
1,2/Jan/2026,CLP,Indices,U.S. Dollar (Obs) USD/CLP,,,,901.6,,0.6%,0.6%,10.9%,−1.7%,−4.6%,−2.4%,−52.3%,−2.3%,,,,,,,,,,,,,
2,2/Jan/2026,CLP,Moneda,MRV A,,Moneda,,"31,120.3",47.6,−0.3%,−0.3%,57.8%,24.8%,20.0%,10.9%,,,13.9%,1.16,−0.6%,0.94,0.80%,6.6%,126.4%,5.7%,,,,,
2,2/Jan/2026,CLP,Moneda,MRV AE,,Moneda,,"31,424.8",0.2,−0.3%,−0.3%,58.1%,25.0%,20.2%,,,,13.9%,1.17,−0.5%,0.94,0.80%,,,,,,,,
2,2/Jan/2026,CLP,Moneda,MRV E,,Moneda,,"31,742.7",25.8,−0.2%,−0.2%,58.6%,25.1%,20.5%,,,,14.0%,1.17,−0.5%,0.94,0.65%,,,,,,,,
2,2/Jan/2026,CLP,Moneda,MRV I,,Moneda,,"32,235.0",12.1,−0.2%,−0.2%,58.6%,25.1%,20.5%,,,,14.0%,1.17,−0.5%,0.94,0.65%,,,,,,,,
2,2/Jan/2026,CLP,Moneda,MRV R,,Moneda,,"30,619.2",2.4,−0.3%,−0.3%,57.0%,,,,,,,,,,1.30%,,,,,,,,
2,2/Jan/2026,CLP,Moneda,Orange,,Moneda,,"25,745.6",564.5,−0.3%,−0.3%,55.9%,23.8%,20.4%,12.0%,,,13.7%,1.11,−1.0%,0.92,,7.6%,,,,,,,
2,2/Jan/2026,CLP,Peer Group,MBI Arbitrage,MBI,,,"58,224.4",72.2,−0.3%,−0.3%,39.0%,21.1%,16.1%,9.0%,,,13.6%,0.91,−3.3%,0.90,0.85%,,,,,,,,
2,2/Jan/2026,CLP,Peer Group (Mutual Funds),FM BTG Chile Acción,BTG,Pactual,,"1,824.7",290.5,−0.7%,−0.7%,61.0%,32.2%,24.2%,,,,14.6%,1.46,3.4%,0.99,1.00%,,,,,,,,
2,2/Jan/2026,CLP,Peer Group (Mutual Funds),FM ETF Itau Now IPSA,1-Jan Itau,,,"4,992.0",215.9,−0.0%,−0.0%,56.5%,25.3%,19.7%,10.7%,,,14.2%,1.14,−1.4%,0.98,0.47%,,,,,,,,
2,2/Jan/2026,CLP,Peer Group (Mutual Funds),FM Security Index Fund Chile,,Security,,"1,328.3",144.4,−0.5%,−0.5%,49.8%,20.9%,13.6%,7.6%,,,14.1%,0.89,−4.6%,0.96,0.63%,4.1%,,,,,,,
2,2/Jan/2026,CLP,Peer Group (Mutual Funds),FM Principal Capitales Acc Chilenas,,Principal,,"1,801.2",132.1,−0.4%,−0.4%,56.7%,26.8%,24.3%,,,,12.8%,1.34,3.1%,0.83,1.09%,,,,,,,,
2,2/Jan/2026,CLP,Peer Group (Mutual Funds),FM Toesca Chile Equities,,Toesca,,"2,073.3",121.7,0.3%,0.3%,63.8%,27.2%,27.5%,,,,13.6%,1.30,1.8%,0.91,1.10%,,,,,,,,
2,2/Jan/2026,CLP,Peer Group (Mutual Funds),FM Compass Acciones Chilenas,,Compass,,"2,265.5",109.0,−0.4%,−0.4%,60.0%,27.6%,25.1%,,,,13.0%,1.44,3.9%,0.87,0.80%,,,,,,,,
2,2/Jan/2026,CLP,Peer Group (Mutual Funds),FM Santander Acciones Chilenas III,,Santander,,"1,685.4",90.6,−0.7%,−0.7%,56.8%,25.9%,20.5%,,,,14.2%,1.24,−0.3%,0.98,1.29%,,,,,,,,
2,2/Jan/2026,CLP,Peer Group (Mutual Funds),FM Credicorp Acciones Estratégicas,,Credicorp,,"2,168.0",39.4,−0.5%,−0.5%,62.4%,29.3%,23.5%,11.2%,,,13.7%,1.38,2.9%,0.91,1.05%,,,,,,,,
2,2/Jan/2026,CLP,Peer Group (Hedge Funds Chile),FM LarrainVial Enfoque,,LarrainVial,,"2,151.5",452.3,−0.6%,−0.6%,76.3%,36.7%,27.7%,13.5%,,,13.8%,1.86,10.8%,0.89,0.84%,9.0%,184.3%,7.4%,,,,,
2,2/Jan/2026,CLP,Peer Group (Hedge Funds Chile),Falcom Tactical Chilean Equities,,Falcom,,"3,780.0",451.2,−0.5%,−0.5%,68.2%,32.5%,29.5%,18.8%,,,15.2%,1.49,4.2%,1.01,1.50%,,,,,,,,
2,2/Jan/2026,CLP,Peer Group (Hedge Funds Chile),Arrayan Acciones Chilenas,,Arrayan,,"54,946.3",126.6,−0.3%,−0.3%,36.7%,21.3%,,,,,10.2%,1.28,3.0%,0.68,0.80%,,,,,,,,
2,2/Jan/2026,CLP,Peer Group (Hedge Funds Chile),Quest Acciones Chile,,Quest,,"94,762.6",77.9,0.3%,0.3%,58.5%,27.6%,24.3%,15.8%,,,14.3%,1.31,2.5%,0.92,1.26%,,,,,,,,
2,2/Jan/2026,CLP,Indices,IPSA,,,,"10,428.6",,−0.5%,−0.5%,56.1%,25.6%,20.1%,11.0%,,,14.3%,1.28,,,,6.8%,116.5%,5.4%,,,,,
2,2/Jan/2026,CLP,Indices,MSCI TR Net Chile USD,,,,"427,103.0",,−1.4%,−1.4%,55.3%,19.7%,15.3%,7.8%,,,,,,,,4.1%,56.9%,3.1%,,,,,
2,2/Jan/2026,CLP,Indices,MSCI Chile LC USD Net,,,,1.2,,−2.5%,−2.5%,65.5%,13.7%,14.0%,7.8%,,,,,,,,3.9%,47.9%,2.7%,,,,,
2,2/Jan/2026,CLP,Indices,FTSE Chile All Cap TR,,,,"2,020.8",,−0.5%,−0.5%,56.0%,24.0%,18.8%,10.2%,,,14.7%,1.05,,,,,,,,,,,
2,2/Jan/2026,CLP,Indices,FTSE Chile All Cap TR Gross Orange,,,,"2,326.8",,−0.5%,−0.5%,55.6%,23.9%,18.9%,10.2%,,,14.8%,1.04,,,,6.3%,,,,,,,
2,2/Jan/2026,CLP,Indices,Dow Jones Sustainability Chile,,,,"1,668.0",,−0.6%,−0.6%,52.0%,19.0%,13.3%,5.9%,,,14.5%,0.82,,,,,,,,,,,
2,2/Jan/2026,CLP,Indices,U.S. Dollar (Obs) USD/CLP,,,,901.6,,0.6%,0.6%,10.9%,−1.7%,−4.6%,−2.4%,,,,,,,,−4.8%,−48.0%,−4.4%,,,,,
3,2/Jan/2026,USD,Moneda,MSC I (LX),,Moneda,,91.3,276.5,−0.2%,−0.2%,46.1%,10.9%,1.7%,5.6%,,,22.6%,0.18,−2.1%,1.02,1.20%,,,,69.3%,3.0%,,,
3,2/Jan/2026,USD,Peer Group (Small & Mid Cap),LarrainVial Small & Mid Cap (LX),,LarrainVial,,107.6,774.2,−0.3%,−0.3%,45.7%,11.3%,4.7%,6.8%,,,20.3%,0.23,−0.2%,0.90,1.00%,,,,,,,,
3,2/Jan/2026,USD,Peer Group (Small & Mid Cap),Zurich AM SICAV SC Latam I,,Zurich,,127.8,50.8,−0.2%,−0.2%,47.1%,12.0%,2.5%,5.5%,,,22.1%,0.24,−0.7%,1.01,,,,,,,,,
3,2/Jan/2026,USD,Peer Group (Latam Specific Country),MSCI Brasil SC Net,,,,"1,486.1",,−0.1%,−0.1%,46.3%,8.9%,−0.6%,10.8%,,,27.0%,0.14,−4.1%,1.20,,,,,28.2%,1.4%,,,
3,2/Jan/2026,USD,Peer Group (Latam Specific Country),MSCI Chile SC Net,,,,"1,210.5",,−0.3%,−0.3%,58.9%,22.6%,12.3%,7.2%,,,18.8%,0.87,15.4%,0.62,,,,,27.7%,1.4%,,,
3,2/Jan/2026,USD,Peer Group (Latam Specific Country),MSCI Colombia SC Net,,,,"1,833.0",,0.7%,0.7%,52.7%,,,,,,,,,,,,,,,,,,
