page_num,report_date,currency,group,FUND,Date,Manager,Incep,NAV,AUM_USD_mm,MTD,YTD,1_year,3_years,5_years,10_years,CUMULATIVE S. INCEP. PIONERO,ANNUALIZED S. INCEP. PIONERO,sigma,Sharpe,Alpha,Beta,Mgmt_Fee,ANNUALIZED S. INCEP. ORANGE,CUMULATIVE S. INCEP. MRV A,ANNUALIZED S. INCEP. MRV A,CUMULATIVE S. INCEP. MSC,ANNUALIZED S. INCEP. MSC,ANNUALIZED S. INCEP. MLE LX,ANNUALIZED S. INCEP. MDELA,ANNUALIZED S. INCEP. GLORY
1,23/Jan/2026,CLP,Moneda,Pionero A,,Moneda,,"16,669.9",617.3,14.3%,14.3%,88.9%,37.5%,24.9%,16.1%,"9,146.8%",15.3%,14.1%,1.79,16.7%,0.63,0.85%,,,,,,,,
1,23/Jan/2026,CLP,Moneda,Pionero AE,,Moneda,,"16,846.6",1.8,14.3%,14.3%,89.2%,37.7%,25.1%,,,,14.1%,1.80,16.9%,0.63,0.85%,,,,,,,,
1,23/Jan/2026,CLP,Moneda,Pionero I,,Moneda,,"16,681.0",229.2,14.3%,14.3%,,,,,,,,,,,0.75%,,,,,,,,
1,23/Jan/2026,CLP,Moneda,Pionero R,,Moneda,,"15,952.8",55.5,13.3%,13.3%,82.4%,,,,,,,,,,1.80%,,,,,,,,
1,23/Jan/2026,CLP,Peer Group,Compass SC Chile - I,,Compass,,"152,961.0",399.1,7.8%,7.8%,72.7%,31.7%,17.3%,12.7%,,,14.0%,1.45,11.7%,0.60,0.50%,,,,,,,,
1,23/Jan/2026,CLP,Peer Group,LarrainVial SC Chile,,LarrainVial,,"16,808.9",104.3,7.5%,7.5%,96.3%,37.4%,18.8%,,,,14.9%,1.69,17.2%,0.61,0.50%,,,,,,,,
1,23/Jan/2026,CLP,Peer Group,Toesca SC Chile,,Toesca,,"17,610.1",91.0,8.1%,8.1%,72.9%,32.0%,14.9%,,,,14.0%,1.49,15.3%,0.51,0.50%,,,,,,,,
1,23/Jan/2026,CLP,Peer Group,Siglo XXI,BICE,,,"69,885.1",71.0,8.7%,8.7%,71.6%,30.7%,15.9%,11.8%,,,14.0%,1.42,11.4%,0.60,0.50%,,,,,,,,
1,23/Jan/2026,CLP,Peer Group,Falcom Small Cap Chile,,Falcom,,"1,543.0",9.9,9.4%,9.4%,79.2%,33.8%,18.0%,,,,15.1%,1.49,13.6%,0.62,,,,,,,,,
1,23/Jan/2026,CLP,Peer Group,Chile FI SC,,BanChile,,"139,419.5",7.6,6.6%,6.6%,74.5%,27.0%,18.6%,11.7%,,,13.4%,1.27,8.6%,0.59,0.50%,,,,,,,,
1,23/Jan/2026,CLP,Peer Group,BCI Small Cap Chile,BCI,,,"14,890.1",7.5,8.5%,8.5%,80.6%,32.6%,16.0%,11.8%,,,13.9%,1.55,14.4%,0.56,0.50%,,,,,,,,
1,23/Jan/2026,CLP,Peer Group,BTG Pactual SC Chile,BTG,Pactual,,"81,505.9",6.7,6.0%,6.0%,47.4%,20.0%,9.3%,6.9%,,,13.2%,0.82,1.8%,0.60,0.60%,,,,,,,,
1,23/Jan/2026,CLP,Indices,MSCI Chile SC Net,,,,1.2,,10.7%,10.7%,53.4%,29.5%,19.7%,11.2%,"1,497.0%",9.1%,,,,,,,,,,,,,
1,23/Jan/2026,CLP,Indices,IGPA Small Cap,,,,"99,997.2",,4.6%,4.6%,55.3%,30.4%,22.4%,15.6%,,,12.4%,1.53,,,,,,,,,,,
1,23/Jan/2026,CLP,Indices,IGPA Mid Cap,,,,"58,340.2",,11.9%,11.9%,66.3%,34.2%,25.5%,12.8%,,,14.3%,1.69,,,,,,,,,,,
1,23/Jan/2026,CLP,Indices,IGPA SC & MC,,,,"2,355.4",,10.1%,10.1%,63.2%,33.2%,24.7%,14.1%,,,13.0%,1.75,,,,,,,,,,,
1,23/Jan/2026,CLP,Indices,Moneda 500,,,,"6,713.3",,9.1%,9.1%,64.8%,33.7%,21.4%,12.0%,"2,143.0%",10.3%,12.3%,1.82,,,,,,,,,,,
1,23/Jan/2026,CLP,Indices,IPSA,,,,"11,500.1",,9.7%,9.7%,63.1%,29.4%,20.7%,12.5%,"1,379.1%",8.8%,15.2%,1.34,,,,,,,,,,,
1,23/Jan/2026,CLP,Indices,MSCI EM Latam SC Net,,,,1.2,,8.4%,8.4%,38.4%,16.3%,11.9%,11.9%,,,,,,,,,,,,,,,
1,23/Jan/2026,CLP,Indices,UF,,,,"39,726.6",,−0.0%,−0.0%,3.4%,4.1%,6.4%,4.5%,269.1%,4.2%,,,,,,,,,,,,,
1,23/Jan/2026,CLP,Indices,U.S. Dollar (Obs) USD/CLP,,,,870.7,,4.2%,4.2%,13.7%,−2.2%,−3.6%,−1.9%,−50.6%,−2.2%,,,,,,,,,,,,,
2,23/Jan/2026,CLP,Moneda,MRV A,,Moneda,,"33,898.3",53.8,8.6%,8.6%,64.2%,27.8%,20.3%,12.5%,,,14.5%,1.26,−0.1%,0.93,0.80%,7.3%,146.6%,6.3%,,,,,
2,23/Jan/2026,CLP,Moneda,MRV AE,,Moneda,,"34,231.1",0.2,8.6%,8.6%,64.5%,28.0%,20.5%,,,,14.5%,1.27,0.1%,0.93,0.80%,,,,,,,,
2,23/Jan/2026,CLP,Moneda,MRV E,,Moneda,,"34,567.4",29.3,8.6%,8.6%,64.9%,28.1%,20.8%,,,,14.6%,1.27,0.1%,0.93,0.65%,,,,,,,,
2,23/Jan/2026,CLP,Moneda,MRV I,,Moneda,,"35,103.5",13.7,8.6%,8.6%,64.9%,28.1%,20.8%,,,,14.6%,1.27,0.1%,0.93,0.65%,,,,,,,,
2,23/Jan/2026,CLP,Moneda,MRV R,,Moneda,,"33,340.0",3.1,8.6%,8.6%,63.3%,,,,,,,,,,1.30%,,,,,,,,
2,23/Jan/2026,CLP,Moneda,Orange,,Moneda,,"27,896.9",633.3,8.1%,8.1%,61.4%,26.7%,20.5%,13.4%,,,14.2%,1.21,−0.4%,0.90,,8.2%,,,,,,,
2,23/Jan/2026,CLP,Peer Group,MBI Arbitrage,MBI,,,"61,673.7",79.9,5.6%,5.6%,39.1%,22.9%,16.2%,10.0%,,,13.7%,1.03,−2.1%,0.85,0.85%,,,,,,,,
2,23/Jan/2026,CLP,Peer Group (Mutual Funds),FM BTG Chile Acción,BTG,Pactual,,"2,005.0",332.2,9.1%,9.1%,69.6%,34.8%,24.7%,,,,15.1%,1.58,4.4%,0.97,1.00%,,,,,,,,
2,23/Jan/2026,CLP,Peer Group (Mutual Funds),FM ETF Itau Now IPSA,Itau,,,"5,472.2",244.6,9.7%,9.7%,62.6%,28.8%,20.2%,12.2%,,,14.9%,1.30,−0.3%,0.98,0.47%,,,,,,,,
2,23/Jan/2026,CLP,Peer Group (Mutual Funds),FM Security Index Fund Chile,20-Jan,Security,,"1,421.2",170.1,6.5%,6.5%,52.1%,23.2%,13.6%,8.8%,,,14.3%,1.03,−3.4%,0.92,0.63%,4.6%,,,,,,,
2,23/Jan/2026,CLP,Peer Group (Mutual Funds),FM Principal Capitales Acc Chilenas,,Principal,,"1,995.0",165.9,10.3%,10.3%,66.4%,31.1%,25.2%,,,,13.7%,1.51,4.2%,0.87,1.09%,,,,,,,,
2,23/Jan/2026,CLP,Peer Group (Mutual Funds),FM Toesca Chile Equities,,Toesca,,"2,260.4",143.3,9.5%,9.5%,70.7%,30.8%,27.8%,,,,14.2%,1.44,2.8%,0.91,1.10%,,,,,,,,
2,23/Jan/2026,CLP,Peer Group (Mutual Funds),FM Compass Acciones Chilenas,,Compass,,"2,529.3",132.8,11.3%,11.3%,70.8%,32.3%,26.2%,,,,14.1%,1.53,4.4%,0.89,0.80%,,,,,,,,
