page_num,report_date,currency,group,FUND,Date,Manager,Incep,NAV,AUM_USD_mm,MTD,YTD,1_year,3_years,5_years,10_years,CUMULATIVE S. INCEP. PIONERO,ANNUALIZED S. INCEP. PIONERO,sigma,Sharpe,Alpha,Beta,Mgmt_Fee,ANNUALIZED S. INCEP. ORANGE,CUMULATIVE S. INCEP. MRV A,ANNUALIZED S. INCEP. MRV A,CUMULATIVE S. INCEP. MSC,ANNUALIZED S. INCEP. MSC,ANNUALIZED S. INCEP. MLE LX,ANNUALIZED S. INCEP. MDELA,ANNUALIZED S. INCEP. GLORY
1,13/Mar/2026,CLP,Moneda,Pionero A,,Moneda,,"15,658.7",557.7,−1.4%,7.4%,69.8%,31.8%,21.5%,14.6%,"8,585.9%",15.0%,14.2%,1.57,15.4%,0.65,0.85%,,,,,,,,
1,13/Mar/2026,CLP,Moneda,Pionero AE,,Moneda,,"15,828.3",1.6,−1.4%,7.4%,70.1%,32.0%,21.7%,,,,14.2%,1.58,15.6%,0.65,0.85%,,,,,,,,
1,13/Mar/2026,CLP,Moneda,Pionero I,,Moneda,,"15,672.0",175.1,−1.4%,7.4%,,,,,,,,,,,0.75%,,,,,,,,
1,13/Mar/2026,CLP,Moneda,Pionero R,,Moneda,,"14,964.2",52.4,−1.5%,6.3%,64.0%,,,,,,,,,,1.80%,,,,,,,,
1,13/Mar/2026,CLP,Peer Group,Compass SC Chile - I,,Compass,,"143,101.7",355.3,−3.5%,0.9%,43.8%,24.3%,14.4%,10.9%,,,14.6%,1.22,9.4%,0.69,0.50%,,,,,,,,
1,13/Mar/2026,CLP,Peer Group,LarrainVial SC Chile,,LarrainVial,,"16,153.9",157.4,−2.0%,3.3%,66.8%,30.9%,16.8%,,,,15.7%,1.47,14.7%,0.72,0.50%,,,,,,,,
1,13/Mar/2026,CLP,Peer Group,Toesca SC Chile,,Toesca,,"16,645.2",84.2,−3.7%,2.2%,47.7%,24.8%,12.2%,,,,14.5%,1.24,11.4%,0.62,0.50%,,,,,,,,
1,13/Mar/2026,CLP,Peer Group,Siglo XXI,BICE,,,"66,466.5",64.1,−3.1%,3.4%,45.1%,24.4%,13.3%,10.1%,,,14.8%,1.19,9.3%,0.68,0.50%,,,,,,,,
1,13/Mar/2026,CLP,Indices,MSCI Chile SC Net,,,,1.1,,−4.7%,0.6%,28.2%,23.2%,16.2%,9.2%,"1,351.2%",8.7%,,,,,,,,,,,,,
1,13/Mar/2026,CLP,Indices,IGPA Small Cap,,,,"95,681.4",,−2.1%,0.1%,33.4%,25.2%,19.9%,14.2%,,,13.3%,1.37,,,,,,,,,,,
