page_num,report_date,currency,group,FUND,Date,Manager,Incep,NAV,AUM_USD_mm,MTD,YTD,1_year,3_years,5_years,10_years,CUMULATIVE S. INCEP. PIONERO,ANNUALIZED S. INCEP. PIONERO,sigma,Sharpe,Alpha,Beta,Mgmt_Fee,ANNUALIZED S. INCEP. ORANGE,CUMULATIVE S. INCEP. MRV A,ANNUALIZED S. INCEP. MRV A,CUMULATIVE S. INCEP. MSC,ANNUALIZED S. INCEP. MSC,ANNUALIZED S. INCEP. MLE LX,ANNUALIZED S. INCEP. MDELA,ANNUALIZED S. INCEP. GLORY
1,9/Jan/2026,CLP,Moneda,Pionero A,,Moneda,,"15,514.0",557.8,6.4%,6.4%,78.4%,34.1%,24.1%,15.1%,"8,505.6%",15.0%,12.4%,1.84,18.5%,0.52,0.85%,,,,,,,,
1,9/Jan/2026,CLP,Moneda,Pionero AE,,Moneda,,"15,677.4",1.6,6.4%,6.4%,78.7%,34.3%,24.3%,,,,12.4%,1.86,18.7%,0.52,0.85%,,,,,,,,
1,9/Jan/2026,CLP,Moneda,Pionero I,,Moneda,,"15,523.6",207.4,6.4%,6.4%,,,,,,,,,,,0.75%,,,,,,,,
1,9/Jan/2026,CLP,Moneda,Pionero R,,Moneda,,"14,949.8",47.4,6.2%,6.2%,73.5%,,,,,,,,,,1.80%,,,,,,,,
1,9/Jan/2026,CLP,Peer Group,Compass SC Chile - I,,Compass,,"150,337.2",376.6,6.0%,6.0%,76.1%,31.0%,18.3%,12.6%,,,13.7%,1.43,12.3%,0.60,0.50%,,,,,,,,
1,9/Jan/2026,CLP,Peer Group,LarrainVial SC Chile,,LarrainVial,,"16,453.6",98.2,5.3%,5.3%,99.6%,36.7%,19.6%,,,,14.5%,1.67,17.6%,0.60,0.50%,,,,,,,,
1,9/Jan/2026,CLP,Peer Group,Toesca SC Chile,,Toesca,,"17,451.7",85.4,7.2%,7.2%,76.7%,31.4%,16.0%,,,,13.8%,1.49,16.4%,0.50,0.50%,,,,,,,,
1,9/Jan/2026,CLP,Peer Group,Siglo XXI,BICE,,,"68,125.9",67.3,6.0%,6.0%,72.9%,29.9%,16.9%,11.6%,,,13.6%,1.39,12.2%,0.58,0.50%,,,,,,,,
1,9/Jan/2026,CLP,Peer Group,Falcom Small Cap Chile,,Falcom,,"1,459.1",8.6,3.5%,3.5%,76.6%,31.7%,18.5%,,,,14.3%,1.42,14.0%,0.57,,,,,,,,,
1,9/Jan/2026,CLP,Peer Group,Chile FI SC,,BanChile,,"136,824.0",7.4,4.6%,4.6%,78.4%,26.6%,19.9%,11.7%,,,13.1%,1.24,8.9%,0.59,0.50%,,,,,,,,
1,9/Jan/2026,CLP,Peer Group,BCI Small Cap Chile,BCI,,,"14,436.2",7.1,5.2%,5.2%,82.3%,31.3%,16.6%,11.4%,,,13.3%,1.52,15.1%,0.53,0.50%,,,,,,,,
1,9/Jan/2026,CLP,Peer Group,BTG Pactual SC Chile,BTG,Pactual,,"79,599.4",6.3,3.5%,3.5%,50.0%,19.8%,10.3%,6.6%,,,13.0%,0.78,1.9%,0.61,0.60%,,,,,,,,
1,9/Jan/2026,CLP,Indices,MSCI Chile SC Net,,,,1.2,,4.9%,4.9%,51.2%,28.6%,18.5%,10.7%,"1,413.3%",8.9%,,,,,,,,,,,,,
1,9/Jan/2026,CLP,Indices,IGPA Small Cap,,,,"99,517.0",,4.1%,4.1%,59.3%,30.4%,23.4%,15.5%,,,12.4%,1.53,,,,,,,,,,,
1,9/Jan/2026,CLP,Indices,IGPA Mid Cap,,,,"54,612.2",,4.8%,4.8%,59.2%,32.6%,24.1%,11.8%,,,13.1%,1.69,,,,,,,,,,,
1,9/Jan/2026,CLP,Indices,IGPA SC & MC,,,,"2,237.3",,4.5%,4.5%,58.8%,31.8%,24.0%,13.4%,,,12.1%,1.74,,,,,,,,,,,
