page_num,report_date,currency,group,FUND,Date,Manager,Incep,NAV,AUM_USD_mm,MTD,YTD,1_year,3_years,5_years,10_years,sigma,Sharpe,Alpha,Beta,Mgmt_Fee
1,31/Jan/2026,CLP,Peer Group,"Compass SC Chile - I Compass 155,012.8",404.0 9.3%,9.3% 67.9%,30.5% 18.6%,12.7%,,14.1% 1.46,11.7%,0.62,0.50%,,,,,,,
1,31/Jan/2026,CLP,Peer Group,"LarrainVial SC Chile LarrainVial 17,415.1",111.0 11.4%,11.4% 94.6%,37.6% 20.5%,,,15.3% 1.70,17.1%,0.65,0.50%,,,,,,,
1,31/Jan/2026,CLP,Peer Group,"Toesca SC Chile Toesca 17,979.7",95.9 10.4%,10.4% 69.8%,31.6% 16.2%,,,14.2% 1.50,15.3%,0.53,0.50%,,,,,,,
1,31/Jan/2026,CLP,Peer Group,"Siglo XXI BICE 71,572.4",72.9 11.3%,11.3% 68.1%,30.4% 17.5%,11.9%,,14.3% 1.42,11.4%,0.63,0.50%,,,,,,,
1,31/Jan/2026,CLP,Indices,MSCI Chile SC Net 1.2,10.3%,10.3% 47.6%,29.5% 20.1%,11.1% 1491.6% 9.1%,,13.9% 1.43,,,,,,,,,,
1,31/Jan/2026,CLP,Indices,"IGPA Small Cap 103,196.0",7.9%,7.9% 54.3%,30.1% 24.1%,15.8%,,12.8% 1.57,,,,,,,,,,
1,31/Jan/2026,CLP,Indices,"IGPA Mid Cap 58,370.9",12.0%,12.0% 61.1%,34.5% 26.1%,12.4%,,14.0% 1.70,,,,,,,,,,
1,31/Jan/2026,CLP,Indices,"IGPA SC & MC 2,366.1",10.6%,10.6% 58.4%,33.0% 25.5%,13.9%,,12.8% 1.75,,,,,,,,,,
1,31/Jan/2026,CLP,Indices,"Moneda 500 6,763.0",9.9%,9.9% 59.7%,33.1% 22.1%,11.8% 2159.6% 10.3%,,12.3% 1.82,,,,,,,,,,
1,31/Jan/2026,CLP,Indices,"IPSA 11,420.1",9.0%,9.0% 58.6%,29.0% 21.6%,11.9% 1368.8% 8.8%,,14.7% 1.32,,,,,,,,,,
1,31/Jan/2026,CLP,Indices,MSCI EM Latam SC Net 1.2,8.3%,8.3% 33.5%,15.5% 11.9%,11.6%,,20.4% 0.46,,,,,,,,,,
1,31/Jan/2026,CLP,Indices,"UF 39,706.1",-0.1%,-0.1% 3.4%,4.0% 6.4%,4.5% 268.9% 4.2%,,,,,,,,,,,,
1,31/Jan/2026,CLP,Indices,U.S. Dollar (Obs) USD/CLP 865.1,4.9%,4.9% 13.8%,-2.4% -3.2%,-2.0% -50.3% -2.2%,,,,,,,,,,,,
1,31/Jan/2026,CLP,Indices,"Moneda Past performance 500: Moneda's is not in-house a guide index. to future Composed results. by Q2, Q3 and Q4 (Market Cap Quartiles) Chilean",stock market listed,companies.,,,,,,,,,,,,,,
2,31/Jan/2026,CLP,Moneda,"MRV R Moneda 32,940.7",3.2 7.3%,7.3% 57.3%,,,,,,,1.30%,,,,,,,
2,31/Jan/2026,CLP,Moneda,"Orange Moneda 27,625.8",631.2 7.0%,7.0% 55.8%,25.7% 21.3%,12.8%,8.1%,14.0% 1.19,-0.5%,0.92,,,,,,,,
2,31/Jan/2026,CLP,Peer Group,"MBI Arbitrage MBI 60,924.3",79.4 4.3%,4.3% 34.4%,22.1% 16.6%,9.4%,,13.6% 1.01,-2.5%,0.88,0.85%,,,,,,,
2,31/Jan/2026,CLP,Peer Group (Mutual Funds),"FM BTG Chile Acción BTG Pactual 1,994.3",331.8 8.5%,8.5% 64.4%,34.1% 25.9%,,,15.0% 1.57,4.2%,1.00,1.00%,,,,,,,
2,31/Jan/2026,CLP,Peer Group (Mutual Funds),"FM ETF Itau Now IPSA Itau 5,433.7",248.0 8.9%,8.9% 58.2%,28.4% 21.1%,11.6%,,14.7% 1.29,-0.4%,1.00,0.47%,,,,,,,
2,31/Jan/2026,CLP,Peer Group (Mutual Funds),"FM Security Index Fund Chile 20-Jan Security 1,421.2",171.2 6.5%,6.5% 49.4%,23.2% 14.6%,8.4%,4.6%,14.3% 1.03,-3.7%,0.96,0.63%,,,,,,,
2,31/Jan/2026,CLP,Peer Group (Mutual Funds),"FM Principal Capitales Acc Chilenas Principal 1,989.1",170.5 10.0%,10.0% 61.5%,30.4% 26.3%,,,13.5% 1.51,4.3%,0.88,1.09%,,,,,,,
2,31/Jan/2026,CLP,Peer Group (Mutual Funds),"FM Toesca Chile Equities Toesca 2,257.0",146.2 9.3%,9.3% 66.5%,30.3% 28.9%,,,14.2% 1.44,2.8%,0.93,1.10%,,,,,,,
2,31/Jan/2026,CLP,Peer Group (Mutual Funds),"FM Compass Acciones Chilenas Compass 2,529.8",135.3 11.3%,11.3% 66.2%,31.8% 27.5%,,,14.1% 1.53,4.6%,0.91,0.80%,,,,,,,
2,31/Jan/2026,CLP,Peer Group (Mutual Funds),"FM Santander Acciones Chilenas III Santander 1,851.8",112.9 9.2%,9.2% 59.9%,29.5% 22.1%,,,14.7% 1.35,0.4%,1.00,1.29%,,,,,,,
2,31/Jan/2026,CLP,Peer Group (Mutual Funds),"FM Credicorp Acciones Estratégicas Credicorp 2,380.6",44.8 9.3%,9.3% 65.5%,32.3% 25.1%,12.3%,,14.2% 1.54,4.1%,0.94,1.05%,,,,,,,
2,31/Jan/2026,CLP,Peer Group (Hedge Funds Chile),"FM LarrainVial Enfoque LarrainVial 2,477.5",583.5 14.4%,14.4% 87.4%,42.6% 30.5%,15.0% 227.4% 8.4%,10.2%,15.4% 1.93,11.9%,0.97,0.84%,,,,,,,
2,31/Jan/2026,CLP,Peer Group (Hedge Funds Chile),"Falcom Tactical Chilean Equities Falcom 4,187.1",520.8 10.2%,10.2% 70.9%,36.1% 30.7%,19.8%,,15.8% 1.59,4.9%,1.03,1.50%,,,,,,,
2,31/Jan/2026,CLP,Peer Group (Hedge Funds Chile),"Arrayan Acciones Chilenas Arrayan 60,280.1",136.0 9.4%,9.4% 39.5%,24.3% 25.0%,,,11.2% 1.37,3.5%,0.72,0.80%,,,,,,,
2,31/Jan/2026,CLP,Peer Group (Hedge Funds Chile),"Quest Acciones Chile Quest 103,119.9",88.5 9.1%,9.1% 59.2%,30.6% 25.5%,16.9%,,14.8% 1.40,3.1%,0.93,1.26%,,,,,,,
2,31/Jan/2026,CLP,Indices,"IPSA 11,420.1",9.0%,9.0% 58.6%,29.0% 21.6%,11.9% 137.1% 6.0%,156.6%,14.7% 1.32,,,,,,,,,,
2,31/Jan/2026,CLP,Indices,"MSCI TR Net Chile USD 467,524.3",8.0%,8.0% 56.7%,21.9% 16.7%,8.7% 71.7% 3.7%,4.8%,17.1% 0.82,,,,,,,,,,
2,31/Jan/2026,CLP,Indices,MSCI Chile LC USD Net 1.3,7.8%,7.8% 70.8%,15.9% 15.5%,8.8% 63.4% 3.4%,4.7%,23.4% 0.43,,,,,,,,,,
2,31/Jan/2026,CLP,Indices,"FTSE Chile All Cap TR 2,212.2",8.9%,8.9% 58.5%,26.6% 20.3%,11.0%,,15.3% 1.15,,,,,,,,,,
2,31/Jan/2026,CLP,Indices,"FTSE Chile All Cap TR Gross Orange 2,536.4",8.4%,8.4% 58.0%,26.3% 20.3%,11.0%,7.0%,15.3% 1.14,,,,,,,,,,
2,31/Jan/2026,CLP,Indices,"Dow Jones Sustainability Chile 1,823.2",8.6%,8.6% 54.9%,22.3% 14.6%,6.7%,,15.1% 0.93,,,,,,,,,,
2,31/Jan/2026,CLP,Indices,U.S. Dollar (Obs) USD/CLP 865.1,4.9%,4.9% 13.8%,-2.4% -3.2%,-2.0% -45.8% -4.1%,-4.5%,,,,,,,,,,,
3,31/Jan/2026,USD,Moneda,145.9,60.4 13.9%,13.9% 52.4%,12.2% 6.7%,7.2%,,23.4% 0.40,-0.6%,1.01,,,,,,,,
3,31/Jan/2026,USD,Moneda,Zurich AM SICAV SC Latam I Zurich,,,,,,,,,,,,,,,,
3,31/Jan/2026,USD,Peer Group (Latam Specific Country),"MSCI Brasil SC Net 1,699.7",14.3%,14.3% 48.1%,9.3% 3.6%,13.5% 46.7% 2.2%,,28.1% 0.28,-4.5%,1.19,,,,,,,,
3,31/Jan/2026,USD,Peer Group (Latam Specific Country),"MSCI Chile SC Net 1,403.9",15.7%,15.7% 67.9%,26.4% 16.3%,8.9% 48.1% 2.2%,,20.4% 1.02,17.1%,0.67,,,,,,,,
3,31/Jan/2026,USD,Peer Group (Latam Specific Country),"MSCI Colombia SC Net 2,260.3",24.2%,24.2% 78.2%,,,,,,,,,,,,,,
3,31/Jan/2026,USD,Peer Group (Latam Specific Country),"1,463.5",7.5%,7.5% 43.0%,11.1% 16.8%,8.8% 45.1% 2.1%,,22.0% 0.37,2.6%,0.70,,,,,,,,
3,31/Jan/2026,USD,Peer Group (Latam Specific Country),MSCI Mexico SC Net,,,,,,,,,,,,,,,,
3,31/Jan/2026,USD,Indices,"MSCI EM Latam SC Net 1,437.1",13.6%,13.6% 51.9%,12.8% 8.3%,9.4% 36.2% 1.8%,,23.0% 0.43,,,,,,,,,,
4,31/Jan/2026,USD,Moneda,35.4,"4,020.4 16.1%",16.1% 58.7%,17.0% 11.1%,9.0% 7.1% 4.79%,-0.7%,21.0% 0.62,0.3%,0.98,0.49%,,,,,,,
4,31/Jan/2026,USD,Moneda,iShares Latam 40 ETF BlackRock,,,,,,,,,,,,,,,,
4,31/Jan/2026,USD,Moneda,DWS Invest Latam Equities Deutsche 296.3,"2,656.0 15.3%",15.3% 64.2%,18.0% 13.9%,,,21.0% 0.66,1.4%,0.97,0.30%,,,,,,,
4,31/Jan/2026,USD,Moneda,LV Latin American Equity LarrainVial 155.2,"2,162.2 14.5%",14.5% 59.9%,18.0% 11.9%,,,20.1% 0.69,1.7%,0.94,1.00%,,,,,,,
4,31/Jan/2026,USD,Moneda,BlackRock Global Funds Latam BlackRock 88.6,858.2 15.8%,15.8% 51.8%,12.1% 7.8%,7.8% 5.9% 4.03%,-1.0%,23.8% 0.39,-5.0%,1.07,,,,,,,,
4,31/Jan/2026,USD,Moneda,Schroder Latam Equities Schroder 75.8,682.7 16.2%,16.2% 52.3%,14.4% 10.7%,11.1% 9.1% 7.06%,1.3%,20.6% 0.52,-1.2%,0.94,,,,,,,,
4,31/Jan/2026,USD,Moneda,Templeton Latin America Fund Templeton 31.8,614.0 14.2%,14.2% 60.9%,15.2% 10.6%,9.7% 8.2% 6.12%,0.4%,21.0% 0.55,-1.2%,0.98,,,,,,,,
4,31/Jan/2026,USD,Moneda,JPMorgan Latam (LX) JPMorgan 33.1,544.2 16.3%,16.3% 58.1%,18.7% 11.6%,11.2% 9.6% 7.38%,2.5%,20.4% 0.71,2.3%,0.94,0.85%,,,,,,,
4,31/Jan/2026,USD,Moneda,Fidelity Latam I (LX) Fidelity 10.9,421.4 16.1%,16.1% 60.6%,16.7% 9.0%,9.4% 7.8% 6.04%,,21.7% 0.60,-0.2%,1.00,,,,,,,,
4,31/Jan/2026,USD,Moneda,BCI SICAV Latam Equity Fund BCI 136.4,310.6 14.2%,14.2% 59.9%,15.8% 12.8%,,,20.9% 0.57,-0.9%,0.99,1.00%,,,,,,,
4,31/Jan/2026,USD,Moneda,"Amundi Latam Equity (LX) Amundi 8,777.3",297.6 16.2%,16.2% 63.7%,20.2% 14.6%,11.3% 9.4% 6.99%,0.9%,21.0% 0.75,3.0%,0.99,0.90%,,,,,,,
