page_num,report_date,currency,group,FUND,Date,Manager,Incep,NAV,AUM_USD_mm,MTD,YTD,1_year,3_years,5_years,10_years,sigma,Sharpe,Alpha,Beta,Mgmt_Fee
4,31/Jan/2026,USD,Moneda,Handelsbanken Latinamerika Handelsbanken 18.9,261.4 13.2%,13.2% 57.2%,17.5% 10.9%,,,20.5% 0.65,1.9%,0.91,,,,,,,,
4,31/Jan/2026,USD,Moneda,Threadneedle Latam (GB) Threadneedle 483.1,223.5 16.2%,16.2% 53.6%,15.0% 6.6%,8.6% 6.7% 4.50%,-0.1%,18.8% 0.58,0.5%,0.85,1.00%,,,,,,,
4,31/Jan/2026,USD,Moneda,"Santander SC Latam (LX) Santander 1,442.9",93.3 14.4%,14.4% 58.5%,12.9% 9.5%,7.6% 6.2% 4.24%,0.5%,21.2% 0.45,-3.5%,1.00,0.70%,,,,,,,
4,31/Jan/2026,USD,Moneda,All BTG Pactual Latam Equity 30-Jan BTG Pactual 144.7,84.9 11.7%,11.7% 59.1%,12.1% 8.9%,7.4% 6.3% 4.92%,,20.5% 0.42,-3.4%,0.95,0.90%,,,,,,,
4,31/Jan/2026,USD,Moneda,Ninety One Latam Equities (LX) Ninety One 22.2,39.4 14.1%,14.1% 64.5%,8.6% 6.8%,8.9% 7.6% 5.93%,0.5%,22.2% 0.26,-7.0%,1.00,1.00%,,,,,,,
4,31/Jan/2026,USD,Moneda,"Credicorp Latam Equities Credicorp 1,614.8",25.7 15.7%,15.7% 56.6%,13.7% 8.2%,,,21.3% 0.48,-2.9%,1.00,,,,,,,,
4,31/Jan/2026,USD,Peer Group (Latam Specific Country),iShares MSCI Brazil ETF BlackRock 37.0,"8,803.8 16.6%",16.6% 49.5%,12.7% 7.5%,9.8% 7.8% 4.5%,-2.9%,25.3% 0.41,-5.3%,1.14,0.59%,,,,,,,
4,31/Jan/2026,USD,Peer Group (Latam Specific Country),iShares MSCI Mexico ETF BlackRock 75.1,"2,110.2 8.4%",8.4% 56.1%,12.2% 15.6%,5.7% 4.1% 3.5%,1.8%,19.7% 0.44,0.2%,0.74,0.47%,,,,,,,
4,31/Jan/2026,USD,Peer Group (Latam Specific Country),iShares MSCI Chile ETF BlackRock 45.2,"1,315.2 12.0%",12.0% 69.4%,19.5% 13.3%,6.6% 5.5% 4.2%,-0.7%,19.9% 0.75,6.4%,0.76,0.59%,,,,,,,
4,31/Jan/2026,USD,Peer Group (Latam Specific Country),iShares MSCI Peru ETF BlackRock 86.6,530.3 19.7%,19.7% 119.1%,46.3% 24.5%,18.3% 15.7% 12.8%,6.3%,22.5% 1.61,31.7%,0.74,0.59%,,,,,,,
4,31/Jan/2026,USD,Indices,"MSCI Latam 10/40 Net 1,154.1",15.3%,15.3% 63.5%,17.0% 13.6%,11.0% 9.1% 7.0%,1.5%,21.0% 0.62,,,,,,,,,,
4,31/Jan/2026,USD,Indices,"MSCI Latam ESG Leaders Net 1,615.9",14.7%,14.7% 67.0%,14.4% 8.1%,8.0% 6.2% 4.0%,0.9%,21.5% 0.51,,,,,,,,,,
4,31/Jan/2026,USD,Indices,MSCI Latam TR Net 840.2,15.3%,15.3% 63.0%,16.7% 13.4%,10.9% 8.9% 6.8%,1.2%,20.9% 0.61,,,,,,,,,,
4,31/Jan/2026,USD,Other Moneda Funds Returns,Mercer Moneda 238.4,290.7 14.6%,14.6% 64.8%,14.4% 12.4%,8.0% 12.4%,,22.1% 0.50,-1.0%,0.98,,,,,,,,
4,31/Jan/2026,USD,Other Moneda Funds Returns,Moneda All Caps A Moneda 90.2,36.7 13.8%,13.8% 55.5%,,,,,,,0.10%,,,,,,,
4,31/Jan/2026,USD,Other Moneda Funds Returns,Moneda All Caps AE Moneda 90.6,1.3 13.8%,13.8% 55.5%,,,,,,,0.10%,,,,,,,
4,31/Jan/2026,USD,Other Moneda Funds Returns,"MSCI EM Latam IMI 1,673.8",15.1%,15.1% 61.6%,16.2% 12.6%,10.7% 10.1% 12.6%,,21.1% 0.59,,,,,,,,,,
4,31/Jan/2026,USD,Other Moneda Funds Returns,Glory Moneda 216.9,388.6 14.3%,14.3% 60.2%,14.1% 9.4%,11.0% 9.7% 7.6%,2.5%,21.2% 0.50,-2.6%,0.99,,,,,,,,
4,31/Jan/2026,USD,Other Moneda Funds Returns,"MSCI TR Latam Gross 12,388.8",15.3%,15.3% 63.9%,17.3% 14.0%,11.4% 9.4% 7.0%,1.6%,21.0% 0.64,,,,,,,,,,
