page_num,report_date,currency,group,FUND,Date,Manager,Incep,NAV,AUM_USD_mm,MTD,YTD,1_year,3_years,5_years,10_years,CUMULATIVE S. INCEP. PIONERO,ANNUALIZED S. INCEP. PIONERO,sigma,Sharpe,Alpha,Beta,Mgmt_Fee,ANNUALIZED S. INCEP. ORANGE,CUMULATIVE S. INCEP. MRV A,ANNUALIZED S. INCEP. MRV A,CUMULATIVE S. INCEP. MSC,ANNUALIZED S. INCEP. MSC,ANNUALIZED S. INCEP. MLE LX,ANNUALIZED S. INCEP. MDELA,ANNUALIZED S. INCEP. GLORY
1,16/Jan/2026,CLP,Moneda,Pionero A,,Moneda,,"15,860.1",576.5,8.8%,8.8%,81.1%,35.7%,24.1%,15.4%,"8,697.6%",15.1%,12.8%,1.84,18.0%,0.55,0.85%,,,,,,,,
1,16/Jan/2026,CLP,Moneda,Pionero AE,,Moneda,,"16,027.7",1.6,8.8%,8.8%,81.4%,36.0%,24.3%,,,,12.8%,1.85,18.2%,0.55,0.85%,,,,,,,,
1,16/Jan/2026,CLP,Moneda,Pionero I,,Moneda,,"15,870.3",214.1,8.8%,8.8%,,,,,,,,,,,0.75%,,,,,,,,
1,16/Jan/2026,CLP,Moneda,Pionero R,,Moneda,,"15,289.9",49.0,8.6%,8.6%,76.2%,,,,,,,,,,1.80%,,,,,,,,
1,16/Jan/2026,CLP,Peer Group,Compass SC Chile - I,,Compass,,"151,646.2",385.6,6.9%,6.9%,72.6%,31.6%,17.6%,12.7%,,,13.7%,1.44,11.9%,0.60,0.50%,,,,,,,,
1,16/Jan/2026,CLP,Peer Group,LarrainVial SC Chile,,LarrainVial,,"16,687.5",101.4,6.8%,6.8%,97.1%,37.6%,19.1%,,,,14.6%,1.68,17.4%,0.60,0.50%,,,,,,,,
1,16/Jan/2026,CLP,Peer Group,Toesca SC Chile,,Toesca,,"17,514.3",87.7,7.5%,7.5%,72.7%,32.2%,15.2%,,,,13.8%,1.48,15.7%,0.50,0.50%,,,,,,,,
1,16/Jan/2026,CLP,Peer Group,Siglo XXI,BICE,,,"68,925.0",68.8,7.2%,7.2%,70.6%,30.6%,16.1%,11.8%,,,13.6%,1.40,11.8%,0.58,0.50%,,,,,,,,
1,16/Jan/2026,CLP,Peer Group,Falcom Small Cap Chile,,Falcom,,"1,517.7",9.1,7.6%,7.6%,77.9%,33.6%,18.2%,,,,14.6%,1.46,14.1%,0.59,,,,,,,,,
1,16/Jan/2026,CLP,Peer Group,Chile FI SC,,BanChile,,"138,109.4",7.5,5.6%,5.6%,74.9%,27.0%,18.9%,11.7%,,,13.2%,1.25,8.7%,0.59,0.50%,,,,,,,,
1,16/Jan/2026,CLP,Peer Group,BCI Small Cap Chile,BCI,,,"14,583.2",7.2,6.3%,6.3%,78.5%,32.2%,16.0%,11.5%,,,13.4%,1.53,14.8%,0.53,0.50%,,,,,,,,
1,16/Jan/2026,CLP,Peer Group,BTG Pactual SC Chile,BTG,Pactual,,"81,838.3",6.6,6.4%,6.4%,48.7%,20.8%,9.8%,6.9%,,,13.1%,0.81,1.8%,0.61,0.60%,,,,,,,,
1,16/Jan/2026,CLP,Indices,MSCI Chile SC Net,,,,1.2,,8.3%,8.3%,53.4%,30.0%,19.1%,11.0%,"1,463.2%",9.0%,,,,,,,,,,,,,
1,16/Jan/2026,CLP,Indices,IGPA Small Cap,,,,"99,997.2",,4.6%,4.6%,57.1%,30.6%,22.6%,15.6%,,,12.4%,1.53,,,,,,,,,,,
1,16/Jan/2026,CLP,Indices,IGPA Mid Cap,,,,"56,596.2",,8.6%,8.6%,64.0%,34.2%,24.7%,12.5%,,,13.1%,1.69,,,,,,,,,,,
1,16/Jan/2026,CLP,Indices,IGPA SC & MC,,,,"2,310.1",,7.9%,7.9%,62.4%,33.3%,24.3%,14.0%,,,12.2%,1.74,,,,,,,,,,,
1,16/Jan/2026,CLP,Indices,Moneda 500,,,,"6,616.6",,7.5%,7.5%,63.9%,33.8%,21.1%,11.9%,"2,110.6%",10.2%,11.8%,1.82,,,,,,,,,,,
1,16/Jan/2026,CLP,Indices,IPSA,,,,"11,156.7",,6.4%,6.4%,60.4%,29.3%,19.5%,12.3%,"1,334.9%",8.7%,14.3%,1.28,,,,,,,,,,,
1,16/Jan/2026,CLP,Indices,MSCI EM Latam SC Net,,,,1.2,,2.3%,2.3%,32.9%,14.3%,9.1%,10.9%,,,,,,,,,,,,,,,
1,16/Jan/2026,CLP,Indices,UF,,,,"39,744.6",,0.0%,0.0%,3.4%,4.1%,6.4%,4.5%,269.3%,4.2%,,,,,,,,,,,,,
1,16/Jan/2026,CLP,Indices,U.S. Dollar (Obs) USD/CLP,,,,887.0,,2.3%,2.3%,13.9%,−2.5%,−3.7%,−1.9%,−51.5%,−2.2%,,,,,,,,,,,,,
2,16/Jan/2026,CLP,Moneda,MRV A,,Moneda,,"33,023.3",51.4,5.8%,5.8%,61.5%,28.1%,19.4%,12.2%,,,14.1%,1.22,−0.1%,0.95,0.80%,7.1%,140.3%,6.2%,,,,,
2,16/Jan/2026,CLP,Moneda,MRV AE,,Moneda,,"33,346.4",0.2,5.8%,5.8%,61.8%,28.3%,19.6%,,,,14.1%,1.23,−0.0%,0.96,0.80%,,,,,,,,
2,16/Jan/2026,CLP,Moneda,MRV E,,Moneda,,"33,673.9",28.0,5.8%,5.8%,62.2%,28.4%,19.9%,,,,14.1%,1.23,0.0%,0.96,0.65%,,,,,,,,
2,16/Jan/2026,CLP,Moneda,MRV I,,Moneda,,"34,196.1",13.1,5.8%,5.8%,62.2%,28.4%,20.0%,,,,14.1%,1.23,0.0%,0.96,0.65%,,,,,,,,
2,16/Jan/2026,CLP,Moneda,MRV R,,Moneda,,"32,483.0",3.0,5.8%,5.8%,60.7%,,,,,,,,,,1.30%,,,,,,,,
2,16/Jan/2026,CLP,Moneda,Orange,,Moneda,,"27,229.1",606.8,5.5%,5.5%,59.1%,26.9%,19.7%,13.2%,,,13.8%,1.17,−0.5%,0.93,,8.0%,,,,,,,
2,16/Jan/2026,CLP,Peer Group,MBI Arbitrage,MBI,,,"60,937.3",77.3,4.3%,4.3%,39.6%,23.6%,15.6%,9.9%,,,13.6%,1.01,−2.4%,0.91,0.85%,,,,,,,,
2,16/Jan/2026,CLP,Peer Group (Mutual Funds),FM BTG Chile Acción,BTG,Pactual,,"1,952.2",317.3,6.2%,6.2%,67.6%,35.2%,23.7%,,,,14.7%,1.54,4.2%,1.00,1.00%,,,,,,,,
2,16/Jan/2026,CLP,Peer Group (Mutual Funds),FM ETF Itau Now IPSA,Itau,,,"5,311.9",231.2,6.4%,6.4%,59.9%,28.8%,19.0%,12.0%,,,14.4%,1.27,−0.3%,1.00,0.47%,,,,,,,,
2,16/Jan/2026,CLP,Peer Group (Mutual Funds),FM Security Index Fund Chile,,Security,,"1,420.9",167.6,6.4%,6.4%,54.1%,24.4%,13.1%,8.9%,,,14.3%,1.03,−3.4%,0.99,0.63%,4.6%,,,,,,,
2,16/Jan/2026,CLP,Peer Group (Mutual Funds),FM Principal Capitales Acc Chilenas,,Principal,,"1,940.6",154.2,7.3%,7.3%,62.6%,31.0%,24.0%,,,,13.1%,1.49,4.6%,0.87,1.09%,,,,,,,,
2,16/Jan/2026,CLP,Peer Group (Mutual Funds),FM Toesca Chile Equities,,Toesca,,"2,188.5",133.1,5.9%,5.9%,67.1%,30.6%,26.7%,,,,13.7%,1.41,2.8%,0.93,1.10%,,,,,,,,
2,16/Jan/2026,CLP,Peer Group (Mutual Funds),FM Compass Acciones Chilenas,,Compass,,"2,458.8",125.1,8.1%,8.1%,67.0%,32.2%,25.1%,,,,13.5%,1.52,4.9%,0.89,0.80%,,,,,,,,
2,16/Jan/2026,CLP,Peer Group (Mutual Funds),FM Santander Acciones Chilenas III,,Santander,,"1,802.8",102.0,6.2%,6.2%,61.1%,29.7%,19.9%,,,,14.3%,1.31,0.5%,1.00,1.29%,,,,,,,,
2,16/Jan/2026,CLP,Peer Group (Mutual Funds),FM Credicorp Acciones Estratégicas,,Credicorp,,"2,316.4",42.7,6.3%,6.3%,68.4%,32.7%,22.9%,12.0%,,,13.8%,1.52,4.2%,0.94,1.05%,,,,,,,,
2,16/Jan/2026,CLP,Peer Group (Hedge Funds Chile),FM LarrainVial Enfoque,,LarrainVial,,"2,375.8",527.9,9.7%,9.7%,91.3%,42.3%,28.0%,15.0%,,,14.4%,1.96,12.4%,0.93,0.84%,9.8%,214.0%,8.1%,,,,,
