Date,Chile - 10Y Yield (%),Chile - FX Spot,Brazil - 10Y Yield (%),Brazil - FX Spot,Colombia - 10Y Yield (%),Colombia - FX Spot,Peru - 10Y Yield (%),Peru - FX Spot,Mexico - 10Y Yield (%),Mexico - FX Spot,United States - 10Y Yield (%),US - DXY Index,China - 10Y Yield (%),China - FX Spot,European Union - 10Y Yield (%),European Union - EURUSD
2026-01-06,5.39,893.8,13.71,5.3756,12.457,3715.0,5.85,3.3622,8.923,17.995,4.173,98.58,1.882,6.9839,2.842,1.1689
2026-01-07,5.35,895.8,13.708,5.3887,12.52,3743.6,5.85,3.3625,8.874,17.9793,4.1475,98.684,1.897,6.9916,2.812,1.1675
2026-01-08,5.33,897.43,13.695,5.3861,12.547,3710.19,5.88,3.363,8.917,17.9731,4.1672,98.934,1.886,6.9845,2.863,1.166
2026-01-09,5.32,894.04,13.694,5.366,12.513,3715.39,5.91,3.3613,8.977,17.9771,4.1653,99.133,1.872,6.9783,2.863,1.1637
2026-01-12,5.32,884.63,13.645,5.3747,,,5.93,3.3595,8.97,17.9291,4.1752,98.862,1.863,6.9731,2.841,1.1667
2026-01-13,5.32,886.24,13.682,5.3737,12.453,3629.02,5.91,3.3585,8.984,17.8305,4.1792,99.134,1.855,6.9777,2.847,1.1642
2026-01-14,5.32,882.4,13.779,5.3928,12.205,3682.48,5.93,3.3603,8.979,17.7911,4.132,99.055,1.849,6.9729,2.814,1.1644
2026-01-15,5.33,883.04,13.828,5.3707,12.019,3689.5,5.95,3.3605,9.013,17.6563,4.1694,99.321,1.849,6.9671,2.819,1.1609
2026-01-16,5.34,886.42,13.933,5.3713,12.032,3696.82,5.96,3.3585,9.11,17.628,4.2229,99.393,1.841,6.9703,2.835,1.1598
2026-01-19,,888.97,13.936,5.3657,,3655.63,,3.3575,9.11,17.5726,4.2229,99.393,1.838,6.9641,2.839,1.1646
2026-01-20,5.35,885.5,14.061,5.3759,12.046,3671.93,5.94,3.3575,9.217,17.5987,4.2925,98.641,1.84,6.9608,2.859,1.1725
2026-01-21,5.35,874.53,13.94,5.3166,12.207,3671.05,5.88,3.3565,9.089,17.4825,4.2428,98.761,1.832,6.9648,2.882,1.1685
2026-01-22,5.34,869.66,13.861,5.2879,12.247,3603.5,5.89,3.3535,8.976,17.4699,4.2449,98.359,1.835,6.9696,2.888,1.1755
2026-01-23,5.35,866.45,13.799,5.2857,12.197,3645.04,5.88,3.3525,8.96,17.3627,4.2252,97.599,1.828,6.9632,2.906,1.1828
2026-01-26,5.35,864.75,13.762,5.2831,12.315,3682.05,5.88,3.3505,8.983,17.3629,4.2113,97.04,1.824,6.9542,2.867,1.188
2026-01-27,5.35,859.55,13.594,5.1852,12.354,3635.54,5.86,3.346,8.935,17.1271,4.2432,96.217,1.83,6.9546,2.875,1.2041
2026-01-28,5.34,865.35,13.541,5.1974,12.316,3673.62,5.82,3.3452,8.898,17.1892,4.2432,96.446,1.819,6.9484,2.857,1.1954
2026-01-29,5.34,859.13,13.543,5.1897,12.335,3640.7,5.76,3.3452,8.833,17.2228,4.2313,96.283,1.816,6.9524,2.84,1.1971
2026-01-30,5.34,873.7,13.586,5.2634,12.389,3696.89,5.78,3.369,8.875,17.4606,4.2355,96.991,1.811,6.9569,2.843,1.1851
2026-02-02,5.34,865.03,13.644,5.2567,12.372,3616.2,5.79,3.366,,17.3984,4.2774,97.632,1.819,6.9453,2.868,1.1791
2026-02-03,5.34,859.63,13.675,5.2385,12.442,3647.39,5.8,3.3615,8.889,17.2268,4.2655,97.437,1.815,6.9385,2.891,1.1819
2026-02-04,5.34,861.43,13.666,5.246,12.571,3650.54,5.81,3.3615,8.917,17.3338,4.2735,97.616,1.817,6.9439,2.859,1.1807
2026-02-05,5.34,866.99,13.707,5.2716,12.632,3710.33,5.78,3.3666,8.85,17.5073,4.1801,97.824,1.812,6.9384,2.843,1.1777
2026-02-06,5.34,856.08,13.764,5.2191,12.639,3660.5,5.77,3.3585,8.795,17.263,4.206,97.633,1.808,6.9358,2.842,1.1815
2026-02-09,5.34,852.15,13.666,5.1924,12.655,3657.24,5.8,3.356,8.8,17.1958,4.2021,96.816,1.807,6.9209,2.84,1.1914
2026-02-10,5.33,857.3,13.684,5.1972,12.727,3669.66,5.8,3.3575,8.745,17.1944,4.1427,96.799,1.807,6.9127,2.808,1.1895
2026-02-11,5.32,854.45,13.717,5.1843,12.794,3664.74,5.81,3.3545,8.748,17.1814,4.1724,96.834,1.799,6.9121,2.792,1.1872
2026-02-12,5.32,857.72,13.688,5.2125,12.747,3664.27,5.81,3.3535,8.707,17.226,4.0981,96.925,1.779,6.9017,2.779,1.1871
2026-02-13,5.32,861.63,13.617,5.2229,12.614,3655.19,5.8,3.3515,8.725,17.1701,4.0483,96.915,1.788,6.9049,2.755,1.1868
2026-02-16,,863.62,,,,3667.13,,3.3473,8.725,17.1683,4.0483,96.915,,,2.754,1.1851
2026-02-17,5.28,865.92,,,12.828,3650.77,5.76,3.3455,8.749,17.1283,4.0578,97.155,,,2.738,1.1855
2026-02-18,5.28,863.33,13.615,5.2361,12.931,3682.97,5.77,3.352,8.758,17.2076,4.0827,97.703,,,2.739,1.1783
2026-02-19,5.28,865.58,13.668,5.215,13.051,3697.12,5.8,3.359,8.768,17.2523,4.0673,97.925,,,2.743,1.1773
2026-02-20,5.28,866.25,13.626,5.1754,13.104,3708.79,5.81,3.3615,8.847,17.1331,4.0826,97.796,,,2.737,1.1784
2026-02-23,5.29,866.15,13.636,5.1654,13.397,3685.54,5.8,3.3584,8.787,17.2689,4.0309,97.706,,,2.711,1.1785
2026-02-24,5.28,860.95,13.554,5.1531,13.517,3704.35,5.8,3.357,8.742,17.1769,4.029,97.843,1.798,6.8823,2.707,1.1772
2026-02-25,5.28,856.72,13.54,5.1249,13.449,3687.38,5.81,3.3555,8.678,17.1651,4.0519,97.7,1.812,6.8612,2.707,1.181
2026-02-26,5.29,865.77,13.51,5.1379,13.546,3764.2,5.85,3.3555,8.657,17.1951,4.0041,97.791,1.823,6.8475,2.691,1.1797
2026-02-27,5.26,872.73,13.552,5.1252,13.413,3751.64,5.85,3.3535,8.667,17.2268,3.9375,97.608,1.809,6.8624,2.643,1.1812
2026-03-02,5.26,881.4,13.583,5.175,13.462,3750.27,5.9,3.3635,8.803,17.316,4.0345,98.381,1.801,6.9051,2.712,1.1688
2026-03-03,5.29,905.32,13.805,5.2723,13.522,3802.75,5.97,3.4175,8.895,17.7018,4.0594,99.052,1.804,6.9181,2.752,1.1613
2026-03-04,5.29,897.2,13.674,5.2312,13.391,3747.5,6.49,3.412,8.823,17.5754,4.0959,98.769,1.797,6.8971,2.75,1.1634
2026-03-05,5.32,913.78,13.878,5.2639,13.264,3773.66,6.56,3.4502,8.995,17.722,4.1363,99.317,1.795,6.9113,2.841,1.1609
2026-03-06,5.35,911.58,14.158,5.2382,13.318,3775.34,6.61,3.479,9.044,17.8004,4.1383,98.986,1.801,6.9047,2.86,1.1618
2026-03-09,5.39,914.28,13.834,5.1575,13.23,3765.08,6.64,3.4905,9.093,17.614,4.0958,99.175,1.82,6.907,2.859,1.1636
2026-03-10,5.4,890.42,13.784,5.159,13.061,3698.82,6.59,3.4288,9.002,17.5971,4.1557,98.826,1.819,6.8685,2.836,1.1611
2026-03-11,5.41,896.48,13.821,5.1567,13.134,3704.4,6.58,3.422,9.042,17.677,4.2296,99.231,1.823,6.8741,2.932,1.1567
2026-03-12,5.45,917.0,14.072,5.2459,13.256,3685.6,6.63,3.4485,9.229,17.8638,4.2609,99.739,1.82,6.8808,2.957,1.1512
2026-03-13,5.49,920.0,14.343,5.3237,13.291,3698.3,6.64,3.452,9.437,17.946,4.2767,100.362,1.827,6.9037,2.983,1.1417
2026-03-16,5.53,908.65,13.906,5.2309,13.179,3698.53,6.78,3.419,,17.6854,4.216,99.712,1.846,6.8906,2.952,1.1505
2026-03-17,5.5,907.05,13.916,5.1934,13.062,3693.31,6.73,3.417,9.335,17.6554,4.1985,99.575,1.841,6.8848,2.906,1.154
2026-03-18,5.54,917.64,14.047,5.2678,12.987,3693.65,6.72,3.4425,9.405,17.8585,4.265,100.086,1.832,6.8878,2.94,1.1452
2026-03-19,5.65,913.5,13.998,5.221,12.996,3677.77,6.77,3.454,9.337,17.7345,4.2493,99.232,1.84,6.8909,2.962,1.1589
2026-03-20,5.68,933.51,14.174,5.3159,13.055,3719.15,6.82,3.48,9.456,17.8997,4.3796,99.647,1.839,6.9036,3.043,1.1572
2026-03-23,5.71,909.98,14.029,5.2351,,,6.79,3.46,9.301,17.7873,4.342,98.95,1.843,6.8838,3.005,1.1613
2026-03-24,5.75,915.2,14.117,5.2323,12.964,3680.67,6.78,3.4575,9.264,17.7457,4.3599,99.434,1.837,6.8938,3.027,1.1608
2026-03-25,5.75,912.0,,5.2084,,3682.2,,3.464,9.15,17.7351,4.3164,99.427,1.825,6.9017,2.959,1.1586
