FILE,DATE,FUND,BENCHMARK,SECURITY,FUND_AVG_WEIGHT,FUND_CONTRIB,BENCH_AVG_WEIGHT,BENCH_CONTRIB,SELECT. EFFECT,ALLOC. EFFECT,TOTAL EFFECT,ROW_TYPE
PAs  Presentación Guille 31-12-2025.xlsx,2025-12-31,GLORY,GDUEEGFL Index,GENTERA,0.03022211243026138,0.028888633235372004,0.0,0.0,0.0,0.028888633235372004,0.028888633235372004,company
PAs  Presentación Guille 31-12-2025.xlsx,2025-12-31,GLORY,GDUEEGFL Index,GRUPO MEXICO,0.05308731068968989,0.05278128274779997,0.03147282746819951,0.0315432544506651,-0.00042482181583931855,0.021662850112974183,0.021238028297134864,company
PAs  Presentación Guille 31-12-2025.xlsx,2025-12-31,GLORY,GDUEEGFL Index,CREDICORP,0.042887867118040636,0.032830943068983244,0.024040423096999233,0.015749904227269792,0.004733276197832051,0.012347762643881401,0.017081038841713452,company
PAs  Presentación Guille 31-12-2025.xlsx,2025-12-31,GLORY,GDUEEGFL Index,ITAU,0.07241059284745355,0.05629787081446669,0.053907995059837815,0.039529588677805115,0.0032007198631349223,0.013567562273526651,0.016768282136661573,company
PAs  Presentación Guille 31-12-2025.xlsx,2025-12-31,GLORY,GDUEEGFL Index,DIRECIONAL ENGENHARIA,0.018658796612539965,0.016085604124868067,0.0,0.0,0.0,0.016085604124868067,0.016085604124868067,company
PAs  Presentación Guille 31-12-2025.xlsx,2025-12-31,GLORY,GDUEEGFL Index,VIVARA,0.01587063472497198,0.01511760409622168,0.0,0.0,0.0,0.01511760409622168,0.01511760409622168,company
PAs  Presentación Guille 31-12-2025.xlsx,2025-12-31,GLORY,GDUEEGFL Index,MULTIPLAN,0.028303503179670383,0.012154806980404132,0.0,0.0,0.0,0.012154806980404132,0.012154806980404132,company
PAs  Presentación Guille 31-12-2025.xlsx,2025-12-31,GLORY,GDUEEGFL Index,ITAUCORP,0.010747547378870716,0.011834952390576092,0.0,0.0,0.0,0.011834952390576092,0.011834952390576092,company
PAs  Presentación Guille 31-12-2025.xlsx,2025-12-31,GLORY,GDUEEGFL Index,MERCADOLIBRE,0.026073266859265424,0.011484429326984626,0.0,0.0,0.0,0.011484429326984626,0.011484429326984626,company
PAs  Presentación Guille 31-12-2025.xlsx,2025-12-31,GLORY,GDUEEGFL Index,CYRELA,0.009304718721861657,0.008479762231387997,0.0,0.0,0.0,0.008479762231387997,0.008479762231387997,company
PAs  Presentación Guille 31-12-2025.xlsx,2025-12-31,GLORY,GDUEEGFL Index,EQUATORIAL ENERGIA,0.02572588969278589,0.015710322011748133,0.011813272214721886,0.007242847573203691,-6.250488524780357e-05,0.008529979323792247,0.008467474438544443,company
