FILE,DATE,FUND,BENCHMARK,SECURITY,FUND_AVG_WEIGHT,FUND_CONTRIB,BENCH_AVG_WEIGHT,BENCH_CONTRIB,SELECT. EFFECT,ALLOC. EFFECT,TOTAL EFFECT,ROW_TYPE
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,RENT3 BZ Equity,0.015956641580180182,0.002686787314698678,0.00936599990496421,0.0015882716285643289,-1.9115030606428954e-05,0.0011176307167407784,0.0010985156861343492,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,FLRY3 BZ Equity,0.006576853497562315,0.0010410962169685551,0.0,0.0,0.0,0.0010410962169685551,0.0010410962169685551,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,BVN US Equity,0.010746823210033016,0.002190157775652291,0.0069023036865132285,0.001416255231015477,-1.4938563088560518e-05,0.0007888411077253744,0.0007739025446368139,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,AXIA3 BZ Equity,0.019865068703924325,0.002598970174032556,0.014667818219888539,0.0018693038985435927,6.731551235075652e-05,0.0006623507631382071,0.0007296662754889634,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,MDIA3 BZ Equity,0.01079533155124944,0.0006712785980447855,0.0,0.0,0.0,0.0006712785980447855,0.0006712785980447855,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,ITUB4 BZ Equity,0.06351968378866699,0.01188284184588637,0.052498941892654145,0.011253800508107708,-0.0017333916233021659,0.002362432961080827,0.0006290413377786613,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,IFS US Equity,0.0037932387540793484,0.0005906843235868935,0.0,0.0,0.0,0.0005906843235868935,0.0005906843235868935,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,GMAT3 BZ Equity,0.005029762375895077,0.0005842807165770892,0.0,0.0,0.0,0.0005842807165770892,0.0005842807165770892,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,MEGACPO MM Equity,0.002503244198003092,0.0005357893700760768,0.0,0.0,0.0,0.0005357893700760768,0.0005357893700760768,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,GCC* MM Equity,0.006482997028471238,0.00046769649521391683,0.0,0.0,0.0,0.00046769649521391683,0.00046769649521391683,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,CYRE3 BZ Equity,0.006997776920366133,0.0004646229426330277,0.0,0.0,0.0,0.0004646229426330277,0.0004646229426330277,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,SITES1 MM Equity,0.0035692485556752364,0.00034446892597576114,0.0,0.0,0.0,0.00034446892597576114,0.00034446892597576114,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,DIRR3 BZ Equity,0.014633938751342756,0.0003156702934636312,0.0,0.0,0.0,0.0003156702934636312,0.0003156702934636312,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,ASURB MM Equity,0.010924187362296275,0.0009339122017011446,0.0073771127021348346,0.0006361841306029185,-8.162959711893107e-06,0.0003058910308101192,0.0002977280710982261,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,CCU CI Equity,0.0019434985958829076,0.00027252346569312034,0.0,0.0,0.0,0.00027252346569312034,0.00027252346569312034,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,ENTEL CI Equity,0.005151917432532265,0.00022220543670887542,0.0,0.0,0.0,0.00022220543670887542,0.00022220543670887542,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,RADL3 BZ Equity,0.01252934546561056,0.000922139875454027,0.007449237889631973,0.0007030233474632434,-0.0002603196621876313,0.00047943619017841487,0.00021911652799078358,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,MINSURI1 PE Equity,0.0020729692922596106,0.000185609389139659,0.0,0.0,0.0,0.000185609389139659,0.000185609389139659,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,CHILE CI Equity,0.012780640806654043,0.0020007775182348387,0.011604304442159959,0.00182980019284754,-1.4510785281762924e-05,0.00018548811066906173,0.0001709773253872988,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,RAIL3 BZ Equity,0.007725495452384143,0.0003822382717495052,0.0043844991462917565,0.00021911163555460186,-3.8368277229599516e-06,0.00016696346391786328,0.00016312663619490333,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,WALMEX* MM Equity,0.026838618481787056,0.0006644542903655202,0.020978718094110026,0.0005253824270552239,-7.681082897793281e-06,0.00014675294620808963,0.00013907186331029635,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,KIMBERA MM Equity,0.006436724871309,0.0003002232246456099,0.004057731493208493,0.00019111771509103324,-2.944235333731998e-06,0.00011204974488830867,0.00010910550955457667,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,RENT4 BZ Equity,0.0005909792140824403,0.00010712435204952121,0.0,0.0,0.0,0.00010712435204952121,0.00010712435204952121,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,CMPC CI Equity,0.0,0.0,0.00219224440597494,-7.767625658816687e-05,0.0,7.767625658816687e-05,7.767625658816687e-05,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,MBRF3 BZ Equity,0.0,0.0,0.00292432814649273,-6.863672598813438e-05,0.0,6.863672598813438e-05,6.863672598813438e-05,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,CEMARGOS CB Equity,0.0001734903292716099,5.5794047917012793e-05,0.0,0.0,0.0,5.5794047917012793e-05,5.5794047917012793e-05,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,GLOB US Equity,0.0019583204774954346,4.684844672443611e-05,0.0,0.0,0.0,4.684844672443611e-05,4.684844672443611e-05,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,RA MM Equity,0.00017429623061744262,2.3818209377439816e-05,0.0,0.0,0.0,2.3818209377439816e-05,2.3818209377439816e-05,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,PROCF US Equity,8.752701559037498e-05,2.1604906889868244e-05,0.0,0.0,0.0,2.1604906889868244e-05,2.1604906889868244e-05,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,AXIA7 BZ Equity,0.004356363121488256,0.0005566907567648642,0.004237664368174422,0.0005455875244673339,-4.1789027068878364e-06,1.528213500441816e-05,1.1103232297530324e-05,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,GRUPOSUR CB Equity,1.9792056994485276e-05,3.769721473703553e-06,0.0,0.0,0.0,3.769721473703553e-06,3.769721473703553e-06,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,ALSEA* MM Equity,3.929789159447127e-06,1.1021081352772584e-07,0.0,0.0,0.0,1.1021081352772584e-07,1.1021081352772584e-07,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,RDOR3 BZ Equity,0.007693674350289175,0.0007251098760599409,0.007734504167704654,0.0007348124688995196,-5.8235776772288216e-06,-3.8790151623499265e-06,-9.702592839578748e-06,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,HAPV3 BZ Equity,0.00035321224501503126,-1.458023195249746e-05,0.0,0.0,0.0,-1.458023195249746e-05,-1.458023195249746e-05,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,CHDRAUIB MM Equity,0.0,0.0,0.0029108986902420374,2.6103288372251904e-05,0.0,-2.6103288372251904e-05,-2.6103288372251904e-05,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,POMO4 BZ Equity,0.000603097579520436,-3.176929618252427e-05,0.0,0.0,0.0,-3.176929618252427e-05,-3.176929618252427e-05,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,SUZB3 BZ Equity,0.0,0.0,0.008290994008287351,3.193658488396589e-05,0.0,-3.193658488396589e-05,-3.193658488396589e-05,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,CPFE3 BZ Equity,0.0,0.0,0.002843899918375476,3.252811600652482e-05,0.0,-3.252811600652482e-05,-3.252811600652482e-05,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,ENELAM CI Equity,0.0,0.0,0.0024895616184247254,3.282047513277853e-05,0.0,-3.282047513277853e-05,-3.282047513277853e-05,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,AMXB MM Equity,0.004560431574979745,9.627067468858799e-06,0.023253665031324932,5.398765225919158e-05,-9.60811632787296e-07,-4.339977315754548e-05,-4.436058479033278e-05,company
PAs  Presentación Guille 31-01-2026.xlsx,2026-01-31,GLORY,GDUEEGFL Index,CEAB3 BZ Equity,0.002848885878052676,-7.339649091346784e-05,0.0,0.0,0.0,-7.339649091346784e-05,-7.339649091346784e-05,company
