COMPANIES (MSCLUX),% PORTFOLIO,% MSLUELAN,OVERWEIGHT/UNDERWEIGHT
MINSUR,0.03974562614578112,0,0.03974562614578112
LOCAWEB,0.03935290007546845,0,0.03935290007546845
CYRELA,0.03919073091673055,0.0114717787,0.027718952216730552
MULTIPLAN,0.043724218228052336,0.0167713035,0.026952914728052335
ENTEL,0.03125056102878946,0.0074173493,0.02383321172878946
VIVARA,0.028373085419386487,0.0060425198,0.022330565619386487
MILLS ESTRUTURAS,0.02174531578306021,0,0.02174531578306021
GRUPO SPORTS,0.02133081885458959,0,0.02133081885458959
MARCOPOLO,0.03065736758091822,0.0096921699,0.020965197680918223
CCU,0.029283693276232176,0.0084535371,0.020830156176232177
MALL PLAZA,0.019535903263405485,0,0.019535903263405485
DLOCAL,0.017707032257400137,0,0.017707032257400137
COGNA EDUCACAO,0.029000151328130035,0.0130899034,0.015910247928130034
INTERCORP,0.029048503735647994,0.0140086066,0.015039897135647995
FERREYROS,0.014967865756385763,0,0.014967865756385763
PAMPA ENERGIA,0.013625840314431039,0,0.013625840314431039
BRAVA ENERGIA,0.023600032808687197,0.0109806968,0.012619336008687197
M DIAS BRANCO,0.014936901963579411,0.0029040946,0.012032807363579411
FLEURY,0.01826680607161523,0.0065648068,0.011701999271615231
DIRECIONAL ENGENHARIA,0.01863970359679937,0.0074416123,0.01119809129679937
C&A MODAS,0.014662794831225774,0.0035455143,0.011117280531225774
GRUPO SBF,0.010672025598261083,0,0.010672025598261083
VULCABRAS AZALEIA,0.013091646578194433,0.0025127696,0.010578876978194433
ANDINO INVEST HOLDING,0.009603956688795448,0,0.009603956688795448
CURY CONSTRUTORA E INCORPORADORA,0.0174820948468881,0.0079858223,0.0094962725468881
FARM PAGUE MENOS,0.00915153180455932,0,0.00915153180455932
CAMANCHACA,0.00833184310574205,0,0.00833184310574205
MOURA DUBEUX ENGENHARIA,0.008281113807138623,0,0.008281113807138623
CENCOSUD SHOPPING,0.008146612146807508,0,0.008146612146807508
OPERADORA SITES MEXICANOS,0.008023110690369765,0,0.008023110690369765
LOMA NEGRA,0.007701746808806729,0,0.007701746808806729
BANCO SANTANDER BRASIL,0.00682722834914506,0,0.00682722834914506
ULTRAPAR,0.006322820466727336,0,0.006322820466727336
GENTERA,0.03304673481983004,0.0273127003,0.005734034519830039
SALFACORP,0.005308598733719371,0,0.005308598733719371
BRADESPAR,0.014233044546075836,0.0097812058,0.004451838746075836
GBM,0.0036692063824041734,0,0.0036692063824041734
ORIZON VALORIZACAO DE RESIDUOS,0.008871066345925122,0.0056861679,0.0031848984459251226
GRUPO CEMENTOS CHIHUAHUA,0.020132104101983284,0.0171874034,0.0029447007019832855
GRUPO TRAXION,0.0029250359325040222,0,0.0029250359325040222
COPA HOLDINGS,0.0020033050531459867,0,0.0020033050531459867
COSAN,0.013058500540198099,0.0114137437,0.0016447568401980993
GRUPO MATEUS,0.005973381864723894,0.0044580435,0.001515338364723894
GRUPO COMERCIAL CHEDRAUI,0.0014076470119152432,0,0.0014076470119152432
PAGSEGURO DIGITAL,0.016697012792141575,0.0156256818,0.001071330992141576
GENOMMA LAB,0.007293581736475803,0.00650476,0.0007888217364758025
FRAS-LE,0.003591278110431387,0.0028941425,0.0006971356104313871
INTER & CO,0.019075411683460775,0.0183845596,0.0006908520834607752
SMARTFIT,0.014902193691176548,0.0143446304,0.0005575632911765469
INVERSIONES LA CONSTRUCCION,0.008039837055465281,0.007578932,0.000460905055465281
PROCAPS,1.371326931174077e-05,0,1.371326931174077e-05
CAP,0.005927352734739635,0.0060508025,-0.00012344976526036493
ITAUCORP,0.018319372546824936,0.0187213348,-0.000401962253175063
MEGACABLE,0.01346683403633047,0.0141278555,-0.0006610214636695293
EMBOTELLADORA ANDINA,0.016339176032986524,0.0176231412,-0.0012839651670134775
TRES TENTOS AGROINDUSTRIAL,0.0015858471541623674,0.0033551226,-0.0017692754458376327
INTELBRAS,0,0.0018017719,-0.0018017719
VTEX,0,0.0018425342,-0.0018425342
AFYA,0,0.0019399914,-0.0019399914
FERBASA,0,0.0019421629,-0.0019421629
LOJAS RENNER,0.021183712942349157,0.0231898187,-0.0020061057576508425
LACOMER,0.00263784744787023,0.0049944788,-0.0023566313521297703
PETRORECONCAVO,0,0.0023571338,-0.0023571338
GRENDENE,0,0.0024823759,-0.0024823759
BRASKEM,0,0.0026954679,-0.0026954679
SIMPAR,0,0.0028193452,-0.0028193452
VINCI PARTNERS INVESTMENTS,0,0.0029000832,-0.0029000832
ENGIE ENERGIA CHILE,0.005171780882906999,0.0081820881,-0.003010307217093001
VAMOS,0,0.0030259262,-0.0030259262
MAHLE-METAL LEVE,0,0.0032112168,-0.0032112168
SAO PAULO ALPARGATAS,0,0.0034378545,-0.0034378545
BANCO ABC BRASIL,0,0.0034912425,-0.0034912425
HAPVIDA,0.0034606982831843474,0.0073329078,-0.0038722095168156525
MINEROS,0,0.0039014524,-0.0039014524
IGUATEMI,0.006064648961592285,0.0100234846,-0.0039588356384077155
DEXCO,0,0.0041763027,-0.0041763027
HIDROVIAS DO BRASIL,0,0.0041780645,-0.0041780645
CIA SANEAMENTO MINAS GERAIS,0.010650390846945438,0.0148650324,-0.004214641553054562
MINERVA,0,0.0042918689,-0.0042918689
VESTA,0.021961041690846384,0.0263306855,-0.004369643809153615
SAO MARTINHO,0,0.0044275706,-0.0044275706
REGIONAL,0.01394960259628371,0.0185447969,-0.00459519430371629
RIPLEY,0,0.0046854391,-0.0046854391
DANHOS,0,0.0046901639,-0.0046901639
ODONTOPREV,0,0.0050408747,-0.0050408747
INVERSIONES AGUAS METROPOLITANAS,0,0.0050604852,-0.0050604852
MRV ENGENHARIA,0,0.0050918881,-0.0050918881
IRB BRASIL RESSEGUROS,0,0.005162326,-0.005162326
SLC AGRICOLA,0,0.0052463656,-0.0052463656
SMU,0,0.0053477349,-0.0053477349
USIMINAS,0,0.0054684744,-0.0054684744
AZZAS 2154,0,0.0054707198,-0.0054707198
BANCO PANAMERICANO,0,0.00559149,-0.00559149
UNIPAR PARTICIPACOES,0,0.0056107865,-0.0056107865
MAGAZINE LUIZA,0,0.0056712117,-0.0056712117
BANCO EST. RIO GRANDE DO SUL,0,0.0057147091,-0.0057147091
CONCHA Y TORO,0,0.0059725581,-0.0059725581
ALSEA,0.008721223626640585,0.0147750107,-0.0060537870733594155
ECORODOVIAS,0,0.0063225898,-0.0063225898
SIGMA LITHIUM,0,0.0069836805,-0.0069836805
NATURA,0.004568690791514428,0.0117789181,-0.007210227308485573
AUREN ENERGIA,0,0.0073303381,-0.0073303381
ALPEK,0,0.0075030541,-0.0075030541
BANCO DEL BAJIO,0.011577850793197078,0.019148653,-0.0075708022068029235
VOLARIS,0,0.008012219,-0.008012219
VAPORES,0,0.0080439058,-0.0080439058
BOLSA MEXICANA,0,0.0081953597,-0.0081953597
ORBIA,0,0.0084341402,-0.0084341402
ALUPAR,0,0.0092949554,-0.0092949554
CSN,0,0.009805548,-0.009805548
AGUAS ANDINAS,0,0.0103685142,-0.0103685142
PATRIA INVESTMENTS,0,0.0107761316,-0.0107761316
HYPERMARCAS,0,0.0115836843,-0.0115836843
COLBUN,0,0.0124662471,-0.0124662471
TELEVISA,0,0.0125715893,-0.0125715893
TRANSMISSORA ALIANCA DE ENERGIA ELETRICA,0,0.012665575,-0.012665575
GPS,0,0.0126739049,-0.0126739049
GERDAU,0,0.0139887915,-0.0139887915
GRUPO ARGOS,0,0.014555501,-0.014555501
MACQUARIE MEXICO,0,0.0145667609,-0.0145667609
ALLOS SA,0.0018906908329855937,0.0175382602,-0.015647569367014405
CIA DE SANEAMENTO DO PARANA,0,0.0173399247,-0.0173399247
SENDAS DISTRIBUIDORA,0,0.0174220239,-0.0174220239
QUALITAS CONTROLADORA,0,0.0184001238,-0.0184001238
AURA MINERALS,0,0.0187102646,-0.0187102646
