COMPANIES (MLE (LX)),% PORTFOLIO,% MN40LAU,OVERWEIGHT/UNDERWEIGHT
MULTIPLAN,0.03513186643282404,0,0.03513186643282404
MERCADOLIBRE,0.03058568793475637,0,0.03058568793475637
AEROMEXICO,0.027816445988786957,0,0.027816445988786957
LOCALIZA,0.03676728972861355,0.00912090867019,0.027646381058423555
BANCO BTG PACTUAL,0.04218263746393401,0.015434965434366,0.02674767202956801
LOJAS RENNER,0.025998868584722407,0,0.025998868584722407
PETRO RIO,0.0349003588182956,0.009151029872657,0.025749328945638597
LOCAWEB,0.025460443309117866,0,0.025460443309117866
BANCO CHILE,0.03640331863314428,0.011452116481242001,0.024951202151902274
CREDICORP,0.05002166454021844,0.02718546634395,0.02283619819626844
GRUPO MEXICO,0.06064124290199627,0.040268940471845004,0.020372302430151264
DLOCAL,0.01881898057533604,0,0.01881898057533604
NUBANK,0.08927483455951346,0.071598697433393,0.017676137126120456
GLOBANT,0.016886096330813255,0,0.016886096330813255
EQUATORIAL ENERGIA,0.026923656996976172,0.010807403010436001,0.016116253986540173
TRANSPORTADORA GAS SUR,0.015687049455711973,0,0.015687049455711973
B3,0.032806461975636636,0.01845348408799,0.014352977887646636
QUINENCO,0.012506722776004349,0,0.012506722776004349
GRUPO FINANCIERO BANORTE,0.04355587648974416,0.031610485209994,0.01194539127975016
VISTA OIL & GAS,0.010011574161586162,0,0.010011574161586162
SOQUIMICH,0.02301391183671432,0.014165757394652001,0.00884815444206232
KIMBERLY-CLARK MEXICO,0.012715107392768342,0.003990308248755,0.008724799144013341
CYRELA,0.00837938073019458,0,0.00837938073019458
BUENAVENTURA,0.015107148307185347,0.007160481746840999,0.007946666560344349
COSAN,0.007607469913574187,0,0.007607469913574187
GRUPO AEROPORTUARIO SURESTE,0.014454191639951961,0.007071833293969,0.007382358345982961
AXIA ENERGIA,0.027934169830880533,0.022153144413263,0.005781025417617533
REDE DOR SAO LUIZ,0.011836479113045206,0.007799702416942,0.004036776696103205
EL PUERTO DE LIVERPOOL,0.00403129045533755,0,0.00403129045533755
FIBRA UNO,0.008509993606329,0.005483242884342,0.0030267507219869996
GRUPO TRAXION,0.002188538310342128,0,0.002188538310342128
LOCALIZA RENT A CAR,0.0013965401244481542,0,0.0013965401244481542
RUMO LOGISTICA,0.005391406115421801,0.004268175371071,0.0011232307443508008
MINSUR,0.0008850362621037213,0,0.0008850362621037213
RAIA DROGASIL,0.007181284766916119,0.007204625734199,-2.3340967282881563e-05
TOTVS,0.005457726598576324,0.005581103389354,-0.00012337679077767567
VIBRA ENERGIA,0.0065630865668847675,0.006785341585534,-0.00022225501864923253
SUZANO PAPEL,0.007786964730923795,0.008046115720668,-0.0002591509897442055
FALABELLA,0.004930313769086934,0.005462126874187,-0.0005318131051000657
XP,0.007931122945675823,0.009513146983694,-0.0015820240380181767
CMPC,0,0.002001255980365,-0.002001255980365
PORTO SEGURO,0,0.002075985542023,-0.002075985542023
ENGIE BRASIL ENERGIA,0,0.002101841153731,-0.002101841153731
CAIXA SEGURIDADE PARTICIPACOES,0,0.002264491254751,-0.002264491254751
ENEL AMERICAS,0,0.002376126184003,-0.002376126184003
ITAU,0.05028533850903749,0.052983030403228,-0.0026976918941905084
CPFL ENERGIA,0,0.0028154800246669998,-0.0028154800246669998
GRUPO COMERCIAL CHEDRAUI,0,0.002816596650004,-0.002816596650004
ENEL CHILE,0,0.0028325296585519997,-0.0028325296585519997
MBRF GLOBAL FOODS,0,0.0029331321414560003,-0.0029331321414560003
CIA PARANAENSE DE ENERGIA,0,0.0032687160440500003,-0.0032687160440500003
GRUMA,0,0.0032918714365520003,-0.0032918714365520003
PROMOTORA Y OPERADORA DE INF,0,0.003452740551394,-0.003452740551394
ENERGISA,0,0.003517359394624,-0.003517359394624
KLABIN,0,0.0035232512281340002,-0.0035232512281340002
MOTIVA INFRAESTRUTURA,0,0.003807419558629,-0.003807419558629
MALL PLAZA,0,0.003925291780478,-0.003925291780478
ULTRAPAR,0,0.003943850361162,-0.003943850361162
TELEFONICA BRASIL,0.0026341379470168217,0.006612213159797,-0.003978075212780178
COPEC,0,0.004099081664223,-0.004099081664223
ALFA,0,0.004141157601202,-0.004141157601202
STONECO,0,0.004172976193969,-0.004172976193969
WAL-MART MEXICO,0.01579383972430632,0.020231006615349,-0.00443716689104268
CIA ENERGETICA MINAS GERAIS,0,0.004447185087856,-0.004447185087856
GRUPO FINANCIERO INBURSA,0,0.004565599506916,-0.004565599506916
TIM PARTICIPACOES,0,0.004608991567054,-0.004608991567054
INTERCONEXION ELECTRICA,0,0.0046579355045679996,-0.0046579355045679996
GRUPO CARSO,0,0.004753880984352,-0.004753880984352
GRUPO AEROPORTUARIO CENTRO NORTE,0,0.0048026127531649995,-0.0048026127531649995
ENEVA,0,0.004824285277703,-0.004824285277703
CENCOSUD,0,0.005093942584956001,-0.005093942584956001
BIMBO,0,0.005382859901476,-0.005382859901476
BB SEGURIDADE,0,0.005734983573873,-0.005734983573873
