COMPANIES (MLE (LX)),% PORTFOLIO,% MN40LAU,OVERWEIGHT/UNDERWEIGHT
MERCADOLIBRE,0.04294665707654798,0,0.04294665707654798
MULTIPLAN,0.038414290190702576,0,0.038414290190702576
LOCALIZA,0.04455482295688361,0.01037688522852,0.03417793772836361
GRUPO MEXICO,0.07478584237315551,0.041181213671398,0.03360462870175751
PETRO RIO,0.04062449488911334,0.010000255640107002,0.03062423924900634
BANCO BTG PACTUAL,0.045564724262789714,0.015907392629001,0.029657331633788715
AEROMEXICO,0.02796129799646965,0,0.02796129799646965
LOJAS RENNER,0.027361975171964512,0,0.027361975171964512
NUBANK,0.08740996942076212,0.065814272122299,0.021595697298463126
GRUPO FINANCIERO BANORTE,0.05235656647150889,0.032672159008219,0.019684407463289887
LOCAWEB,0.019413113013279228,0,0.019413113013279228
DLOCAL,0.017644217733482292,0,0.017644217733482292
EQUATORIAL ENERGIA,0.028177538236117832,0.010618749904228,0.017558788331889834
B3,0.037364086740349134,0.020324115622023,0.017039971118326135
VISTA OIL & GAS,0.01676839182603915,0,0.01676839182603915
TRANSPORTADORA GAS SUR,0.015551355111696953,0,0.015551355111696953
CREDICORP,0.039363068772527696,0.026158307874518002,0.013204760898009694
QUINENCO,0.011909908449960213,0,0.011909908449960213
CYRELA,0.009595331561982477,0,0.009595331561982477
KIMBERLY-CLARK MEXICO,0.013593575460812765,0.004103615976476,0.009489959484336764
COSAN,0.00902533363603612,0,0.00902533363603612
GRUPO AEROPORTUARIO SURESTE,0.01601695462328481,0.007537491409969999,0.00847946321331481
SOQUIMICH,0.019505351585406856,0.011429582367552999,0.008075769217853856
AXIA ENERGIA,0.03158704008355411,0.024148796553693997,0.007438243529860115
REDE DOR SAO LUIZ,0.012465284061189895,0.007711533054097,0.004753751007092895
EL PUERTO DE LIVERPOOL,0.004241489339049924,0,0.004241489339049924
FIBRA UNO,0.008930312400893694,0.005525125448103,0.0034051869527906946
BUENAVENTURA,0.010151041760797338,0.007012650870094001,0.003138390890703337
LOCALIZA RENT A CAR,0.0016786138656331843,0,0.0016786138656331843
RUMO LOGISTICA,0.006021275703891572,0.004585382882782,0.001435892821109572
GRUPO TRAXION,0.0010192971791459574,0,0.0010192971791459574
MINSUR,0.0008812164753602755,0,0.0008812164753602755
ITAU,0.058323280300558555,0.057692639060512,0.0006306412400465533
TOTVS,0.004737588061694323,0.00454829506695,0.00018929299474432313
VIBRA ENERGIA,0.007369219445472781,0.007328774338712,4.0445106760780836e-05
XP,0.009083800435495204,0.010229164342213,-0.0011453639067177963
CMPC,0,0.001924436637425,-0.001924436637425
ENEL AMERICAS,0,0.0020259955400660002,-0.0020259955400660002
ENGIE BRASIL ENERGIA,0,0.002050533516296,-0.002050533516296
PORTO SEGURO,0,0.00214677977419,-0.00214677977419
CAIXA SEGURIDADE PARTICIPACOES,0,0.0022988299441660002,-0.0022988299441660002
CPFL ENERGIA,0,0.002447653289064,-0.002447653289064
GRUPO COMERCIAL CHEDRAUI,0,0.002481096602123,-0.002481096602123
ENEL CHILE,0,0.0025256270719840003,-0.0025256270719840003
MBRF GLOBAL FOODS,0,0.0025960495102409996,-0.0025960495102409996
GRUMA,0,0.003169259403045,-0.003169259403045
CIA PARANAENSE DE ENERGIA,0,0.0033783904486439998,-0.0033783904486439998
ENERGISA,0,0.003487177399965,-0.003487177399965
KLABIN,0,0.0035142429242630002,-0.0035142429242630002
PROMOTORA Y OPERADORA DE INF,0,0.003519312259722,-0.003519312259722
MOTIVA INFRAESTRUTURA,0,0.003537700777865,-0.003537700777865
COPEC,0,0.003609109685736,-0.003609109685736
WAL-MART MEXICO,0.015799775031095396,0.019441416821532,-0.003641641790436606
INTERCONEXION ELECTRICA,0,0.003807854044545,-0.003807854044545
MALL PLAZA,0,0.003821021602322,-0.003821021602322
TELEFONICA BRASIL,0.0029020591305096823,0.007007506430587,-0.004105447300077318
ALFA,0,0.004273145731112,-0.004273145731112
ULTRAPAR,0,0.004300733270307,-0.004300733270307
STONECO,0,0.00437699204431,-0.00437699204431
CIA ENERGETICA MINAS GERAIS,0,0.004377244690407,-0.004377244690407
GRUPO FINANCIERO INBURSA,0,0.004427272353162,-0.004427272353162
CENCOSUD,0,0.004564257420251999,-0.004564257420251999
ENEVA,0,0.004589208988987,-0.004589208988987
GRUPO CARSO,0,0.004786657056491,-0.004786657056491
FALABELLA,0,0.004862154808792,-0.004862154808792
TIM PARTICIPACOES,0,0.004881145694306,-0.004881145694306
BB SEGURIDADE,0,0.005087521979497999,-0.005087521979497999
GRUPO AEROPORTUARIO CENTRO NORTE,0,0.005315007283687,-0.005315007283687
BIMBO,0,0.00538840163119,-0.00538840163119
PROLOGIS PROPERTY MEXICO,0,0.005814000788005,-0.005814000788005
GERDAU,0,0.0059850629318180006,-0.0059850629318180006
BANCO CHILE,0.004827274500900236,0.010967696623916,-0.006140422123015764
LATAM AIRLINES,0.0036401526100305007,0.010026815094098999,-0.006386662484068498
BANCO SANTANDER,0,0.006539655347324,-0.006539655347324
COCA-COLA FEMSA,0,0.006585407564982,-0.006585407564982
BCI,0,0.006681917875338001,-0.006681917875338001
ARCA CONTINENTAL,0,0.007016259024173001,-0.007016259024173001
JBS,0,0.007341905768964,-0.007341905768964
RAIA DROGASIL,0,0.00743120967474,-0.00743120967474
ITAUSA,0.010516240233893777,0.018939796719494,-0.008423556485600224
SUZANO PAPEL,0,0.008438168047817,-0.008438168047817
BANCO DO BRASIL,0,0.009904512703855,-0.009904512703855
GRUPO AEROPORTUARIO DEL PACIFICO,0,0.012746271766756,-0.012746271766756
INDUSTRIAS PENOLES,0,0.012980282134172001,-0.012980282134172001
EMBRAER,0,0.014370657037229,-0.014370657037229
CIA. SANEAMENTO BASICO EST. SP,0,0.016098948408738,-0.016098948408738
AMBEV,0,0.016178836603816,-0.016178836603816
BANCOLOMBIA,0,0.016670188384124998,-0.016670188384124998
WEG,0,0.018631285658105,-0.018631285658105
BANCO BRADESCO,0.011898629751865016,0.030926053596318,-0.019027423844452985
SOUTHERN COPPER,0,0.020220764691222998,-0.020220764691222998
CEMEX,0,0.021551455183216998,-0.021551455183216998
FOMENTO ECONOMICO MEXICANO,0,0.021599523749885,-0.021599523749885
AMERICA MOVIL,0,0.024105589354897997,-0.024105589354897997
VALE,0.040690206508725825,0.06728399847653199,-0.026593791967806167
PETROBRAS,0.017327335559369217,0.070037597082713,-0.05271026152334378
