COMPANIES (GLORY),% PORTFOLIO,% GDUEEGFL,OVERWEIGHT/UNDERWEIGHT
MULTIPLAN,0.03164539873908034,0,0.03164539873908034
GENTERA,0.030572619160069845,0,0.030572619160069845
B3,0.044258353144100274,0.0187779273,0.025480425844100273
MERCADOLIBRE,0.02497315460989618,0,0.02497315460989618
GRUPO MEXICO,0.06624665084510017,0.0429740778,0.02327257304510017
CREDICORP,0.04645833997007678,0.0273380964,0.019120243570076776
LOCAWEB,0.01689446104750319,0,0.01689446104750319
ITAUCORP,0.016540409957543703,0,0.016540409957543703
VIVARA,0.014417513075911962,0,0.014417513075911962
BANCO BTG PACTUAL,0.02902912262589844,0.0150100232,0.014019099425898442
DIRECIONAL ENGENHARIA,0.013491226459487391,0,0.013491226459487391
EQUATORIAL ENERGIA,0.023553592144836072,0.0104476472,0.013105944944836072
GRUPO FINANCIERO BANORTE,0.04554845393366889,0.0330996485,0.012448805433668886
ITAU,0.06291308539007759,0.0508797383,0.012033347090077591
DLOCAL,0.011501753228868407,0,0.011501753228868407
M DIAS BRANCO,0.011167485892722111,0,0.011167485892722111
VISTA OIL & GAS,0.010270564672715185,0,0.010270564672715185
PETRO RIO,0.018135060643062185,0.00879969,0.009335370643062184
MILLS ESTRUTURAS,0.008811112202373942,0,0.008811112202373942
RAIA DROGASIL,0.01601585873809745,0.0077179282,0.008297930538097449
CYRELA,0.007994092143445498,0,0.007994092143445498
BRAVA ENERGIA,0.007831647895859982,0,0.007831647895859982
COSAN,0.0077645591433767635,0,0.0077645591433767635
INVERSIONES LA CONSTRUCCION,0.007678036085591482,0,0.007678036085591482
GRUPO CEMENTOS CHIHUAHUA,0.007227831812220221,0,0.007227831812220221
LOJAS RENNER,0.007222327106938059,0,0.007222327106938059
FLEURY,0.00662283565182431,0,0.00662283565182431
WAL-MART MEXICO,0.028021198443221186,0.0214169645,0.006604233943221186
LOCALIZA,0.01525826988055606,0.0087625451,0.00649572478055606
PARQUE ARAUCO,0.006491275174828651,0,0.006491275174828651
ENTEL,0.005201558684508175,0,0.005201558684508175
GRUPO MATEUS,0.005174993211132037,0,0.005174993211132037
VULCABRAS AZALEIA,0.004812734972242576,0,0.004812734972242576
COGNA EDUCACAO,0.004633435545010315,0,0.004633435545010315
GRUPO SPORTS,0.004480312529162128,0,0.004480312529162128
GRUPO TRAXION,0.004288034196933085,0,0.004288034196933085
BUENAVENTURA,0.01145670294739748,0.0072015709,0.004255132047397481
MINSUR,0.003921537629296807,0,0.003921537629296807
INTERCORP,0.003895135800379729,0,0.003895135800379729
GRUPO AEROPORTUARIO SURESTE,0.010996467051938491,0.0072848247,0.0037116423519384907
OPERADORA SITES MEXICANOS,0.003466862166075878,0,0.003466862166075878
RUMO LOGISTICA,0.007456457352713718,0.0041401578,0.0033162995527137185
MEGACABLE,0.002579585074732995,0,0.002579585074732995
KIMBERLY-CLARK MEXICO,0.00668956314875457,0.0041263545,0.00256320864875457
