COMPANIES (GLORY),% PORTFOLIO,% GDUEEGFL,OVERWEIGHT/UNDERWEIGHT
MULTIPLAN,0.03277741522019642,0,0.03277741522019642
GENTERA,0.029926638115098794,0,0.029926638115098794
MERCADOLIBRE,0.027557723044150183,0,0.027557723044150183
B3,0.04671692515352165,0.0207020542,0.026014870953521653
GRUPO MEXICO,0.06327188022863889,0.0400047912,0.023267089028638888
VISTA OIL & GAS,0.019990857252817372,0,0.019990857252817372
LOCAWEB,0.015558257746087469,0,0.015558257746087469
ITAU,0.06784182602109431,0.0534086846,0.014433141421094316
BANCO BTG PACTUAL,0.029625176833919315,0.0153817753,0.014243401533919314
EQUATORIAL ENERGIA,0.025349933935487783,0.0111412794,0.014208654535487782
ITAUCORP,0.013288637617544579,0,0.013288637617544579
DIRECIONAL ENGENHARIA,0.012853655877626801,0,0.012853655877626801
GRUPO FINANCIERO BANORTE,0.045662921700162194,0.032838653,0.012824268700162192
CREDICORP,0.0396731311353789,0.0270500842,0.012623046935378902
M DIAS BRANCO,0.009952061426877537,0,0.009952061426877537
AXIA ENERGIA,0.03392002224140963,0.024673860800000003,0.009246161441409627
DLOCAL,0.009186578301779316,0,0.009186578301779316
MILLS ESTRUTURAS,0.008940225015977564,0,0.008940225015977564
CYRELA,0.008638986522333029,0,0.008638986522333029
BRAVA ENERGIA,0.008263197996753076,0,0.008263197996753076
LOJAS RENNER,0.008219918427738266,0,0.008219918427738266
INVERSIONES LA CONSTRUCCION,0.007438327600173592,0,0.007438327600173592
LOCALIZA,0.01647373496387993,0.0093475938,0.007126141163879931
PETRO RIO,0.01824757112335313,0.0111566403,0.007090930823353131
PARQUE ARAUCO,0.006936096367559352,0,0.006936096367559352
GRUPO CEMENTOS CHIHUAHUA,0.006641786159849242,0,0.006641786159849242
COSAN,0.006528117526749884,0,0.006528117526749884
FLEURY,0.005934521137343229,0,0.005934521137343229
AGI INC,0.005466033213331375,0,0.005466033213331375
SOQUIMICH,0.018639833000665147,0.0132228855,0.005416947500665147
MEGACABLE,0.00510097825477425,0,0.00510097825477425
GRUPO AEROPORTUARIO SURESTE,0.011444972043951103,0.0070240834,0.004420888643951103
VULCABRAS AZALEIA,0.004371441477925985,0,0.004371441477925985
BUENAVENTURA,0.011526988957883387,0.0071592289,0.004367760057883387
RUMO LOGISTICA,0.008980689937963273,0.0049269351,0.004053754837963273
VIVARA,0.004003592136014716,0,0.004003592136014716
INTERCORP,0.003834870343638513,0,0.003834870343638513
GRUPO SPORTS,0.0037182976832056272,0,0.0037182976832056272
ENTEL,0.0036018702269616557,0,0.0036018702269616557
COGNA EDUCACAO,0.003572286644425043,0,0.003572286644425043
MINSUR,0.003518074794549862,0,0.003518074794549862
WAL-MART MEXICO,0.02354001316628329,0.0203935729,0.003146440266283291
OPERADORA SITES MEXICANOS,0.003066220384324886,0,0.003066220384324886
C&A MODAS,0.002967996284006646,0,0.002967996284006646
GRUPO TRAXION,0.0028391337611586016,0,0.0028391337611586016
KIMBERLY-CLARK MEXICO,0.007012920192670344,0.0042741569,0.0027387632926703437
CCU,0.0016391810760493916,0,0.0016391810760493916
NUBANK,0.0588033457190592,0.0579944509,0.0008088948190591999
LOCALIZA RENT A CAR,0.0006049898240953797,0,0.0006049898240953797
TRANSPORTADORA GAS SUR,0.0004983764212339948,0,0.0004983764212339948
MARCOPOLO,0.0004769902289986014,0,0.0004769902289986014
REDE DOR SAO LUIZ,0.007026633423027925,0.0068291923,0.0001974411230279251
REGIONAL,0.00017487204350401806,0,0.00017487204350401806
GRUPO INV. SURAMERICANA,1.7378641288496974e-05,0,1.7378641288496974e-05
PROCAPS,1.117612229714913e-05,0,1.117612229714913e-05
ALSEA,4.1281734354144244e-06,0,4.1281734354144244e-06
TOTVS,0.003874807817405248,0.0043454011,-0.0004705932825947519
FALABELLA,0.004367849614539542,0.0050536213,-0.0006857716854604583
RAIA DROGASIL,0.0064885107064870055,0.007216874,-0.0007283632935129944
BANCO CHILE,0.009731206504652302,0.010666878,-0.0009356714953476977
BANCO DO BRASIL,0.008515747225729649,0.0095327322,-0.0010169849742703505
FOMENTO ECONOMICO MEXICANO,0.02093885713268652,0.0223555584,-0.0014167012673134798
CMPC,0,0.0019035344,-0.0019035344
ENGIE BRASIL ENERGIA,0,0.0020981572,-0.0020981572
PORTO SEGURO,0,0.0022274169,-0.0022274169
