COMPANIES (PIONERO),% PORTFOLIO,% IGPA Small Cap,OVERWEIGHT/UNDERWEIGHT
PUCOBRE,0.189889962858921,0,0.189889962858921
ENAEX,0.12271216569769337,0,0.12271216569769337
NORTEGRANDE,0.07945662323658696,0,0.07945662323658696
BLUMAR,0.056848891648547534,0,0.056848891648547534
SIGDO KOPPERS,0.05514703568280279,0,0.05514703568280279
EMBOTELLADORA ANDINA,0.04862748651525254,0,0.04862748651525254
BICECORP,0.042251783368662275,0,0.042251783368662275
WATTS,0.04031681978253233,0,0.04031681978253233
ALMENDRAL,0.04460951967248059,0.0162303967,0.028379122972480592
ECHEVERRIA IZQUIERDO,0.026030335515858826,0,0.026030335515858826
MULTIEXPORT FOODS,0.014885601433857086,0,0.014885601433857086
QUINENCO,0.014022188481821213,0,0.014022188481821213
FORUS,0.03916097690834703,0.0277250972,0.01143587970834703
ORO BLANCO,0.009892008067341524,0,0.009892008067341524
ENTEL,0.009683215871279386,0,0.009683215871279386
TRICOT,0.009682349904845183,0,0.009682349904845183
CRISTALERIAS CHILE,0.009018917747195727,0,0.009018917747195727
CAMANCHACA,0.008225567847708582,0,0.008225567847708582
FEPASA,0.005756869388569106,0,0.005756869388569106
SOCOVESA,0.0036130410087883897,0,0.0036130410087883897
EDELPA,0.003139831953695797,0,0.003139831953695797
CINTAC,0.0006481144883657704,0,0.0006481144883657704
SAAM,0.06997128578108547,0.0734283407,-0.003457054918914529
LA POLAR,0,0.0054663522,-0.0054663522
AAISA,0,0.010910307,-0.010910307
CLINICA LAS CONDES,0,0.0122262459,-0.0122262459
INGEVEC,0,0.0155984577,-0.0155984577
NATURGY,0,0.0156665385,-0.0156665385
INVERCAP,0,0.0159202109,-0.0159202109
SONDA,0,0.0172786039,-0.0172786039
EMBONOR,0.028257631687548468,0.0467703278,-0.01851269611245153
INDISA,0,0.0297053985,-0.0297053985
BANVIDA,0,0.0325060594,-0.0325060594
NUAM,0,0.0448433843,-0.0448433843
INVERSIONES LA CONSTRUCCION,0.045204064719898,0.091806641,-0.046602576280102
BESALCO,0,0.0522597464,-0.0522597464
SMU,0,0.0570660052,-0.0570660052
SALFACORP,0.022947710730315374,0.0801331247,-0.05718541396968463
CONCHA Y TORO,0,0.0636637226,-0.0636637226
RIPLEY,0,0.0639213633,-0.0639213633
CAP,0,0.0647453581,-0.0647453581
INVERSIONES AGUAS METROPOLITANAS,0,0.0756042626,-0.0756042626
ENGIE ENERGIA CHILE,0,0.0865240556,-0.0865240556
