COMPANIES (MERCER),% PORTFOLIO,% M1LAIM,OVERWEIGHT/UNDERWEIGHT
MULTIPLAN,0.036922546329824876,0.0021411566,0.03478138972982488
GRUPO MEXICO,0.06822017983750964,0.0374094605,0.03081071933750964
MERCADOLIBRE,0.029148495542120442,0,0.029148495542120442
GENTERA,0.0300533427024818,0.0033686169,0.0266847258024818
CREDICORP,0.04893253626716017,0.0239582359,0.024974300367160168
B3,0.03991830470947839,0.0172577628,0.022660541909478388
MILLS ESTRUTURAS,0.020453409099519388,0,0.020453409099519388
BANCO BTG PACTUAL,0.03359147319077354,0.0138915642,0.01969990899077354
LOCAWEB,0.017675288138328544,0,0.017675288138328544
INVERSIONES LA CONSTRUCCION,0.016897448853277756,0.0008893098,0.016008139053277755
DIRECIONAL ENGENHARIA,0.016148162915944196,0.001028629,0.015119533915944196
ITAU,0.06441693951709547,0.0493598533,0.01505708621709547
VIVARA,0.014385693690783047,0.0007282322,0.013657461490783047
EQUATORIAL ENERGIA,0.021682308094836147,0.0093789018,0.012303406294836146
GRUPO FINANCIERO BANORTE,0.04262196904837429,0.0306862679,0.011935701148374292
CYRELA,0.013469338674496643,0.0016091673,0.011860171374496643
VISTA OIL & GAS,0.011315044243892704,0,0.011315044243892704
ITAUCORP,0.012462894137402125,0.0020845116,0.010378382537402125
FLEURY,0.010890476614034389,0.0008016804,0.01008879621403439
DLOCAL,0.009490805685431643,0,0.009490805685431643
PETRO RIO,0.016182932871442002,0.0082908703,0.007892062571442003
REDE DOR SAO LUIZ,0.013883751861732189,0.0063991766,0.007484575261732189
WAL-MART MEXICO,0.025034674658745804,0.0177230478,0.007311626858745805
KIMBERLY-CLARK MEXICO,0.010522183397983019,0.0035635817,0.006958601697983019
AXIA ENERGIA,0.027128126652828134,0.020194134399999997,0.006933992252828137
COSAN,0.007983171588614456,0.0014288112,0.006554360388614457
CCU,0.007471290678660641,0.0009237639,0.006547526778660641
BRAVA ENERGIA,0.007697953346957105,0.0012492907,0.006448662646957105
INTERCORP,0.008030610549204686,0.0017114065,0.006319204049204686
OPERADORA SITES MEXICANOS,0.006294550236965094,0,0.006294550236965094
NUBANK,0.0641858343054335,0.0593153518,0.004870482505433496
BUENAVENTURA,0.010877278629751514,0.0061253661,0.004751912529751514
GRUPO CEMENTOS CHIHUAHUA,0.00662176364992516,0.0019567145,0.00466504914992516
M DIAS BRANCO,0.0042664725388249815,0.0003207433,0.003945729238824982
GRUPO SPORTS,0.0033374563245107468,0,0.0033374563245107468
VULCABRAS AZALEIA,0.003560734407822589,0.0002673738,0.003293360607822589
COGNA EDUCACAO,0.0047526526730223345,0.0015124591,0.003240193573022334
ENTEL,0.003995689721414946,0.0008145327,0.003181157021414946
GRUPO AEROPORTUARIO SURESTE,0.009763483232923545,0.0066615235,0.0031019597329235453
RUMO LOGISTICA,0.006803278225452201,0.0038159269,0.0029873513254522004
SOQUIMICH,0.013195866626715716,0.0103271891,0.002868677526715716
FERREYROS,0.0026712862980964682,0,0.0026712862980964682
C&A MODAS,0.0025613297799893307,0.0005410839,0.002020245879989331
GRUPO TRAXION,0.002014596596524977,0,0.002014596596524977
GRUPO MATEUS,0.0025364307048198103,0.0005372498,0.0019991809048198104
GLOBANT,0.001365812134400722,0,0.001365812134400722
PARQUE ARAUCO,0.004000813056993907,0.0029270798,0.001073733256993907
MEGACABLE,0.0025404907020199915,0.0017116701,0.0008288206020199914
TOTVS,0.004292265947627719,0.0039286968,0.0003635691476277193
LOCALIZA RENT A CAR,0.00032609057099566906,0,0.00032609057099566906
ALSEA,0.001963936432991133,0.0016831241,0.0002808123329911328
BANCO CHILE,0.010093495458316665,0.0100337665,5.972895831666582e-05
PROCAPS,8.190864748431171e-06,0,8.190864748431171e-06
MARCOPOLO,0.0011104682119711501,0.0011594357,-4.8967488028849775e-05
BANCO DO BRASIL,0.007964871384233038,0.0080440361,-7.916471576696268e-05
VTEX,0,0.0001918373,-0.0001918373
INTELBRAS,0,0.0002290737,-0.0002290737
AFYA,0,0.0002322844,-0.0002322844
FERBASA,0,0.0002570457,-0.0002570457
PETRORECONCAVO,0,0.0002732653,-0.0002732653
GRENDENE,0,0.0002981439,-0.0002981439
VINCI PARTNERS INVESTMENTS,0,0.0003035167,-0.0003035167
FRAS-LE,0,0.0003186088,-0.0003186088
LOCALIZA,0.008688352748256961,0.0090252295,-0.0003368767517430392
BRASKEM,0,0.0003416068,-0.0003416068
MAHLE-METAL LEVE,0,0.0003576113,-0.0003576113
TRES TENTOS AGROINDUSTRIAL,0,0.0003738995,-0.0003738995
SIMPAR,0,0.0004060442,-0.0004060442
VAMOS,0,0.0004172333,-0.0004172333
BANCO ABC BRASIL,0,0.0004372214,-0.0004372214
MINEROS,0,0.000450788,-0.000450788
SAO MARTINHO,0,0.000452615,-0.000452615
SAO PAULO ALPARGATAS,0,0.0004599255,-0.0004599255
HIDROVIAS DO BRASIL,0,0.0004626567,-0.0004626567
DANHOS,0,0.0004938573,-0.0004938573
DEXCO,0,0.0004939765,-0.0004939765
MINERVA,0,0.0005313296,-0.0005313296
RIPLEY,0,0.0005484532,-0.0005484532
LACOMER,0,0.0005569493,-0.0005569493
INVERSIONES AGUAS METROPOLITANAS,0,0.0005796295,-0.0005796295
USIMINAS,0,0.0005906191,-0.0005906191
SLC AGRICOLA,0,0.0005935024,-0.0005935024
SMU,0,0.0006004132,-0.0006004132
CAP,0,0.0006142467,-0.0006142467
ODONTOPREV,0,0.0006224453,-0.0006224453
IRB BRASIL RESSEGUROS,0,0.0006235519,-0.0006235519
CONCHA Y TORO,0,0.0006360443,-0.0006360443
AZZAS 2154,0,0.000640629,-0.000640629
ORIZON VALORIZACAO DE RESIDUOS,0,0.0006613285,-0.0006613285
UNIPAR PARTICIPACOES,0,0.0006634548,-0.0006634548
MRV ENGENHARIA,0,0.0006773343,-0.0006773343
GENOMMA LAB,0,0.0006835722,-0.0006835722
FALABELLA,0.004148375113092622,0.0048404991,-0.0006921239869073781
BANCO EST. RIO GRANDE DO SUL,0,0.0006975764,-0.0006975764
ECORODOVIAS,0,0.0007304749,-0.0007304749
HAPVIDA,0,0.0007394892,-0.0007394892
SIGMA LITHIUM,0,0.0007518246,-0.0007518246
MAGAZINE LUIZA,0,0.0007610163,-0.0007610163
AUREN ENERGIA,0,0.000805956,-0.000805956
ENGIE ENERGIA CHILE,0,0.0008237707,-0.0008237707
VAPORES,0,0.0008662546,-0.0008662546
ALPEK,0,0.0009017333,-0.0009017333
BOLSA MEXICANA,0,0.0009097478,-0.0009097478
PATRIA INVESTMENTS,0,0.000946855,-0.000946855
RAIA DROGASIL,0.005734279320328933,0.0067356024,-0.0010013230796710676
VOLARIS,0,0.0010426231,-0.0010426231
ORBIA,0,0.0010663671,-0.0010663671
CURY CONSTRUTORA E INCORPORADORA,0,0.0010804896,-0.0010804896
ALUPAR,0,0.0010814201,-0.0010814201
CSN,0,0.0010913402,-0.0010913402
BRADESPAR,0,0.0011887124,-0.0011887124
IGUATEMI,0,0.0011926343,-0.0011926343
AGUAS ANDINAS,0,0.001204607,-0.001204607
HYPERMARCAS,0,0.0012963695,-0.0012963695
COLBUN,0,0.0013334875,-0.0013334875
VALE,0.0584505012336393,0.0597956589,-0.0013451576663607023
TELEVISA,0,0.0014383724,-0.0014383724
TRANSMISSORA ALIANCA DE ENERGIA ELETRICA,0,0.001481388,-0.001481388
NATURA,0,0.0015652637,-0.0015652637
GRUPO ARGOS,0,0.0015754861,-0.0015754861
GPS,0,0.0016130841,-0.0016130841
SMARTFIT,0,0.0016797088,-0.0016797088
MACQUARIE MEXICO,0,0.0017233815,-0.0017233815
CMPC,0,0.001817929,-0.001817929
ENGIE BRASIL ENERGIA,0,0.0018315062,-0.0018315062
PAGSEGURO DIGITAL,0,0.0018415421,-0.0018415421
REGIONAL,0.00038851848884858674,0.002258685,-0.0018701665111514132
ENEL AMERICAS,0,0.0019203793,-0.0019203793
PORTO SEGURO,0,0.0019460825,-0.0019460825
QUALITAS CONTROLADORA,0,0.0019671134,-0.0019671134
CIA SANEAMENTO MINAS GERAIS,0,0.0019688891,-0.0019688891
CIA DE SANEAMENTO DO PARANA,0,0.0020082218,-0.0020082218
EMBOTELLADORA ANDINA,0,0.0020172793,-0.0020172793
CAIXA SEGURIDADE PARTICIPACOES,0,0.0020976738,-0.0020976738
ALLOS SA,0,0.0021433743,-0.0021433743
INTER & CO,0,0.0021575472,-0.0021575472
CPFL ENERGIA,0,0.0021852755,-0.0021852755
AURA MINERALS,0,0.0022162708,-0.0022162708
SENDAS DISTRIBUIDORA,0,0.0022852048,-0.0022852048
GRUPO COMERCIAL CHEDRAUI,0,0.0023382398,-0.0023382398
MBRF GLOBAL FOODS,0,0.0023414043,-0.0023414043
ENEL CHILE,0,0.0023775975,-0.0023775975
CEMENTOS ARGOS,0,0.0023860959,-0.0023860959
BANCO DEL BAJIO,0,0.0024558604,-0.0024558604
FOMENTO ECONOMICO MEXICANO,0.016472650571179324,0.0190520862,-0.002579435628820674
GRUPO AEROPORTUARIO CENTRO NORTE,0.0018287647547260092,0.0044477958,-0.002619031045273991
VIBRA ENERGIA,0.003919792796829356,0.0065883533,-0.0026685605031706435
CIA PARANAENSE DE ENERGIA,0,0.0028128613,-0.0028128613
VESTA,0,0.0028343336,-0.0028343336
ENERGISA,0,0.002980829,-0.002980829
LOJAS RENNER,0,0.0030011464,-0.0030011464
KLABIN,0,0.0030401479,-0.0030401479
GRUMA,0,0.0030691538,-0.0030691538
COPEC,0,0.0032740118,-0.0032740118
MOTIVA INFRAESTRUTURA,0,0.0033077208,-0.0033077208
PROMOTORA Y OPERADORA DE INF,0,0.0033176515,-0.0033176515
MALL PLAZA,0,0.0033379793,-0.0033379793
INTERCONEXION ELECTRICA,0,0.0035314804,-0.0035314804
