COMPANIES (PIONERO),% PORTFOLIO,% IGPA Small Cap,OVERWEIGHT/UNDERWEIGHT
PUCOBRE,0.22417566897408184,0,0.22417566897408184
ENAEX,0.11470831209205797,0,0.11470831209205797
NORTEGRANDE,0.07888847641764547,0,0.07888847641764547
BLUMAR,0.05842166958339058,0,0.05842166958339058
SIGDO KOPPERS,0.048961924133985,0,0.048961924133985
EMBOTELLADORA ANDINA,0.04630234907254804,0,0.04630234907254804
BICECORP,0.043998415662082735,0,0.043998415662082735
WATTS,0.03654434972874842,0,0.03654434972874842
ALMENDRAL,0.046283441799519855,0.0174703725,0.028813069299519854
ECHEVERRIA IZQUIERDO,0.02437379940931734,0,0.02437379940931734
MULTIEXPORT FOODS,0.014278047775089956,0,0.014278047775089956
QUINENCO,0.014099502997369529,0,0.014099502997369529
ENTEL,0.012786567119779227,0,0.012786567119779227
ORO BLANCO,0.009882377509392248,0,0.009882377509392248
TRICOT,0.009463424320388023,0,0.009463424320388023
FORUS,0.03539877768358606,0.0263816984,0.009017079283586062
CRISTALERIAS CHILE,0.008394495689060092,0,0.008394495689060092
CAMANCHACA,0.008014623232217534,0,0.008014623232217534
FEPASA,0.00536556533047742,0,0.00536556533047742
SOCOVESA,0.004535862653596074,0,0.004535862653596074
EDELPA,0.0029264123149513968,0,0.0029264123149513968
CINTAC,0.0014976005615796293,0,0.0014976005615796293
SAAM,0.06194268820866533,0.0671644189,-0.005221730691334664
LA POLAR,0,0.0055347838,-0.0055347838
AAISA,0,0.0113621272,-0.0113621272
CLINICA LAS CONDES,0,0.0119159944,-0.0119159944
NATURGY,0,0.0143443501,-0.0143443501
INGEVEC,0,0.0159216241,-0.0159216241
INVERCAP,0,0.0172454612,-0.0172454612
SONDA,0,0.0176499578,-0.0176499578
EMBONOR,0.024814936827143922,0.0444969949,-0.01968205807285608
INDISA,0,0.0304069147,-0.0304069147
BANVIDA,0,0.0309257376,-0.0309257376
NUAM,0,0.0430934266,-0.0430934266
INVERSIONES LA CONSTRUCCION,0.045580985445085084,0.0959422969,-0.05036131145491492
BESALCO,0,0.0529262431,-0.0529262431
SMU,0,0.0559847735,-0.0559847735
SALFACORP,0.01835972545824113,0.074407292,-0.05604756654175887
CONCHA Y TORO,0,0.062928222,-0.062928222
RIPLEY,0,0.0650961804,-0.0650961804
CAP,0,0.071252199,-0.071252199
INVERSIONES AGUAS METROPOLITANAS,0,0.0762424336,-0.0762424336
ENGIE ENERGIA CHILE,0,0.0913064973,-0.0913064973
