COMPANIES (MSCLUX),% PORTFOLIO,% MSLUELAN,OVERWEIGHT/UNDERWEIGHT
MINSUR,0.03630544687180132,0,0.03630544687180132
CYRELA,0.047345141942014446,0.0137729469,0.03357219504201445
LOCAWEB,0.03293358273923959,0,0.03293358273923959
MOURA DUBEUX ENGENHARIA,0.030019317970950213,0,0.030019317970950213
MULTIPLAN,0.04801325103908302,0.0182624714,0.02975077963908302
MILLS ESTRUTURAS,0.022482583307539834,0,0.022482583307539834
VIVARA,0.028440114570958477,0.0064063454,0.022033769170958478
MARCOPOLO,0.03170001261395953,0.0100401884,0.02165982421395953
MALL PLAZA,0.019323167541146415,0,0.019323167541146415
CCU,0.0264099793847962,0.0075602185,0.018849760884796198
ENTEL,0.023274554785707995,0.0060064448,0.017268109985707995
GRUPO SPORTS,0.01691356183657063,0,0.01691356183657063
INTERCORP,0.029356986226987566,0.0140390044,0.015317981826987567
DLOCAL,0.015221511423166566,0,0.015221511423166566
C&A MODAS,0.018876110784331667,0.0045261471,0.014349963684331668
COGNA EDUCACAO,0.026179590325661865,0.012017087,0.014162503325661865
FERREYROS,0.013870647410532644,0,0.013870647410532644
BRAVA ENERGIA,0.024349855199549037,0.0112348518,0.013115003399549036
PAMPA ENERGIA,0.012808818058276793,0,0.012808818058276793
CURY CONSTRUTORA E INCORPORADORA,0.02152967339266907,0.0097525297,0.01177714369266907
DIRECIONAL ENGENHARIA,0.02080457717470268,0.0091586883,0.01164588887470268
M DIAS BRANCO,0.014381120200899607,0.00277266,0.011608460200899607
FLEURY,0.0185385300952447,0.0070567183,0.011481811795244698
VULCABRAS AZALEIA,0.012906649892282657,0.0024565499,0.010450099992282656
FARM PAGUE MENOS,0.01009309618957559,0,0.01009309618957559
GRUPO SBF,0.010082274164233561,0,0.010082274164233561
ANDINO INVEST HOLDING,0.008680619862223848,0,0.008680619862223848
OPERADORA SITES MEXICANOS,0.008031281017921216,0,0.008031281017921216
ULTRAPAR,0.007432355974403653,0,0.007432355974403653
CAMANCHACA,0.0073044898501733345,0,0.0073044898501733345
BANCO SANTANDER BRASIL,0.007085182321506067,0,0.007085182321506067
LOMA NEGRA,0.006769019003666454,0,0.006769019003666454
GENTERA,0.03528055393013166,0.028901388,0.006379165930131658
AGI INC,0.006276777095578253,0,0.006276777095578253
SALFACORP,0.005016638618889399,0,0.005016638618889399
BRADESPAR,0.014264464576612842,0.0097208386,0.004543625976612842
GBM,0.0034481963553046903,0,0.0034481963553046903
ORIZON VALORIZACAO DE RESIDUOS,0.00883918011456524,0.0056183593,0.003220820814565239
CONSTELLATION,0.0030916472767022482,0,0.0030916472767022482
GRUPO CEMENTOS CHIHUAHUA,0.019647455712265404,0.0167254056,0.0029220501122654043
GRUPO TRAXION,0.002431541510744684,0,0.002431541510744684
ECORODOVIAS,0.008243567205372407,0.0060972939,0.002146273305372407
COSAN,0.015558139464113111,0.0134848504,0.0020732890641131114
COPA HOLDINGS,0.0019525382954451193,0,0.0019525382954451193
