COMPANIES (MLE (LX)),% PORTFOLIO,% MN40LAU,OVERWEIGHT/UNDERWEIGHT
MULTIPLAN,0.033007911336107115,0,0.033007911336107115
MERCADOLIBRE,0.030546017675105168,0,0.030546017675105168
AEROMEXICO,0.02746092580017458,0,0.02746092580017458
BANCO CHILE,0.037298451518179,0.011273280273427999,0.026025171244751004
BANCO BTG PACTUAL,0.04057794413502308,0.015006885075094002,0.02557105905992908
LOCALIZA,0.033771749831282005,0.008760713185586,0.025011036645696004
LOJAS RENNER,0.023569410553151135,0,0.023569410553151135
PETRO RIO,0.032086849407693956,0.008797850256873,0.023288999150820958
LOCAWEB,0.022909107210451,0,0.022909107210451
CREDICORP,0.04975891810152944,0.027332380904751,0.022426537196778437
GRUPO MEXICO,0.06393117117289149,0.042965093370824,0.02096607780206749
DLOCAL,0.01955563439820114,0,0.01955563439820114
GLOBANT,0.01715901918390387,0,0.01715901918390387
NUBANK,0.08743014531064983,0.070870531641189,0.01655961366946082
TRANSPORTADORA GAS SUR,0.015548747398992587,0,0.015548747398992587
EQUATORIAL ENERGIA,0.025746113047587962,0.010445462950102,0.015300650097485963
B3,0.033022454049052276,0.018774001499936,0.014248452549116275
QUINENCO,0.012293155330175935,0,0.012293155330175935
GRUPO FINANCIERO BANORTE,0.045325377726206866,0.033092728457764,0.012232649268442863
RAIA DROGASIL,0.018686097795615204,0.007716314654616,0.010969783140999206
VISTA OIL & GAS,0.00987767728192538,0,0.00987767728192538
KIMBERLY-CLARK MEXICO,0.01300651366091235,0.004125491861074,0.008881021799838351
BUENAVENTURA,0.015029702796300635,0.007200065306023001,0.007829637490277635
SOQUIMICH,0.02148470663746977,0.013963461162845,0.007521245474624771
CYRELA,0.0074657520135629684,0,0.0074657520135629684
COSAN,0.006975891835388777,0,0.006975891835388777
GRUPO AEROPORTUARIO SURESTE,0.014162910748627595,0.0072833016959,0.006879609052727595
WAL-MART MEXICO,0.027700159804918526,0.021412486943169,0.006287672861749527
AXIA ENERGIA,0.02617998364524675,0.021723921772721998,0.004456061872524751
