COMPANIES (PIONERO),% PORTFOLIO,% IGPA Small Cap,OVERWEIGHT/UNDERWEIGHT
PUCOBRE,0.2329887532052177,0,0.2329887532052177
ENAEX,0.1162292626948401,0,0.1162292626948401
NORTEGRANDE,0.0757932109742878,0,0.0757932109742878
BLUMAR,0.05647891765329955,0,0.05647891765329955
SIGDO KOPPERS,0.048311463957723975,0,0.048311463957723975
EMBOTELLADORA ANDINA,0.045119729621412266,0,0.045119729621412266
BICECORP,0.04231643650074287,0,0.04231643650074287
WATTS,0.03684076228657506,0,0.03684076228657506
ALMENDRAL,0.04400225347453433,0.0166007157,0.027401537774534326
ECHEVERRIA IZQUIERDO,0.024461459586006293,0,0.024461459586006293
MULTIEXPORT FOODS,0.014300520243248521,0,0.014300520243248521
QUINENCO,0.013990241167971701,0,0.013990241167971701
ENTEL,0.012251749665501088,0,0.012251749665501088
ORO BLANCO,0.009520496716542641,0,0.009520496716542641
TRICOT,0.009478322458377136,0,0.009478322458377136
FORUS,0.03568646379276767,0.0269120369,0.008774426892767674
CRISTALERIAS CHILE,0.008410456631501903,0,0.008410456631501903
CAMANCHACA,0.008052027756481653,0,0.008052027756481653
SOCOVESA,0.006999421273339356,0,0.006999421273339356
FEPASA,0.005374018053146955,0,0.005374018053146955
EDELPA,0.0029310224818567348,0,0.0029310224818567348
CINTAC,0.0016063516859951383,0,0.0016063516859951383
LA POLAR,0,0.0053875437,-0.0053875437
SAAM,0.06242765208711336,0.0681526684,-0.005725016312886647
AAISA,0,0.0113780961,-0.0113780961
CLINICA LAS CONDES,0,0.0126424906,-0.0126424906
NATURGY,0,0.013872551,-0.013872551
INGEVEC,0,0.0151430143,-0.0151430143
SONDA,0,0.0176316918,-0.0176316918
INVERCAP,0,0.0176384944,-0.0176384944
EMBONOR,0.025429802511518843,0.0455267852,-0.02009698268848116
INDISA,0,0.0306507924,-0.0306507924
BANVIDA,0,0.0311881858,-0.0311881858
NUAM,0,0.0438945864,-0.0438945864
INVERSIONES LA CONSTRUCCION,0.04568226136736323,0.0965335602,-0.05085129883263676
BESALCO,0,0.051924752,-0.051924752
SMU,0,0.0564564188,-0.0564564188
SALFACORP,0.015316942152634133,0.0722595293,-0.056942587147365865
RIPLEY,0,0.0625569428,-0.0625569428
CONCHA Y TORO,0,0.0640881164,-0.0640881164
CAP,0,0.0729347267,-0.0729347267
INVERSIONES AGUAS METROPOLITANAS,0,0.074717593,-0.074717593
ENGIE ENERGIA CHILE,0,0.091908708,-0.091908708
