COMPANIES (MRV),% PORTFOLIO,% IPSA,OVERWEIGHT/UNDERWEIGHT
ENTEL,0.07798108411572569,0.0088097636,0.06917132051572569
BCI,0.1351021572563122,0.0696991591,0.06540299815631219
QUINENCO,0.08168249949848796,0.0176605343,0.06402196519848796
ANTARCHILE,0.04791901908391901,0,0.04791901908391901
NORTEGRANDE,0.03834941904508308,0,0.03834941904508308
MERCADOLIBRE,0.036663735157199166,0,0.036663735157199166
COLBUN,0.04038245616907572,0.0142454711,0.026136985069075722
ENEL GENERACION CHILE,0.025845622270982468,0,0.025845622270982468
FORUS,0.019750539275174474,0,0.019750539275174474
CCU,0.028264644104939878,0.0112130612,0.017051582904939876
CMPC,0.03663417430315129,0.019937953,0.016696221303151286
EMBOTELLADORA ANDINA,0.03359601598403199,0.0227689228,0.010827093184031987
SOQUIMICH,0.1506997365153001,0.1443370265,0.006362710015300116
MALL PLAZA,0.04130369420498509,0.039995369,0.0013083252049850905
SMU,0,0.005675338,-0.005675338
RIPLEY,0,0.0062885993,-0.0062885993
CONCHA Y TORO,0,0.006442522,-0.006442522
SALFACORP,0,0.0072639615,-0.0072639615
CAP,0,0.0073318364,-0.0073318364
INVERSIONES AGUAS METROPOLITANAS,0,0.0075110608,-0.0075110608
ENGIE ENERGIA CHILE,0,0.0092392149,-0.0092392149
VAPORES,0,0.0095114439,-0.0095114439
INVERSIONES LA CONSTRUCCION,0,0.0097041327,-0.0097041327
AGUAS ANDINAS,0,0.0144723741,-0.0144723741
CENCOSUD SHOPPING,0,0.0180360188,-0.0180360188
ENEL AMERICAS,0,0.0217896258,-0.0217896258
ITAUCORP,0,0.0229884437,-0.0229884437
CENCOSUD,0.027997807591971242,0.0517051751,-0.023707367508028758
ENEL CHILE,0,0.0252534246,-0.0252534246
PARQUE ARAUCO,0,0.0340455316,-0.0340455316
COPEC,0,0.0389817347,-0.0389817347
FALABELLA,0.032229879178447725,0.0735664558,-0.041336576621552275
LATAM AIRLINES,0.053908845369945994,0.095648612,-0.041739766630054
BANCO CHILE,0.0738751523949606,0.1192803314,-0.04540517900503939
BANCO SANTANDER,0.017813518480306354,0.0665969022,-0.04878338371969365
