COMPANIES (GLORY),% PORTFOLIO,% GDUEEGFL,OVERWEIGHT/UNDERWEIGHT
MULTIPLAN,0.03444324007933941,0,0.03444324007933941
GENTERA,0.030043896027709585,0,0.030043896027709585
MERCADOLIBRE,0.029023765108643337,0,0.029023765108643337
B3,0.04698194979311947,0.0208375668,0.02614438299311947
GRUPO MEXICO,0.06508278003718802,0.041092162,0.023990618037188022
VISTA OIL & GAS,0.01901328058082944,0,0.01901328058082944
LOCAWEB,0.015154621140873382,0,0.015154621140873382
DIRECIONAL ENGENHARIA,0.01460569377254367,0,0.01460569377254367
ITAU,0.06763702975401518,0.0532936738,0.014343355954015188
BANCO BTG PACTUAL,0.029642206882866843,0.0154039757,0.014238231182866844
EQUATORIAL ENERGIA,0.02525468826886874,0.0111090526,0.01414563566886874
ITAUCORP,0.013356877171933984,0,0.013356877171933984
PETRO RIO,0.024187580941657953,0.0112976382,0.012889942741657954
GRUPO FINANCIERO BANORTE,0.04538218804720435,0.0327651037,0.01261708434720435
CREDICORP,0.039615232474967704,0.0270340511,0.012581181374967703
M DIAS BRANCO,0.010183819858112366,0,0.010183819858112366
DLOCAL,0.009252654143890834,0,0.009252654143890834
AXIA ENERGIA,0.033998223064311245,0.0247682346,0.009229988464311244
MILLS ESTRUTURAS,0.009074355579227021,0,0.009074355579227021
CYRELA,0.008969400093368888,0,0.008969400093368888
BRAVA ENERGIA,0.008963376233952545,0,0.008963376233952545
COSAN,0.008392642846587337,0,0.008392642846587337
LOJAS RENNER,0.007938071349279959,0,0.007938071349279959
LOCALIZA,0.017043086075160477,0.0096790509,0.007364035175160478
INVERSIONES LA CONSTRUCCION,0.007061879307680672,0,0.007061879307680672
GRUPO CEMENTOS CHIHUAHUA,0.006777521153171844,0,0.006777521153171844
PARQUE ARAUCO,0.006527258813697234,0,0.006527258813697234
FLEURY,0.006082772041783744,0,0.006082772041783744
AGI INC,0.006012974411991491,0,0.006012974411991491
MEGACABLE,0.005278807008578374,0,0.005278807008578374
VIVARA,0.004729097297045952,0,0.004729097297045952
GRUPO AEROPORTUARIO SURESTE,0.011861151635014106,0.0072850862,0.004576065435014106
VULCABRAS AZALEIA,0.004551007325769961,0,0.004551007325769961
BUENAVENTURA,0.011909147216069607,0.0074030011,0.004506146116069607
SOQUIMICH,0.016440351635695197,0.0123152149,0.004125136735695197
RUMO LOGISTICA,0.00841883665654935,0.0046227031,0.00379613355654935
INTERCORP,0.0037574640768867585,0,0.0037574640768867585
COGNA EDUCACAO,0.0037440867244399765,0,0.0037440867244399765
ENTEL,0.0037224507896709215,0,0.0037224507896709215
GRUPO SPORTS,0.003687439390429313,0,0.003687439390429313
MINSUR,0.003577084492630603,0,0.003577084492630603
GRUPO TRAXION,0.0032014136316753593,0,0.0032014136316753593
C&A MODAS,0.0031012197556407974,0,0.0031012197556407974
WAL-MART MEXICO,0.022756236020006527,0.0196749792,0.0030812568200065255
OPERADORA SITES MEXICANOS,0.0030596214919624345,0,0.0030596214919624345
KIMBERLY-CLARK MEXICO,0.0069147978693475855,0.0042180122,0.0026967856693475853
CCU,0.0016409535953766778,0,0.0016409535953766778
NUBANK,0.06072264737781933,0.0599393295,0.0007833178778193298
MARCOPOLO,0.000640712568090902,0,0.000640712568090902
LOCALIZA RENT A CAR,0.0006244659390474372,0,0.0006244659390474372
REDE DOR SAO LUIZ,0.007261101152371284,0.0070631968,0.00019790435237128368
REGIONAL,0.00017760390120537207,0,0.00017760390120537207
GRUPO INV. SURAMERICANA,1.7428917374829018e-05,0,1.7428917374829018e-05
PROCAPS,1.0994728971583465e-05,0,1.0994728971583465e-05
ALSEA,4.1324424122367336e-06,0,4.1324424122367336e-06
TOTVS,0.003978668133031224,0.0044657478,-0.00048707966696877585
FALABELLA,0.0043120581720962016,0.0049934005,-0.0006813423279037984
RAIA DROGASIL,0.006429703270588401,0.0071576723,-0.0007279690294115992
