COMPANIES (MERCER),% PORTFOLIO,% M1LAIM,OVERWEIGHT/UNDERWEIGHT
MULTIPLAN,0.034565820958469065,0.0020001009,0.03256572005846906
GRUPO MEXICO,0.06891665396588668,0.0378491039,0.031067550065886684
MERCADOLIBRE,0.025896066478610768,0,0.025896066478610768
GENTERA,0.02904776261376948,0.0032572398,0.025790522813769482
CREDICORP,0.04928468149201758,0.0240778279,0.025206853592017582
B3,0.03833858147682494,0.0165385218,0.021800059676824936
MILLS ESTRUTURAS,0.020214012864822266,0,0.020214012864822266
BANCO BTG PACTUAL,0.032559320585382266,0.0132199678,0.019339352785382267
LOCAWEB,0.017440657024331205,0,0.017440657024331205
INVERSIONES LA CONSTRUCCION,0.017211270403452796,0.0009038432,0.016307427203452796
VIVARA,0.014739632954060876,0.0007206148,0.014019018154060876
DIRECIONAL ENGENHARIA,0.014857704573940733,0.0008874668,0.013970237773940733
ITAU,0.058610022640460176,0.0448119564,0.013798066240460177
EQUATORIAL ENERGIA,0.0213192938057501,0.0092016887,0.012117605105750101
GRUPO FINANCIERO BANORTE,0.04078635122299979,0.0291522727,0.011634078522999792
DLOCAL,0.011186528605738433,0,0.011186528605738433
ITAUCORP,0.013377909563208551,0.0022326564,0.011145253163208552
FLEURY,0.01171880468718071,0.0007829013,0.01093590338718071
CYRELA,0.011488955342489076,0.0013680937,0.010120861642489076
WAL-MART MEXICO,0.02678992625034767,0.0188628345,0.007927091750347667
REDE DOR SAO LUIZ,0.014449718012979814,0.0066454572,0.007804260812979814
PETRO RIO,0.015160910341727198,0.0077502624,0.007410647941727198
VISTA OIL & GAS,0.007361286493047762,0,0.007361286493047762
KIMBERLY-CLARK MEXICO,0.010801077343856881,0.0036342565,0.007166820843856881
CCU,0.008171653487374713,0.0010081463,0.0071635071873747125
BRAVA ENERGIA,0.008086834009799732,0.0013095286,0.0067773054097997314
RAIA DROGASIL,0.013457191316983913,0.0067975087,0.006659682616983914
COSAN,0.00762194110740137,0.0013611726,0.00626076850740137
OPERADORA SITES MEXICANOS,0.006236884651077489,0,0.006236884651077489
INTERCORP,0.00785646494544494,0.0016706291,0.00618583584544494
NUBANK,0.06770634503038447,0.0624317535,0.0052745915303844745
AXIA ENERGIA,0.023956417542685425,0.0189530135,0.005003404042685424
BUENAVENTURA,0.011287980165575508,0.0063427308,0.004945249365575508
GRUPO CEMENTOS CHIHUAHUA,0.006991889500997397,0.0020497239,0.004942165600997396
M DIAS BRANCO,0.00461699024332308,0.0003463346,0.0042706556433230805
GRUPO SPORTS,0.004153150776922416,0,0.004153150776922416
VULCABRAS AZALEIA,0.003999542222671871,0.0002996662,0.0036998760226718713
COGNA EDUCACAO,0.005141151941006355,0.001561067,0.003580084941006355
ENTEL,0.004385351211392907,0.0008845733,0.0035007779113929065
SOQUIMICH,0.015795685627278153,0.0123007877,0.003494897927278154
GRUPO AEROPORTUARIO SURESTE,0.009431049100435279,0.0064160559,0.0030149932004352783
RUMO LOGISTICA,0.006515321751226183,0.0036464136,0.002868908151226183
FERREYROS,0.0027797767147659906,0,0.0027797767147659906
BANCO CHILE,0.012248267174414471,0.0099309352,0.0023173319744144716
GRUPO TRAXION,0.002257144383784188,0,0.002257144383784188
GRUPO MATEUS,0.0026792307702811803,0.0005316544,0.0021475763702811803
GLOBANT,0.0017156881093522028,0,0.0017156881093522028
C&A MODAS,0.0020059356797930256,0.0004228286,0.0015831070797930255
PARQUE ARAUCO,0.004002740440144821,0.0029220792,0.0010806612401448213
MEGACABLE,0.0024893345949805975,0.0016848504,0.0008044841949805975
TOTVS,0.005244648506673765,0.0047899008,0.0004547477066737648
