COMPANIES (GLORY),% PORTFOLIO,% GDUEEGFL,OVERWEIGHT/UNDERWEIGHT
BANCO SANTANDER,0,0.006625249,-0.006625249
COCA-COLA FEMSA,0,0.0067046148,-0.0067046148
BCI,0,0.0069766658,-0.0069766658
TELEFONICA BRASIL,0,0.0071341108,-0.0071341108
ARCA CONTINENTAL,0,0.0071414589,-0.0071414589
JBS,0,0.0073612949,-0.0073612949
VIBRA ENERGIA,0,0.007385121,-0.007385121
SUZANO PAPEL,0,0.0087518643,-0.0087518643
GRUPO AEROPORTUARIO DEL PACIFICO,0,0.0122951887,-0.0122951887
VALE,0.05446788336796199,0.0681873566,-0.01371947323203801
INDUSTRIAS PENOLES,0,0.0138736692,-0.0138736692
EMBRAER,0,0.0140911772,-0.0140911772
CIA. SANEAMENTO BASICO EST. SP,0,0.016210074,-0.016210074
BANCOLOMBIA,0,0.016594733,-0.016594733
AMBEV,0,0.0166810874,-0.0166810874
ITAUSA,0,0.0185484555,-0.0185484555
AMERICA MOVIL,0.004957388141463579,0.0243406351,-0.019383246958536424
WEG,0,0.0194893842,-0.0194893842
SOUTHERN COPPER,0,0.020332539,-0.020332539
BANCO BRADESCO,0.009579737280273429,0.0301546574,-0.020574920119726572
CEMEX,0,0.0214658988,-0.0214658988
PETROBRAS,0.025839768543284417,0.0687241082,-0.04288433965671558
