COMPANIES (MRV),% PORTFOLIO,% IPSA,OVERWEIGHT/UNDERWEIGHT
ENTEL,0.08242562292936514,0.0094212705,0.07300435242936515
QUINENCO,0.08534262665955611,0.0186686568,0.0666739698595561
BCI,0.13672234256483096,0.070338551,0.06638379156483096
ANTARCHILE,0.04954299736916344,0,0.04954299736916344
MERCADOLIBRE,0.03600343797733434,0,0.03600343797733434
NORTEGRANDE,0.03307684588072186,0,0.03307684588072186
COLBUN,0.043407465302552684,0.0154924734,0.027914991902552685
ENEL GENERACION CHILE,0.027015974856543126,0,0.027015974856543126
FORUS,0.01953894590739953,0,0.01953894590739953
CMPC,0.04050080885367788,0.0224792857,0.018021523153677877
CCU,0.028143589489949616,0.0112962009,0.016847388589949615
EMBOTELLADORA ANDINA,0.03361999735475669,0.0230528502,0.010567147154756689
MALL PLAZA,0.04655226613725721,0.03758247,0.008969796137257208
SOQUIMICH,0.14095193326778585,0.136586742,0.0043651912677858395
SMU,0,0.0060789998,-0.0060789998
RIPLEY,0,0.00676236,-0.00676236
CONCHA Y TORO,0,0.0068819058,-0.0068819058
SALFACORP,0,0.0074960086,-0.0074960086
INVERSIONES AGUAS METROPOLITANAS,0,0.0076175389,-0.0076175389
CAP,0,0.0077351235,-0.0077351235
ENGIE ENERGIA CHILE,0,0.0089447234,-0.0089447234
INVERSIONES LA CONSTRUCCION,0,0.0090505349,-0.0090505349
VAPORES,0,0.0103860427,-0.0103860427
AGUAS ANDINAS,0,0.0146141192,-0.0146141192
CENCOSUD SHOPPING,0,0.0172106774,-0.0172106774
ITAUCORP,0,0.0221679031,-0.0221679031
ENEL AMERICAS,0,0.0235521213,-0.0235521213
CENCOSUD,0.02985911492146284,0.0557903604,-0.025931245478537163
ENEL CHILE,0,0.0271305942,-0.0271305942
PARQUE ARAUCO,0,0.0299831964,-0.0299831964
COPEC,0,0.0385291974,-0.0385291974
LATAM AIRLINES,0.05193514522466036,0.0932292606,-0.04129411537533964
BANCO CHILE,0.07386814182261454,0.1206701546,-0.04680201277738545
BANCO SANTANDER,0.01738077154770112,0.0657424097,-0.04836163815229888
FALABELLA,0.02411197193266677,0.0755082677,-0.05139629576733323
