COMPANIES (MRV),% PORTFOLIO,% IPSA,OVERWEIGHT/UNDERWEIGHT
ENTEL,0.07832905420806822,0.008813804,0.06951525020806823
BCI,0.13763949154220273,0.0707251423,0.06691434924220273
QUINENCO,0.0821302942782024,0.0176865739,0.0644437203782024
ANTARCHILE,0.04740442325604492,0,0.04740442325604492
NORTEGRANDE,0.03868803611238663,0,0.03868803611238663
MERCADOLIBRE,0.03717318950730982,0,0.03717318950730982
COLBUN,0.03997240614896806,0.0140446167,0.025927789448968064
ENEL GENERACION CHILE,0.02547187637345453,0,0.02547187637345453
FORUS,0.020124453350620315,0,0.020124453350620315
CCU,0.028207751058099126,0.0111458874,0.017061863658099127
CMPC,0.036729861951455015,0.0199103536,0.016819508351455015
EMBOTELLADORA ANDINA,0.03426468783068554,0.0231295403,0.011135147530685542
SOQUIMICH,0.14014916694201407,0.1336968876,0.006452279342014061
MALL PLAZA,0.040183349625422915,0.040275635,-9.228537457708214e-05
SMU,0,0.005743159,-0.005743159
CONCHA Y TORO,0,0.0063110309,-0.0063110309
RIPLEY,0,0.0067065226,-0.0067065226
CAP,0,0.0075014181,-0.0075014181
INVERSIONES AGUAS METROPOLITANAS,0,0.0076708581,-0.0076708581
SALFACORP,0,0.0080969911,-0.0080969911
ENGIE ENERGIA CHILE,0,0.0090278108,-0.0090278108
VAPORES,0,0.0092063906,-0.0092063906
INVERSIONES LA CONSTRUCCION,0,0.009839388,-0.009839388
AGUAS ANDINAS,0,0.0145397996,-0.0145397996
CENCOSUD SHOPPING,0,0.0184919706,-0.0184919706
ENEL AMERICAS,0,0.0211502392,-0.0211502392
CENCOSUD,0.027146711591503125,0.0499335834,-0.022786871808496877
ITAUCORP,0,0.0234950498,-0.0234950498
ENEL CHILE,0,0.0248211557,-0.0248211557
PARQUE ARAUCO,0,0.0339641194,-0.0339641194
COPEC,0,0.03749346,-0.03749346
FALABELLA,0.03563133509131583,0.0776640887,-0.042032753608684165
LATAM AIRLINES,0.056045855214197325,0.0990438829,-0.04299802768580268
BANCO CHILE,0.0769519460949922,0.1237529528,-0.046801006705007794
BANCO SANTANDER,0.017756109823057264,0.0661176878,-0.04836157797694274
