COMPANIES (PIONERO),% PORTFOLIO,% IGPA Small Cap,OVERWEIGHT/UNDERWEIGHT
PUCOBRE,0.20164809004840967,0,0.20164809004840967
ENAEX,0.12358124887583864,0,0.12358124887583864
NORTEGRANDE,0.07799897525895029,0,0.07799897525895029
BLUMAR,0.058138316786693754,0,0.058138316786693754
SIGDO KOPPERS,0.057387741810073105,0,0.057387741810073105
EMBOTELLADORA ANDINA,0.04795098945843909,0,0.04795098945843909
BICECORP,0.04242467832743596,0,0.04242467832743596
WATTS,0.03853077939251036,0,0.03853077939251036
ALMENDRAL,0.04246220245759668,0.0158379307,0.02662427175759668
ECHEVERRIA IZQUIERDO,0.025156756685181917,0,0.025156756685181917
MULTIEXPORT FOODS,0.014407601049069225,0,0.014407601049069225
QUINENCO,0.01384060021969026,0,0.01384060021969026
ENTEL,0.010090475318032728,0,0.010090475318032728
ORO BLANCO,0.010026107087398668,0,0.010026107087398668
FORUS,0.03746367171853398,0.0277718623,0.009691809418533981
TRICOT,0.009278796936627589,0,0.009278796936627589
CRISTALERIAS CHILE,0.008915509471592859,0,0.008915509471592859
CAMANCHACA,0.007763853597987017,0,0.007763853597987017
FEPASA,0.005805433627497558,0,0.005805433627497558
EDELPA,0.0031663191881460416,0,0.0031663191881460416
SOCOVESA,0.0030803260094200433,0,0.0030803260094200433
LA POLAR,0,0.0050840971,-0.0050840971
SAAM,0.06403215529053656,0.0702623043,-0.006230149009463434
AAISA,0,0.0108652913,-0.0108652913
CLINICA LAS CONDES,0,0.0139948873,-0.0139948873
INVERCAP,0,0.0150055626,-0.0150055626
INGEVEC,0,0.0152503773,-0.0152503773
NATURGY,0,0.0159579495,-0.0159579495
SONDA,0,0.0171501438,-0.0171501438
EMBONOR,0.02940639288152838,0.0497086946,-0.020302301718471617
INDISA,0,0.0299927064,-0.0299927064
BANVIDA,0,0.0329830791,-0.0329830791
NUAM,0,0.0448816292,-0.0448816292
INVERSIONES LA CONSTRUCCION,0.04504317536371513,0.097455864,-0.05241268863628487
SALFACORP,0.022399803139094652,0.076701683,-0.05430187986090536
BESALCO,0,0.0552432071,-0.0552432071
SMU,0,0.0566865938,-0.0566865938
CONCHA Y TORO,0,0.060926822,-0.060926822
CAP,0,0.0625295778,-0.0625295778
RIPLEY,0,0.0656479904,-0.0656479904
INVERSIONES AGUAS METROPOLITANAS,0,0.0746385353,-0.0746385353
ENGIE ENERGIA CHILE,0,0.085423211,-0.085423211
