COMPANIES (MSCLUX),% PORTFOLIO,% MSLUELAN,OVERWEIGHT/UNDERWEIGHT
LOCAWEB,0.0402775961228998,0,0.0402775961228998
MINSUR,0.03770732425503652,0,0.03770732425503652
CYRELA,0.04623234228239413,0.0137056399,0.032526702382394135
MULTIPLAN,0.04699775418704983,0.0182367124,0.02876104178704983
MOURA DUBEUX ENGENHARIA,0.027344410095711282,0,0.027344410095711282
MILLS ESTRUTURAS,0.02214058896813027,0,0.02214058896813027
ENTEL,0.02889289303529051,0.0069375579,0.021955335135290507
MARCOPOLO,0.030814036192416912,0.0098751744,0.020938861792416913
VIVARA,0.02699093673447871,0.0062025171,0.02078841963447871
CCU,0.026941503205009418,0.0078679052,0.019073598005009417
MALL PLAZA,0.018757457455236656,0,0.018757457455236656
GRUPO SPORTS,0.017248673624879477,0,0.017248673624879477
INTERCORP,0.029878269176155783,0.0145764338,0.015301835376155783
DLOCAL,0.015116937174698829,0,0.015116937174698829
COGNA EDUCACAO,0.027508972760789643,0.0128819539,0.014627018860789643
FERREYROS,0.014473737355487376,0,0.014473737355487376
C&A MODAS,0.018839767618271816,0.004608533,0.014231234618271816
PAMPA ENERGIA,0.012940622456963613,0,0.012940622456963613
BRAVA ENERGIA,0.02260578711227906,0.0106404895,0.01196529761227906
M DIAS BRANCO,0.01388931475859959,0.002731843,0.01115747175859959
FLEURY,0.01758331993051731,0.0068280921,0.01075522783051731
DIRECIONAL ENGENHARIA,0.019507943870174925,0.0087610648,0.010746879070174926
CURY CONSTRUTORA E INCORPORADORA,0.019914428483532007,0.0092027727,0.010711655783532007
GRUPO SBF,0.010226234453718272,0,0.010226234453718272
VULCABRAS AZALEIA,0.011728266917192899,0.0022772825,0.009450984417192899
ANDINO INVEST HOLDING,0.008740616442857656,0,0.008740616442857656
FARM PAGUE MENOS,0.008469608200513871,0,0.008469608200513871
OPERADORA SITES MEXICANOS,0.00814307351938738,0,0.00814307351938738
CAMANCHACA,0.00795821402389943,0,0.00795821402389943
ULTRAPAR,0.007143490168040505,0,0.007143490168040505
LOMA NEGRA,0.0067518126910224895,0,0.0067518126910224895
BANCO SANTANDER BRASIL,0.006561723427412082,0,0.006561723427412082
GENTERA,0.034404791908763804,0.0286912676,0.005713524308763804
SALFACORP,0.005483509155149859,0,0.005483509155149859
BRADESPAR,0.014563160266319949,0.0101245306,0.004438629666319948
GBM,0.0034268282573973645,0,0.0034268282573973645
ORIZON VALORIZACAO DE RESIDUOS,0.00868654046181252,0.0056326839,0.00305385656181252
CONSTELLATION,0.0027753364779547754,0,0.0027753364779547754
GRUPO CEMENTOS CHIHUAHUA,0.01918574056795744,0.0166657772,0.0025199633679574424
GRUPO TRAXION,0.002396107067430817,0,0.002396107067430817
COPA HOLDINGS,0.00213279327812642,0,0.00213279327812642
ECORODOVIAS,0.008245376115682775,0.0062216192,0.002023756915682774
COSAN,0.013763011354886199,0.012169506,0.0015935053548861988
GRUPO MATEUS,0.0056711288320140385,0.0045758775,0.0010952513320140389
PAGSEGURO DIGITAL,0.0165674200663957,0.0156848279,0.0008825921663957008
GENOMMA LAB,0.006441965674995338,0.0058221382,0.0006198274749953381
INTER & CO,0.018847529277970745,0.0183763145,0.00047121477797074443
ORBIA,0.009546763129417895,0.0090824882,0.00046427492941789397
SMARTFIT,0.014691572262851216,0.0143064577,0.0003851145628512159
INVERSIONES LA CONSTRUCCION,0.007942655811216724,0.0075744514,0.00036820441121672345
PROCAPS,4.475015406859479e-06,0,4.475015406859479e-06
CAP,0.005065987170171042,0.0052316775,-0.000165690329828958
ITAUCORP,0.017173211897846423,0.0177542537,-0.0005810418021535771
MEGACABLE,0.013829616121364342,0.0145786796,-0.0007490634786356584
EMBOTELLADORA ANDINA,0.015746582145960072,0.0171816216,-0.0014350394540399262
VTEX,0,0.0016339216,-0.0016339216
TRES TENTOS AGROINDUSTRIAL,0.0014879257082446786,0.0031845861,-0.0016966603917553216
INTELBRAS,0,0.0019510726,-0.0019510726
AFYA,0,0.0019784189,-0.0019784189
FERBASA,0,0.0021893163,-0.0021893163
PETRORECONCAVO,0,0.0023274619,-0.0023274619
LOJAS RENNER,0.02308156969257317,0.0255614383,-0.0024798686074268307
GRENDENE,0,0.0025393586,-0.0025393586
VINCI PARTNERS INVESTMENTS,0,0.0025851201,-0.0025851201
FRAS-LE,0,0.0027136628,-0.0027136628
ENGIE ENERGIA CHILE,0.004216977469322262,0.0070162406,-0.0027992631306777383
BRASKEM,0,0.0029095417,-0.0029095417
MAHLE-METAL LEVE,0,0.0030458557,-0.0030458557
SIMPAR,0,0.0034583698,-0.0034583698
VAMOS,0,0.0035536698,-0.0035536698
BANCO ABC BRASIL,0,0.0037239126,-0.0037239126
MINEROS,0,0.0038394628,-0.0038394628
SAO MARTINHO,0,0.0038550234,-0.0038550234
SAO PAULO ALPARGATAS,0,0.0039172893,-0.0039172893
HIDROVIAS DO BRASIL,0,0.0039405512,-0.0039405512
IGUATEMI,0.006075299265962786,0.0101579347,-0.0040826354340372135
VESTA,0.019949530934583428,0.0241406567,-0.004191125765416571
DANHOS,0,0.0042062937,-0.0042062937
DEXCO,0,0.0042073091,-0.0042073091
MINERVA,0,0.0045254538,-0.0045254538
LACOMER,0.00011155679851630654,0.0047436626,-0.004632105801483694
RIPLEY,0,0.004671299,-0.004671299
REGIONAL,0.014332029340492089,0.0192377284,-0.004905699059507912
INVERSIONES AGUAS METROPOLITANAS,0,0.0049368351,-0.0049368351
USIMINAS,0,0.0050304355,-0.0050304355
SLC AGRICOLA,0,0.0050549935,-0.0050549935
SMU,0,0.0051138544,-0.0051138544
ODONTOPREV,0,0.0053015062,-0.0053015062
IRB BRASIL RESSEGUROS,0,0.0053109319,-0.0053109319
BANCO DEL BAJIO,0.01559074415654343,0.0209171153,-0.005326371143456571
CONCHA Y TORO,0,0.0054173327,-0.0054173327
AZZAS 2154,0,0.0054563811,-0.0054563811
UNIPAR PARTICIPACOES,0,0.0056507938,-0.0056507938
MRV ENGENHARIA,0,0.0057690082,-0.0057690082
BANCO EST. RIO GRANDE DO SUL,0,0.0059414154,-0.0059414154
ALSEA,0.008289223010957487,0.0143355462,-0.0060463231890425136
HAPVIDA,0,0.0062983954,-0.0062983954
SIGMA LITHIUM,0,0.006403459,-0.006403459
MAGAZINE LUIZA,0,0.0064817467,-0.0064817467
AUREN ENERGIA,0,0.0068645083,-0.0068645083
VAPORES,0,0.0073780852,-0.0073780852
ALPEK,0,0.0076802657,-0.0076802657
BOLSA MEXICANA,0,0.0077485268,-0.0077485268
PATRIA INVESTMENTS,0,0.0080645774,-0.0080645774
VOLARIS,0,0.0088802555,-0.0088802555
ALUPAR,0,0.0092106985,-0.0092106985
CSN,0,0.0092951896,-0.0092951896
AGUAS ANDINAS,0,0.0102599091,-0.0102599091
HYPERMARCAS,0,0.0110414707,-0.0110414707
COLBUN,0,0.0113576126,-0.0113576126
TELEVISA,0,0.0122509408,-0.0122509408
TRANSMISSORA ALIANCA DE ENERGIA ELETRICA,0,0.0126173147,-0.0126173147
NATURA,0,0.0133317029,-0.0133317029
GRUPO ARGOS,0,0.0134187693,-0.0134187693
GERDAU,0,0.0135627077,-0.0135627077
GPS,0,0.0137390003,-0.0137390003
MACQUARIE MEXICO,0,0.0146784274,-0.0146784274
ALLOS SA,0.0019453846056640101,0.0182556012,-0.01631021659433599
QUALITAS CONTROLADORA,0,0.0167543475,-0.0167543475
CIA SANEAMENTO MINAS GERAIS,0,0.0167694713,-0.0167694713
CIA DE SANEAMENTO DO PARANA,0,0.017104477,-0.017104477
AURA MINERALS,0,0.0188764764,-0.0188764764
SENDAS DISTRIBUIDORA,0,0.0194636029,-0.0194636029
CEMENTOS ARGOS,0,0.0203229158,-0.0203229158
PARQUE ARAUCO,0,0.0249305972,-0.0249305972
GRUPO INV. SURAMERICANA,0,0.035900041699999996,-0.035900041699999996
