COMPANIES (GLORY),% PORTFOLIO,% GDUEEGFL,OVERWEIGHT/UNDERWEIGHT
MULTIPLAN,0.032645237154837095,0,0.032645237154837095
GENTERA,0.030263094046053412,0,0.030263094046053412
B3,0.0440912348354004,0.0184574497,0.025633785135400402
MERCADOLIBRE,0.024236122388532726,0,0.024236122388532726
GRUPO MEXICO,0.06295877754560127,0.0402775941,0.022681183445601265
CREDICORP,0.046833702874228736,0.0271913084,0.019642394474228737
LOCAWEB,0.018674700580788864,0,0.018674700580788864
ITAUCORP,0.015827965930210963,0,0.015827965930210963
BANCO BTG PACTUAL,0.030261085315578393,0.0154382823,0.014822803015578393
VIVARA,0.014211056050535277,0,0.014211056050535277
EQUATORIAL ENERGIA,0.024699393559653122,0.0108097255,0.013889668059653122
ITAU,0.06641393334359945,0.0529944163,0.01341951704359945
DIRECIONAL ENGENHARIA,0.012964312144351627,0,0.012964312144351627
GRUPO FINANCIERO BANORTE,0.04389207257039095,0.0316172782,0.012274794370390946
DLOCAL,0.011099284577203033,0,0.011099284577203033
M DIAS BRANCO,0.011024389945236145,0,0.011024389945236145
VISTA OIL & GAS,0.010438690072368582,0,0.010438690072368582
PETRO RIO,0.019118239818918883,0.0091529964,0.009965243418918883
MILLS ESTRUTURAS,0.008962409786465743,0,0.008962409786465743
CYRELA,0.00869641594554691,0,0.00869641594554691
COSAN,0.008206980196080006,0,0.008206980196080006
BRAVA ENERGIA,0.007916008570700735,0,0.007916008570700735
INVERSIONES LA CONSTRUCCION,0.0077452334287353005,0,0.0077452334287353005
LOJAS RENNER,0.007721629488657722,0,0.007721629488657722
LOCALIZA,0.016100502212252333,0.0091228687,0.006977633512252333
FLEURY,0.0069079090948016945,0,0.0069079090948016945
PARQUE ARAUCO,0.0068088547186377765,0,0.0068088547186377765
GRUPO CEMENTOS CHIHUAHUA,0.006794622301345269,0,0.006794622301345269
WAL-MART MEXICO,0.0268054511562896,0.0202353542,0.0065700969562896006
COGNA EDUCACAO,0.005343319584933184,0,0.005343319584933184
GRUPO MATEUS,0.0051532938002299125,0,0.0051532938002299125
ENTEL,0.005043815033508337,0,0.005043815033508337
VULCABRAS AZALEIA,0.004570563760425861,0,0.004570563760425861
BUENAVENTURA,0.011547844969740333,0.0071620205,0.004385824469740333
AXIA ENERGIA,0.026308846167842383,0.021943008899999998,0.004365837267842385
GRUPO SPORTS,0.004070291308546293,0,0.004070291308546293
GRUPO TRAXION,0.003970710767208186,0,0.003970710767208186
INTERCORP,0.003840439863883161,0,0.003840439863883161
GRUPO AEROPORTUARIO SURESTE,0.01087728592137472,0.007073353,0.00380393292137472
MINSUR,0.003786539923705,0,0.003786539923705
RUMO LOGISTICA,0.007792632390068832,0.0042690926,0.0035235397900688324
OPERADORA SITES MEXICANOS,0.0033575956761117097,0,0.0033575956761117097
C&A MODAS,0.0028910726317016677,0,0.0028910726317016677
MEGACABLE,0.002792597545095237,0,0.002792597545095237
KIMBERLY-CLARK MEXICO,0.006557887393026244,0.0039911658,0.0025667215930262437
CCU,0.0020112602651360446,0,0.0020112602651360446
