COMPANIES (ORANGE),% PORTFOLIO,% FTSE Orange,OVERWEIGHT/UNDERWEIGHT
QUINENCO,0.08111198742531031,0.0199008251231426,0.06121116230216771
BCI,0.13229369332400753,0.0746400390516388,0.05765365427236874
ENTEL,0.05758252156582685,0,0.05758252156582685
MERCADOLIBRE,0.052514452058530905,0,0.052514452058530905
ANTARCHILE,0.048083507356564366,0,0.048083507356564366
NORTEGRANDE,0.03833924038214445,0,0.03833924038214445
ENEL GENERACION CHILE,0.027965557164479807,0,0.027965557164479807
COLBUN,0.039783609727438024,0.0161463544465087,0.023637255280929324
FORUS,0.020290662929832372,0,0.020290662929832372
CMPC,0.043634116420886,0.0240840173178311,0.0195500991030549
CCU,0.026868266529787393,0.0114716525078157,0.015396614021971693
ALMENDRAL,0.013657527771188225,0,0.013657527771188225
EMBOTELLADORA ANDINA,0.03249621731643878,0.0276350364967755,0.004861180819663278
SOQUIMICH,0.15124671325314246,0.154571361288211,-0.0033246480350685448
VAPORES,0,0.0104147172170881,-0.0104147172170881
AGUAS ANDINAS,0,0.015706778734625,-0.015706778734625
CENCOSUD SHOPPING,0,0.0196367696619362,-0.0196367696619362
ITAUCORP,0,0.0200966536800703,-0.0200966536800703
MALL PLAZA,0.02997109416758359,0.0524816124549209,-0.022510518287337314
ENEL AMERICAS,0,0.0253719662716706,-0.0253719662716706
ENEL CHILE,0,0.0288627696376213,-0.0288627696376213
FALABELLA,0.04370090421217847,0.0846200776713095,-0.04091917345913103
COPEC,0,0.0441283954333357,-0.0441283954333357
LATAM AIRLINES,0.06337689064877387,0.109500747235436,-0.046123856586662126
BANCO SANTANDER,0.019932048790001673,0.0735093432645735,-0.05357729447457184
BANCO CHILE,0.07715098895588512,0.131130621938735,-0.053979632982849884
CENCOSUD,0,0.0560902605667538,-0.0560902605667538
