COMPANIES (MRV),% PORTFOLIO,% IPSA,OVERWEIGHT/UNDERWEIGHT
BCI,0.1341369451837095,0.0683094311,0.0658275140837095
QUINENCO,0.0830334458667685,0.018055443,0.0649780028667685
ENTEL,0.06948210858413731,0.007684528,0.061797580584137306
MERCADOLIBRE,0.04795559279394997,0,0.04795559279394997
ANTARCHILE,0.04749458487576324,0,0.04749458487576324
NORTEGRANDE,0.038120843709810386,0,0.038120843709810386
ENEL GENERACION CHILE,0.027356399130086653,0,0.027356399130086653
COLBUN,0.042079242074402334,0.0148008517,0.027278390374402335
CMPC,0.042183830333105285,0.0206475341,0.021536296233105285
FORUS,0.020297052571848353,0,0.020297052571848353
CCU,0.02774174318977892,0.0107402755,0.01700146768977892
EMBOTELLADORA ANDINA,0.0336360051797568,0.0222464193,0.011389585879756803
SOQUIMICH,0.14959519312514116,0.1382893721,0.01130582102514116
SMU,0,0.0056691053,-0.0056691053
CONCHA Y TORO,0,0.0062191438,-0.0062191438
CAP,0,0.0067843162,-0.0067843162
RIPLEY,0,0.0070168625,-0.0070168625
INVERSIONES AGUAS METROPOLITANAS,0,0.0075582779,-0.0075582779
SALFACORP,0,0.0078567847,-0.0078567847
ENGIE ENERGIA CHILE,0,0.0091439612,-0.0091439612
VAPORES,0,0.0095346485,-0.0095346485
INVERSIONES LA CONSTRUCCION,0,0.0095959259,-0.0095959259
AGUAS ANDINAS,0,0.0146303393,-0.0146303393
CENCOSUD SHOPPING,0,0.0175431955,-0.0175431955
MALL PLAZA,0.026875400692738912,0.0453993155,-0.01852391480726109
ENEL AMERICAS,0,0.0211255826,-0.0211255826
ITAUCORP,0,0.0216608773,-0.0216608773
LATAM AIRLINES,0.06602461882705682,0.0900810209,-0.024056402072943184
ENEL CHILE,0,0.0256721006,-0.0256721006
FALABELLA,0.045617734185925386,0.0778824777,-0.03226474351407461
COPEC,0,0.0380545707,-0.0380545707
PARQUE ARAUCO,0,0.0397847303,-0.0397847303
BANCO CHILE,0.0770602980690973,0.1214233288,-0.0443630307309027
CENCOSUD,0.001480881092510713,0.0488816707,-0.04740078960748929
BANCO SANTANDER,0.019828080514412608,0.0677079091,-0.0478798285855874
