Fondo,Clase,Fecha_Reporte,Fecha_Inception,YTD_Desde,YTD_Hasta,1Y_Desde,1Y_Hasta,3Y_Desde,3Y_Hasta,5Y_Desde,5Y_Hasta,10Y_Desde,10Y_Hasta,SI_Desde,SI_Hasta,YTD,1_Year,3_Years,5_Years,10_Years,Since_Inception,MOIC_x,Alpha,DesvEstandar_3Y
ORANGE,OP/UP Gross vs Benchmark (CLP),,,2024-12-31,2025-10-22,2024-10-22,2025-10-22,2022-10-22,2025-10-22,2020-10-22,2025-10-22,2015-10-22,2025-10-22,,,-0.0004327263484376065,-0.05029288109558139,-0.0043985268863866445,-0.00014723639359082163,0.012487264125288666,0.012487962626743787,,,
GLORY (USD),Fund Net,2025-10-22,2011-04-11,2024-12-31,2025-10-22,2024-10-22,2025-10-22,2022-10-22,2025-10-22,2020-10-22,2025-10-22,2015-10-22,2025-10-22,2011-04-11,2025-10-22,0.4120795142058502,0.22580227123260532,0.0835469358323524,0.093892345072629,0.0785582281023749,0.011007431818604863,1.1724453813,-0.015624814380237773,0.20723390653243287
GLORY (USD),Fund Gross,2025-10-22,2011-04-11,2024-12-31,2025-10-22,2024-10-22,2025-10-22,2022-10-22,2025-10-22,2020-10-22,2025-10-22,2015-10-22,2025-10-22,2011-04-11,2025-10-22,0.415430462681448,0.22944192261915486,0.08852603883260257,0.10010771526308782,0.0842659262126384,0.01663654234962042,1.2709716249422343,-0.01097440472579092,0.20739929616096686
GLORY (USD),MSCI TR Latam Gross,2025-10-22,2011-04-11,2024-12-31,2025-10-22,2024-10-22,2025-10-22,2022-10-22,2025-10-22,2020-10-22,2025-10-22,2015-10-22,2025-10-22,2011-04-11,2025-10-22,0.40414343762279326,0.21860956850362756,0.09725088363792955,0.11770912011666468,0.07094119371989538,-0.0005439866119113512,0.9921235401849351,,0.20063603799711727
GLORY (USD),OP/UP Gross vs Benchmark,,,2024-12-31,2025-10-22,2024-10-22,2025-10-22,2022-10-22,2025-10-22,2020-10-22,2025-10-22,2015-10-22,2025-10-22,,,0.011287025058654754,0.010832354115527298,-0.008724844805326981,-0.017601404853576863,0.013324732492743019,0.01718052896153177,,,
MERCER (EUR),Fund Net,2025-10-22,2016-03-01,2024-12-31,2025-10-22,2024-10-22,2025-10-22,2022-10-22,2025-10-22,2020-10-22,2025-10-22,2015-10-22,2025-10-22,2016-03-01,2025-10-22,0.28731446848914644,0.14507392097255467,0.07966208857259893,0.1195035347518929,,0.052207084069672005,1.6334869867000001,-0.01454106986277015,0.17804431300974818
MERCER (EUR),Fund Gross,2025-10-22,2016-03-01,2024-12-31,2025-10-22,2024-10-22,2025-10-22,2022-10-22,2025-10-22,2020-10-22,2025-10-22,2015-10-22,2025-10-22,2016-03-01,2025-10-22,0.2939532028049747,0.15256788767044505,0.08752204530047947,0.12947740049294554,,0.06544264988499204,1.8427421443600338,-0.007354906475737,0.1779457352535464
MERCER (EUR),MSCI Latam IMI/Ex BR,2025-10-22,2016-03-01,2024-12-31,2025-10-22,2024-10-22,2025-10-22,2022-10-22,2025-10-22,2020-10-22,2025-10-22,2015-10-22,2025-10-22,2016-03-01,2025-10-22,0.24780292252250757,0.12927741482802713,0.09123193369450533,0.14564947049885668,,0.04528570728338521,1.5327723331625824,,0.16832856233350169
MERCER (EUR),OP/UP Gross vs Benchmark,,,2024-12-31,2025-10-22,2024-10-22,2025-10-22,2022-10-22,2025-10-22,2020-10-22,2025-10-22,2015-10-22,2025-10-22,,,0.04615028028246715,0.02329047284241792,-0.003709888394025862,-0.016172070005911143,,0.02015694260160683,,,
MSC,Fund Net LC,2025-10-22,2008-05-27,2024-12-31,2025-10-22,2024-10-22,2025-10-22,2022-10-22,2025-10-22,2020-10-22,2025-10-22,2015-10-22,2025-10-22,2008-05-27,2025-10-22,0.2534416944350293,0.14397619585951893,0.054691525006485,0.04390181064522691,0.0808163181124002,0.07995175724682246,3.814052683243888,-0.0378456441242776,0.18735465224050377
