COMPANIES (MRV),% PORTFOLIO,% IPSA,OVERWEIGHT/UNDERWEIGHT
BCI,0.138276424,0.071240216,0.067036209
QUINENCO,0.080438169,0.018338352,0.062099816
ENTEL,0.065453976,0.007589677,0.057864299
MERCADOLIBRE,0.04737488,0,0.04737488
ANTARCHILE,0.046949952,0,0.046949952
NORTEGRANDE,0.039450735,0,0.039450735
ENEL GENERACION CHILE,0.027261508,0,0.027261508
COLBUN,0.037777575,0.013931438,0.023846138
CMPC,0.04301879,0.020911087,0.022107703
FORUS,0.019162625,0,0.019162625
CCU,0.024865955,0.010093223,0.014772732
EMBOTELLADORA ANDINA,0.036001252,0.022488154,0.013513098
SOQUIMICH,0.155805481,0.148560083,0.007245398
SMU,0,0.005528382,-0.005528382
CONCHA Y TORO,0,0.006016851,-0.006016851
CAP,0,0.006707996,-0.006707996
RIPLEY,0,0.00675976,-0.00675976
INVERSIONES AGUAS METROPOLITANAS,0,0.007543682,-0.007543682
SALFACORP,0,0.007821662,-0.007821662
ENGIE ENERGIA CHILE,0,0.009090036,-0.009090036
INVERSIONES LA CONSTRUCCION,0,0.010293061,-0.010293061
VAPORES,0,0.01096499,-0.01096499
AGUAS ANDINAS,0,0.014641037,-0.014641037
CENCOSUD SHOPPING,0,0.017078737,-0.017078737
MALL PLAZA,0.024975156,0.04423292,-0.019257765
ITAUCORP,0,0.021316306,-0.021316306
ENEL AMERICAS,0,0.022039495,-0.022039495
LATAM AIRLINES,0.06140649,0.083861766,-0.022455276
ENEL CHILE,0,0.026662473,-0.026662473
FALABELLA,0.045343507,0.074946679,-0.029603171
COPEC,0,0.035412644,-0.035412644
BANCO SANTANDER,0.029952034,0.066596364,-0.036644331
PARQUE ARAUCO,0,0.038304358,-0.038304358
BANCO CHILE,0.076485493,0.122506279,-0.046020786
CENCOSUD,0,0.048522293,-0.048522293
