COMPANIES (MRV),% PORTFOLIO,% IPSA,OVERWEIGHT/UNDERWEIGHT
ENTEL,0.08296084177360583,0.0093577047,0.07360313707360583
BCI,0.13279659888794196,0.0684027249,0.06439387398794195
QUINENCO,0.08180245618259357,0.0176588476,0.06414360858259358
ANTARCHILE,0.047269644483099026,0,0.047269644483099026
NORTEGRANDE,0.03898361050499505,0,0.03898361050499505
MERCADOLIBRE,0.03798485889477368,0,0.03798485889477368
COLBUN,0.03894464758262014,0.013716808,0.025227839582620138
ENEL GENERACION CHILE,0.024695620907125716,0,0.024695620907125716
FORUS,0.019341763782369233,0,0.019341763782369233
CCU,0.028256924696207157,0.0111924912,0.017064433496207156
CMPC,0.035162027626003275,0.0191068576,0.016055170026003276
EMBOTELLADORA ANDINA,0.03371118204085341,0.0228112919,0.010899890140853411
SOQUIMICH,0.14601509062082313,0.1396317558,0.006383334820823122
MALL PLAZA,0.0397848276164962,0.0399732465,-0.00018841888350379365
SMU,0,0.0056134578,-0.0056134578
CONCHA Y TORO,0,0.0063096606,-0.0063096606
RIPLEY,0,0.0065270365,-0.0065270365
CAP,0,0.0071442856,-0.0071442856
SALFACORP,0,0.0074606392,-0.0074606392
INVERSIONES AGUAS METROPOLITANAS,0,0.0076446444,-0.0076446444
ENGIE ENERGIA CHILE,0,0.0091550816,-0.0091550816
VAPORES,0,0.009290488,-0.009290488
INVERSIONES LA CONSTRUCCION,0,0.009619902,-0.009619902
AGUAS ANDINAS,0,0.0143359536,-0.0143359536
CENCOSUD SHOPPING,0,0.0171896069,-0.0171896069
ENEL AMERICAS,0,0.0214500194,-0.0214500194
ITAUCORP,0,0.0232492998,-0.0232492998
CENCOSUD,0.02755229018721597,0.050802945,-0.023250654812784034
ENEL CHILE,0,0.0251507925,-0.0251507925
PARQUE ARAUCO,0,0.0350191455,-0.0350191455
COPEC,0,0.0377634795,-0.0377634795
FALABELLA,0.034231207069532886,0.0747938776,-0.04056267053046712
LATAM AIRLINES,0.05568676678357098,0.0986488077,-0.042962040916429016
BANCO CHILE,0.07684353603066998,0.1238793688,-0.047035832769330016
BANCO SANTANDER,0.01797610432950289,0.0670997799,-0.04912367557049711
