COMPANIES (PIONERO),% PORTFOLIO,% IGPA Small Cap,OVERWEIGHT/UNDERWEIGHT
PUCOBRE,0.2054552549064912,0,0.2054552549064912
ENAEX,0.12220321222416822,0,0.12220321222416822
NORTEGRANDE,0.07394777142643218,0,0.07394777142643218
BLUMAR,0.057389092711490564,0,0.057389092711490564
SIGDO KOPPERS,0.05040533161215927,0,0.05040533161215927
EMBOTELLADORA ANDINA,0.04748247219105443,0,0.04748247219105443
BICECORP,0.044820665779004204,0,0.044820665779004204
WATTS,0.037689544728974476,0,0.037689544728974476
ALMENDRAL,0.048168410773511895,0.0170362707,0.031132140073511894
ECHEVERRIA IZQUIERDO,0.025774078210659575,0,0.025774078210659575
QUINENCO,0.014384523436771978,0,0.014384523436771978
MULTIEXPORT FOODS,0.014372453870094948,0,0.014372453870094948
ENTEL,0.01258547460364588,0,0.01258547460364588
FORUS,0.036911680600747086,0.0262595949,0.010652085700747087
TRICOT,0.009984840697945177,0,0.009984840697945177
ORO BLANCO,0.009470218967772191,0,0.009470218967772191
CRISTALERIAS CHILE,0.008857025704690538,0,0.008857025704690538
CAMANCHACA,0.0083624307952835,0,0.0083624307952835
SOCOVESA,0.007150949670763993,0,0.007150949670763993
FEPASA,0.005661203699725278,0,0.005661203699725278
EDELPA,0.003087655298915232,0,0.003087655298915232
CINTAC,0.001735229670900222,0,0.001735229670900222
SAAM,0.06570959676582022,0.0680855405,-0.002375943734179778
LA POLAR,0,0.0053850525,-0.0053850525
AAISA,0,0.0113051047,-0.0113051047
CLINICA LAS CONDES,0,0.0130817766,-0.0130817766
NATURGY,0,0.0141082498,-0.0141082498
INGEVEC,0,0.0141240984,-0.0141240984
INVERCAP,0,0.017310186,-0.017310186
SONDA,0,0.018019145,-0.018019145
EMBONOR,0.027221429104287917,0.0469614615,-0.019740032395712086
INDISA,0,0.0310570544,-0.0310570544
BANVIDA,0,0.0311098289,-0.0311098289
NUAM,0,0.0432207963,-0.0432207963
INVERSIONES LA CONSTRUCCION,0.04549243547713545,0.0921845459,-0.04669211042286455
BESALCO,0,0.0498095862,-0.0498095862
SMU,0,0.0557041508,-0.0557041508
SALFACORP,0.015677017071554375,0.0721779334,-0.05650091632844563
RIPLEY,0,0.0633279862,-0.0633279862
CONCHA Y TORO,0,0.0643908401,-0.0643908401
INVERSIONES AGUAS METROPOLITANAS,0,0.0733302101,-0.0733302101
CAP,0,0.0771589123,-0.0771589123
ENGIE ENERGIA CHILE,0,0.094851675,-0.094851675
