COMPANIES (ORANGE),% PORTFOLIO,% FTSE Orange,OVERWEIGHT/UNDERWEIGHT
QUINENCO,0.08270711971011863,0.0199996135288688,0.06270750618124983
BCI,0.13387467186204,0.0744429890241923,0.059431682837847694
ENTEL,0.055737020353534325,0,0.055737020353534325
MERCADOLIBRE,0.04756475655431829,0,0.04756475655431829
ANTARCHILE,0.047214821994345665,0,0.047214821994345665
NORTEGRANDE,0.0380853011147988,0,0.0380853011147988
ENEL GENERACION CHILE,0.027330315094597466,0,0.027330315094597466
COLBUN,0.04202733074852816,0.0168110473051724,0.025216283443355757
FORUS,0.02022162474270563,0,0.02022162474270563
CMPC,0.042153530235765686,0.0229313362355699,0.019222194000195786
CCU,0.028217329297961127,0.0118739415860498,0.01634338771191133
ALMENDRAL,0.013587414466791075,0,0.013587414466791075
EMBOTELLADORA ANDINA,0.03298028307814887,0.027642306462408,0.005337976615740869
SOQUIMICH,0.14948365454904694,0.150566882754935,-0.0010832282058880482
VAPORES,0,0.0096885918855333,-0.0096885918855333
AGUAS ANDINAS,0,0.0152849788816217,-0.0152849788816217
CENCOSUD SHOPPING,0,0.0195664402260953,-0.0195664402260953
ITAUCORP,0,0.0197840916208119,-0.0197840916208119
MALL PLAZA,0.02981220711983106,0.0514507094801798,-0.021638502360348744
ENEL AMERICAS,0,0.0238682034519071,-0.0238682034519071
ENEL CHILE,0,0.0290021545960033,-0.0290021545960033
FALABELLA,0.04544864381973562,0.0867354410743579,-0.04128679725462229
COPEC,0,0.0453622782829027,-0.0453622782829027
BANCO CHILE,0.07655076968242322,0.128234490794336,-0.05168372111191277
LATAM AIRLINES,0.06576050257518751,0.117789794588398,-0.05202929201321049
CENCOSUD,0.001636635974737618,0.0554822035743871,-0.05384556759964948
BANCO SANTANDER,0.019606067025384262,0.0734825046462705,-0.05387643762088624
