COMPANIES (MERCER),% PORTFOLIO,% M1LAIM,OVERWEIGHT/UNDERWEIGHT
MULTIPLAN,0.039451371064240445,0.0022557849,0.03719558616424044
GRUPO MEXICO,0.07171940021469086,0.0390576118,0.03266178841469086
MERCADOLIBRE,0.025849894354058458,0,0.025849894354058458
GENTERA,0.028604223701018245,0.0031810939,0.025423129801018244
B3,0.04175038082730723,0.0181117683,0.023638612527307232
MILLS ESTRUTURAS,0.020779342648642615,0,0.020779342648642615
BANCO BTG PACTUAL,0.034595449457077945,0.0141065193,0.020488930157077943
CREDICORP,0.04075552249900646,0.0230234085,0.017732113999006458
ITAU,0.06531197466533736,0.049345253,0.015966721665337365
DIRECIONAL ENGENHARIA,0.016889839783731278,0.0010608158,0.015829023983731278
GRUPO FINANCIERO BANORTE,0.04358424010392512,0.0284733955,0.015110844603925123
INVERSIONES LA CONSTRUCCION,0.015394470312808842,0.0007988688,0.014595601512808842
LOCAWEB,0.014579293725489611,0,0.014579293725489611
EQUATORIAL ENERGIA,0.022624957143760654,0.0096496828,0.012975274343760654
CYRELA,0.013462809109358497,0.0015859694,0.011876839709358497
VISTA OIL & GAS,0.011610138293688623,0,0.011610138293688623
FLEURY,0.010963015927428944,0.0007957254,0.010167290527428943
VIVARA,0.010085880584492777,0.0007774675,0.009308413084492777
AXIA ENERGIA,0.03062674021342835,0.0215138344,0.00911290581342835
ITAUCORP,0.010816104236548201,0.0017837544,0.0090323498365482
DLOCAL,0.00876185195619852,0,0.00876185195619852
PETRO RIO,0.017647380005431864,0.0089146011,0.008732778905431863
REDE DOR SAO LUIZ,0.013650987967557971,0.0062038334,0.007447154567557971
KIMBERLY-CLARK MEXICO,0.011039439810787923,0.0036880589,0.007351380910787923
COSAN,0.008817884798840863,0.0015561182,0.007261766598840863
BRAVA ENERGIA,0.008317520475440075,0.0013309474,0.006986573075440075
CCU,0.007041507637278505,0.0008584397,0.006183067937278505
INTERCORP,0.007592407498031532,0.0015953755,0.0059970319980315314
BUENAVENTURA,0.012779557645969684,0.0070958824,0.005683675245969685
OPERADORA SITES MEXICANOS,0.005528468322487638,0,0.005528468322487638
AGI INC,0.0051729780159271935,0,0.0051729780159271935
NUBANK,0.054932400004437935,0.0500535964,0.004878803604437938
GRUPO AEROPORTUARIO SURESTE,0.011135522888246506,0.0063840274,0.004751495488246506
GRUPO CEMENTOS CHIHUAHUA,0.006651814276818156,0.0019351867,0.004716627576818156
WAL-MART MEXICO,0.021248474526904825,0.0166049807,0.004643493826904824
SOQUIMICH,0.015376901053161779,0.0107372738,0.004639627253161778
M DIAS BRANCO,0.004112101611526259,0.0003048115,0.003807290111526259
VULCABRAS AZALEIA,0.003945874215234765,0.0002921469,0.0036537273152347652
GRUPO SPORTS,0.0032847798008325897,0,0.0032847798008325897
RUMO LOGISTICA,0.007218840190387105,0.0039923448,0.003226495390387105
COGNA EDUCACAO,0.004423777447328028,0.0013880964,0.003035681047328028
FERREYROS,0.0025852943895725124,0,0.0025852943895725124
ENTEL,0.0030449349575342077,0.0006629492,0.0023819857575342078
C&A MODAS,0.0025753502895981897,0.0005364314,0.0020389188895981896
GRUPO TRAXION,0.001794040819340495,0,0.001794040819340495
PARQUE ARAUCO,0.004399416503251471,0.0031736584,0.0012257581032514707
MEGACABLE,0.0026963584906018064,0.0018013484,0.0008950100906018063
TOTVS,0.004345668256058762,0.0039219067,0.00042376155605876233
ALSEA,0.0021992263190395442,0.0018430598,0.0003561665190395442
LOCALIZA RENT A CAR,0.0003240361664068054,0,0.0003240361664068054
BANCO CHILE,0.009409380796793654,0.0092227881,0.00018659269679365334
BANCO DO BRASIL,0.008939424320729458,0.008901918,3.750632072945827e-05
PROCAPS,7.850510104792097e-06,0,7.850510104792097e-06
MARCOPOLO,0.0012190877524182093,0.0012574693,-3.838154758179077e-05
AFYA,0,0.0002006775,-0.0002006775
VTEX,0,0.0002054013,-0.0002054013
LOCALIZA,0.00876199512000241,0.0089743418,-0.0002123466799975899
INTELBRAS,0,0.0002647364,-0.0002647364
FERBASA,0,0.000268521,-0.000268521
VINCI PARTNERS INVESTMENTS,0,0.0002904175,-0.0002904175
GRENDENE,0,0.0003093909,-0.0003093909
PETRORECONCAVO,0,0.0003125905,-0.0003125905
FRAS-LE,0,0.0003293515,-0.0003293515
BRASKEM,0,0.000349673,-0.000349673
SIMPAR,0,0.0003713203,-0.0003713203
MAHLE-METAL LEVE,0,0.0003765462,-0.0003765462
TRES TENTOS AGROINDUSTRIAL,0,0.0004104963,-0.0004104963
VAMOS,0,0.0004112346,-0.0004112346
BANCO ABC BRASIL,0,0.0004395661,-0.0004395661
MINERVA,0,0.0004512935,-0.0004512935
SAO PAULO ALPARGATAS,0,0.0004565244,-0.0004565244
MINEROS,0,0.0004784642,-0.0004784642
DEXCO,0,0.0004785052,-0.0004785052
HIDROVIAS DO BRASIL,0,0.000493979,-0.000493979
DANHOS,0,0.0005017626,-0.0005017626
RIPLEY,0,0.0005256979,-0.0005256979
INVERSIONES AGUAS METROPOLITANAS,0,0.0005281664,-0.0005281664
VALE,0.061188872096462926,0.0617209576,-0.0005320855035370747
SAO MARTINHO,0,0.0005378377,-0.0005378377
CAP,0,0.0005387306,-0.0005387306
SMU,0,0.0005511065,-0.0005511065
LACOMER,0,0.0005580816,-0.0005580816
CONCHA Y TORO,0,0.0005841247,-0.0005841247
FALABELLA,0.003976252618388345,0.0045747239,-0.0005984712816116547
GRUPO MATEUS,0,0.0006177444,-0.0006177444
SLC AGRICOLA,0,0.0006316584,-0.0006316584
HAPVIDA,0,0.0006584514,-0.0006584514
USIMINAS,0,0.0006696252,-0.0006696252
AZZAS 2154,0,0.000674841,-0.000674841
IRB BRASIL RESSEGUROS,0,0.0006778292,-0.0006778292
ORIZON VALORIZACAO DE RESIDUOS,0,0.0006863801,-0.0006863801
MAGAZINE LUIZA,0,0.0006969447,-0.0006969447
ECORODOVIAS,0,0.0007164122,-0.0007164122
BANCO EST. RIO GRANDE DO SUL,0,0.0007229942,-0.0007229942
UNIPAR PARTICIPACOES,0,0.0007283314,-0.0007283314
GENOMMA LAB,0,0.0007307489,-0.0007307489
ALPEK,0,0.0007437373,-0.0007437373
ODONTOPREV,0,0.0007676274,-0.0007676274
MRV ENGENHARIA,0,0.0007751012,-0.0007751012
ENGIE ENERGIA CHILE,0,0.0007987157,-0.0007987157
VAPORES,0,0.00082256,-0.00082256
AUREN ENERGIA,0,0.0008376914,-0.0008376914
VOLARIS,0,0.0008501667,-0.0008501667
PATRIA INVESTMENTS,0,0.0008599233,-0.0008599233
RAIA DROGASIL,0.00546793425560039,0.006332857,-0.0008649227443996103
SIGMA LITHIUM,0,0.0008689902,-0.0008689902
BOLSA MEXICANA,0,0.0009303298,-0.0009303298
CSN,0,0.0009882795,-0.0009882795
ORBIA,0,0.0010350566,-0.0010350566
AGUAS ANDINAS,0,0.0010876133,-0.0010876133
CURY CONSTRUTORA E INCORPORADORA,0,0.0010895711,-0.0010895711
ALUPAR,0,0.0011304375,-0.0011304375
IGUATEMI,0,0.0012156468,-0.0012156468
BRADESPAR,0,0.0012170068,-0.0012170068
COLBUN,0,0.0012928396,-0.0012928396
TELEVISA,0,0.0013417788,-0.0013417788
GRUPO ARGOS,0,0.0013957279,-0.0013957279
HYPERMARCAS,0,0.0014049036,-0.0014049036
SMARTFIT,0,0.0015542562,-0.0015542562
NATURA,0,0.0015637972,-0.0015637972
TRANSMISSORA ALIANCA DE ENERGIA ELETRICA,0,0.0015751964,-0.0015751964
GPS,0,0.0015916875,-0.0015916875
CMPC,0,0.0016395831,-0.0016395831
PAGSEGURO DIGITAL,0,0.001742629,-0.001742629
EMBOTELLADORA ANDINA,0,0.001794559,-0.001794559
ENEL AMERICAS,0,0.0018225171,-0.0018225171
ENGIE BRASIL ENERGIA,0,0.0018478961,-0.0018478961
REGIONAL,0.0003959039942660232,0.0022776707,-0.001881766705733977
QUALITAS CONTROLADORA,0,0.0019231621,-0.0019231621
PORTO SEGURO,0,0.001950222,-0.001950222
MACQUARIE MEXICO,0,0.001966009,-0.001966009
CIA DE SANEAMENTO DO PARANA,0,0.0019781572,-0.0019781572
CIA SANEAMENTO MINAS GERAIS,0,0.0019980934,-0.0019980934
CEMENTOS ARGOS,0,0.0020138347,-0.0020138347
CAIXA SEGURIDADE PARTICIPACOES,0,0.002050751,-0.002050751
INTER & CO,0,0.0020766363,-0.0020766363
GRUPO COMERCIAL CHEDRAUI,0,0.0021250261,-0.0021250261
ALLOS SA,0,0.0022166327,-0.0022166327
CPFL ENERGIA,0,0.0022292747,-0.0022292747
ENEL CHILE,0,0.0022780265,-0.0022780265
FOMENTO ECONOMICO MEXICANO,0.016709397193813293,0.0190250146,-0.0023156174061867082
SENDAS DISTRIBUIDORA,0,0.0024286806,-0.0024286806
VIBRA ENERGIA,0.0037416083890625773,0.0062008452,-0.0024592368109374227
GRUPO AEROPORTUARIO CENTRO NORTE,0.0017931898302312268,0.0043079152,-0.002514725369768773
BANCO DEL BAJIO,0,0.0025502956,-0.0025502956
MBRF GLOBAL FOODS,0,0.0025703973,-0.0025703973
GRUMA,0,0.0027657999,-0.0027657999
AURA MINERALS,0,0.002780033,-0.002780033
LOJAS RENNER,0,0.0030138098,-0.0030138098
CIA PARANAENSE DE ENERGIA,0,0.003074471,-0.003074471
PROMOTORA Y OPERADORA DE INF,0,0.0030882617,-0.0030882617
COPEC,0,0.0031657412,-0.0031657412
ENERGISA,0,0.0031718206,-0.0031718206
INTERCONEXION ELECTRICA,0,0.0031968739,-0.0031968739
VESTA,0,0.0032054323,-0.0032054323
MOTIVA INFRAESTRUTURA,0,0.0032308839,-0.0032308839
KLABIN,0,0.0032355896,-0.0032355896
MALL PLAZA,0,0.0035249643,-0.0035249643
ULTRAPAR,0,0.0035952125,-0.0035952125
GRUPO INV. SURAMERICANA,2.2342149662370632e-05,0.0036246727,-0.0036023305503376296
STONECO,0,0.0036911493,-0.0036911493
GRUPO FINANCIERO INBURSA,0,0.0038033283,-0.0038033283
CENCOSUD,0,0.0038098621,-0.0038098621
CIA ENERGETICA MINAS GERAIS,0,0.0039762301,-0.0039762301
ENEVA,0,0.0039819264,-0.0039819264
ALFA,0,0.0040034855,-0.0040034855
GRUPO CARSO,0,0.0043603119,-0.0043603119
TIM PARTICIPACOES,0,0.004541692,-0.004541692
BIMBO,0,0.0046592047,-0.0046592047
BB SEGURIDADE,0,0.0046640464,-0.0046640464
FIBRA UNO,0,0.0048905143,-0.0048905143
LATAM AIRLINES,0.0037613436640388854,0.008742823,-0.004981479335961115
PROLOGIS PROPERTY MEXICO,0,0.0052518679,-0.0052518679
BANCO SANTANDER,0,0.0055756939,-0.0055756939
XP,0.002912385359839677,0.008540569,-0.0056281836401603225
COCA-COLA FEMSA,0,0.0057576803,-0.0057576803
BCI,0,0.0058930972,-0.0058930972
ARCA CONTINENTAL,0,0.0061276538,-0.0061276538
TELEFONICA BRASIL,0,0.006691852,-0.006691852
GERDAU,0,0.0067293296,-0.0067293296
JBS,0,0.0067748967,-0.0067748967
SUZANO PAPEL,0,0.0077475413,-0.0077475413
GRUPO AEROPORTUARIO DEL PACIFICO,0,0.0099473616,-0.0099473616
INDUSTRIAS PENOLES,0,0.0124462493,-0.0124462493
EMBRAER,0,0.0124905012,-0.0124905012
BANCOLOMBIA,0,0.012994869499999999,-0.012994869499999999
CIA. SANEAMENTO BASICO EST. SP,0,0.0145655641,-0.0145655641
AMBEV,0,0.014780731,-0.014780731
WEG,0,0.0160314937,-0.0160314937
ITAUSA,0,0.0161428654,-0.0161428654
BANCO BRADESCO,0.01016796004064672,0.0271039232,-0.01693596315935328
CEMEX,0,0.0187105183,-0.0187105183
AMERICA MOVIL,0.004109513937821754,0.0232528762,-0.01914336226217825
SOUTHERN COPPER,0,0.0195442475,-0.0195442475
PETROBRAS,0.025315712763843225,0.0655307623,-0.040215049536156774
