COMPANIES (ORANGE),% PORTFOLIO,% FTSE Orange,OVERWEIGHT/UNDERWEIGHT
QUINENCO,0.0836590366879709,0.019989184164857,0.0636698525231139
ENTEL,0.058993561046649934,0,0.058993561046649934
BCI,0.1332340385115732,0.0744887866865441,0.0587452518250291
MERCADOLIBRE,0.04992914636804431,0,0.04992914636804431
ANTARCHILE,0.04736549768926018,0,0.04736549768926018
NORTEGRANDE,0.03529082163069968,0,0.03529082163069968
ENEL GENERACION CHILE,0.027309533101201183,0,0.027309533101201183
COLBUN,0.04081579471343207,0.0164150248317562,0.024400769881675874
FORUS,0.02007369413161482,0,0.02007369413161482
CMPC,0.04342735368009954,0.023752487695776,0.019674865984323543
CCU,0.029031139150866633,0.0122826875315612,0.01674845161930543
ALMENDRAL,0.01414860501774029,0,0.01414860501774029
EMBOTELLADORA ANDINA,0.03469537058956167,0.0292376022772074,0.005457768312354273
SOQUIMICH,0.1396655460299561,0.141441013885087,-0.0017754678551309133
VAPORES,0,0.00977955771593098,-0.00977955771593098
AGUAS ANDINAS,0,0.0151134737388826,-0.0151134737388826
CENCOSUD SHOPPING,0,0.0195168166436858,-0.0195168166436858
MALL PLAZA,0.028364696810887626,0.049218197964104,-0.020853501153216377
ITAUCORP,0,0.0214767791701302,-0.0214767791701302
ENEL AMERICAS,0,0.0234151089603403,-0.0234151089603403
ENEL CHILE,0,0.0283759419269625,-0.0283759419269625
FALABELLA,0.042397872728210294,0.0813523409913121,-0.0389544682631018
COPEC,0,0.0456382616263373,-0.0456382616263373
CENCOSUD,0.0074195850948854366,0.0586575809505593,-0.05123799585567386
BANCO CHILE,0.07990280058876628,0.134576000248312,-0.05467319965954573
LATAM AIRLINES,0.06409197948486844,0.119214354883863,-0.05512237539899456
BANCO SANTANDER,0.02018392694371142,0.0760587981067917,-0.05587487116308028
