COMPANIES (GLORY),% PORTFOLIO,% GDUEEGFL,OVERWEIGHT/UNDERWEIGHT
MULTIPLAN,0.03631702882934721,0,0.03631702882934721
GENTERA,0.030362381422455918,0,0.030362381422455918
MERCADOLIBRE,0.02649530662177395,0,0.02649530662177395
B3,0.046656200953481206,0.0205126643,0.026143536653481205
GRUPO MEXICO,0.06956493095592789,0.0442350887,0.025329842255927888
VISTA OIL & GAS,0.01628780234145769,0,0.01628780234145769
DIRECIONAL ENGENHARIA,0.01517871404286001,0,0.01517871404286001
BANCO BTG PACTUAL,0.031014305941302535,0.0159764795,0.015037826441302533
ITAU,0.07049306978120234,0.0558864596,0.014606610181202344
EQUATORIAL ENERGIA,0.025133710921191123,0.0109288447,0.014204866221191123
LOCAWEB,0.014178687637121589,0,0.014178687637121589
ITAUCORP,0.013446628029239462,0,0.013446628029239462
GRUPO FINANCIERO BANORTE,0.04512592774211064,0.0322478288,0.012878098942110637
CREDICORP,0.0385465207388267,0.0260753914,0.0124711293388267
PETRO RIO,0.021225527153714042,0.0100963206,0.011129206553714042
M DIAS BRANCO,0.010001031775334249,0,0.010001031775334249
VIVARA,0.009888783454646895,0,0.009888783454646895
CYRELA,0.009419087079631893,0,0.009419087079631893
MILLS ESTRUTURAS,0.009107402125866207,0,0.009107402125866207
DLOCAL,0.00905835073182076,0,0.00905835073182076
COSAN,0.009032337296053862,0,0.009032337296053862
BRAVA ENERGIA,0.008099403127649209,0,0.008099403127649209
LOJAS RENNER,0.008008746046050199,0,0.008008746046050199
LOCALIZA,0.018054379225489758,0.0101639806,0.007890398625489757
PARQUE ARAUCO,0.007173848147540816,0,0.007173848147540816
INVERSIONES LA CONSTRUCCION,0.006905362533540931,0,0.006905362533540931
GRUPO CEMENTOS CHIHUAHUA,0.006903455781728854,0,0.006903455781728854
AXIA ENERGIA,0.030970707879096712,0.0243657082,0.006604999679096713
AGI INC,0.006221849812707411,0,0.006221849812707411
FLEURY,0.006108401663621029,0,0.006108401663621029
BUENAVENTURA,0.013041986578450565,0.0080365126,0.005005473978450565
VULCABRAS AZALEIA,0.004774296747303983,0,0.004774296747303983
GRUPO AEROPORTUARIO SURESTE,0.011874286622597787,0.0072302941,0.004643992522597787
COGNA EDUCACAO,0.003991598590290264,0,0.003991598590290264
RUMO LOGISTICA,0.008307084175429526,0.00452157,0.003785514175429526
INTERCORP,0.003784943907955439,0,0.003784943907955439
MINSUR,0.003662215980717599,0,0.003662215980717599
GRUPO TRAXION,0.003636279788560811,0,0.003636279788560811
ENTEL,0.0036315396710023397,0,0.0036315396710023397
GRUPO SPORTS,0.003563045498240293,0,0.003563045498240293
C&A MODAS,0.003252725224556885,0,0.003252725224556885
OPERADORA SITES MEXICANOS,0.0030779262350149766,0,0.0030779262350149766
WAL-MART MEXICO,0.0218796044127853,0.0188061369,0.0030734675127853
MEGACABLE,0.0028078154113333133,0,0.0028078154113333133
KIMBERLY-CLARK MEXICO,0.0069077083054440895,0.0041769479,0.0027307604054440894
SOQUIMICH,0.014746425051747433,0.0121606068,0.002585818251747434
CCU,0.0017369259858191829,0,0.0017369259858191829
NUBANK,0.0579346772914112,0.056688701,0.0012459762914111966
LOCALIZA RENT A CAR,0.0006677231059509373,0,0.0006677231059509373
MARCOPOLO,0.0006650051157570246,0,0.0006650051157570246
REDE DOR SAO LUIZ,0.007286614485122107,0.0070262136,0.0002604008851221067
REGIONAL,0.00018567213630088687,0,0.00018567213630088687
GRUPO INV. SURAMERICANA,1.6931175404830374e-05,0,1.6931175404830374e-05
PROCAPS,1.0209821124538454e-05,0,1.0209821124538454e-05
ALSEA,4.24203034096741e-06,0,4.24203034096741e-06
