COMPANIES (MRV),% PORTFOLIO,% IPSA,OVERWEIGHT/UNDERWEIGHT
ENTEL,0.0786327479669987,0.0088183088,0.0698144391669987
BCI,0.1427955670634257,0.0731285293,0.0696670377634257
QUINENCO,0.0844069898724611,0.0181159074,0.0662910824724611
ANTARCHILE,0.04689670656685115,0,0.04689670656685115
MERCADOLIBRE,0.039217836350230545,0,0.039217836350230545
NORTEGRANDE,0.037835355697852485,0,0.037835355697852485
COLBUN,0.0407173890861297,0.0142584023,0.0264589867861297
ENEL GENERACION CHILE,0.02597347365099397,0,0.02597347365099397
FORUS,0.02058489760771353,0,0.02058489760771353
CMPC,0.039577695387759515,0.0213821574,0.018195537987759514
CCU,0.02741062503668816,0.0107945979,0.01661602713668816
EMBOTELLADORA ANDINA,0.034717362025220175,0.0233565279,0.011360834125220175
SOQUIMICH,0.1312132213643632,0.1242272198,0.006986001564363201
SMU,0,0.0057685823,-0.0057685823
CONCHA Y TORO,0,0.0063248796,-0.0063248796
MALL PLAZA,0.03379740570978927,0.0401530082,-0.006355602490210728
RIPLEY,0,0.0068373229,-0.0068373229
CAP,0,0.0072246554,-0.0072246554
INVERSIONES AGUAS METROPOLITANAS,0,0.0077471585,-0.0077471585
SALFACORP,0,0.0081679081,-0.0081679081
ENGIE ENERGIA CHILE,0,0.0088082245,-0.0088082245
VAPORES,0,0.0093782651,-0.0093782651
INVERSIONES LA CONSTRUCCION,0,0.0099771005,-0.0099771005
AGUAS ANDINAS,0,0.0151343982,-0.0151343982
CENCOSUD SHOPPING,0,0.0171565909,-0.0171565909
ENEL AMERICAS,0,0.0207904543,-0.0207904543
ITAUCORP,0,0.0236420511,-0.0236420511
ENEL CHILE,0,0.0250253892,-0.0250253892
CENCOSUD,0.02868530629826524,0.0539090484,-0.02522374210173476
PARQUE ARAUCO,0,0.034271307,-0.034271307
COPEC,0,0.0367579694,-0.0367579694
FALABELLA,0.03543034466950232,0.0769670562,-0.04153671153049768
LATAM AIRLINES,0.05657704157139847,0.0996473458,-0.04307030422860152
BANCO CHILE,0.07697796838699301,0.1233797117,-0.04640174331300699
BANCO SANTANDER,0.018552065687363888,0.0688499219,-0.05029785621263611
