COMPANIES (MERCER),% PORTFOLIO,% M1LAIM,OVERWEIGHT/UNDERWEIGHT
MULTIPLAN,0.03731176585555888,0.0021455895,0.035166176355558874
GRUPO MEXICO,0.06661955812460832,0.0363514572,0.03026810092460832
MERCADOLIBRE,0.028964470741890427,0,0.028964470741890427
GENTERA,0.030484522237954195,0.003395516,0.027089006237954193
B3,0.041121475093191244,0.0179404916,0.023180983493191244
MILLS ESTRUTURAS,0.02054437323635011,0,0.02054437323635011
BANCO BTG PACTUAL,0.03424171837084693,0.0140417644,0.020199953970846927
CREDICORP,0.04064282949404025,0.0230904464,0.017552383094040253
ITAU,0.06702321886225954,0.0509264131,0.01609680576225954
DIRECIONAL ENGENHARIA,0.017034942300178116,0.00107602,0.015958922300178115
INVERSIONES LA CONSTRUCCION,0.015265549027782724,0.0007966882,0.014468860827782724
LOCAWEB,0.014295919266863742,0,0.014295919266863742
VIVARA,0.014993890803443995,0.0007526576,0.014241233203443995
EQUATORIAL ENERGIA,0.021852723082411037,0.0093733768,0.012479346282411038
CYRELA,0.013644546367642781,0.001618132,0.012026414367642782
VISTA OIL & GAS,0.01170393636757952,0,0.01170393636757952
GRUPO FINANCIERO BANORTE,0.040407472110159756,0.0288403494,0.011567122710159757
FLEURY,0.011357727766579588,0.0008290674,0.010528660366579588
ITAUCORP,0.011678088790971207,0.0019368733,0.009741215490971206
DLOCAL,0.009452946511078144,0,0.009452946511078144
PETRO RIO,0.017375882228712086,0.0088274199,0.008548462328712087
REDE DOR SAO LUIZ,0.014893683515694858,0.00680712,0.008086563515694858
AXIA ENERGIA,0.028494747861964115,0.021110929,0.007383818861964115
COSAN,0.008926676691022081,0.0015842846,0.007342392091022081
KIMBERLY-CLARK MEXICO,0.010766061650483836,0.0036223415,0.007143720150483836
BRAVA ENERGIA,0.008202045558654036,0.0013199407,0.006882104858654036
CCU,0.007244560135425592,0.0008882218,0.006356338335425592
INTERCORP,0.0078050330797262415,0.0016493901,0.006155642979726241
OPERADORA SITES MEXICANOS,0.006118434005825573,0,0.006118434005825573
NUBANK,0.06339730715227201,0.0580955363,0.005301770852272014
AGI INC,0.0052281265195883286,0,0.0052281265195883286
BUENAVENTURA,0.011085341327300676,0.0061902031,0.004895138227300677
GRUPO CEMENTOS CHIHUAHUA,0.006707668256572298,0.0019650053,0.004742662956572299
WAL-MART MEXICO,0.02178486019703832,0.0171613162,0.004623543997038321
M DIAS BRANCO,0.0043696938709643016,0.0003257495,0.004043944370964302
VULCABRAS AZALEIA,0.003876050358248192,0.0002886109,0.0035874394582481924
GRUPO AEROPORTUARIO SURESTE,0.009892576510734403,0.0066534901,0.0032390864107344026
GRUPO SPORTS,0.0032371670986589326,0,0.0032371670986589326
RUMO LOGISTICA,0.007277336056468841,0.0040476065,0.0032297295564688404
