COMPANIES (ORANGE),% PORTFOLIO,% FTSE Orange,OVERWEIGHT/UNDERWEIGHT
ENTEL,0.06383959782282947,0,0.06383959782282947
QUINENCO,0.08194426417516393,0.0196888456010116,0.06225541857415233
BCI,0.1378775795406372,0.0774604558866407,0.0604171236539965
ANTARCHILE,0.04741244020075375,0,0.04741244020075375
NORTEGRANDE,0.03944184179906919,0,0.03944184179906919
MERCADOLIBRE,0.03488752703686553,0,0.03488752703686553
ENEL GENERACION CHILE,0.0256027034417144,0,0.0256027034417144
COLBUN,0.04085649807481917,0.0160317539415067,0.02482474413331247
FORUS,0.020390071189977235,0,0.020390071189977235
CCU,0.028866212329288394,0.0123838938445447,0.016482318484743692
ALMENDRAL,0.015126833298663735,0,0.015126833298663735
CMPC,0.0366843580569196,0.0222230276566221,0.014461330400297501
EMBOTELLADORA ANDINA,0.03380149648157016,0.028883129251379,0.004918367230191158
MALL PLAZA,0.04013403115115179,0.0458719860990669,-0.005737954947915104
SOQUIMICH,0.13988494791287898,0.146293502093185,-0.006408554180306031
VAPORES,0,0.00940174473044744,-0.00940174473044744
AGUAS ANDINAS,0,0.0152662352018318,-0.0152662352018318
CENCOSUD SHOPPING,0,0.0207276180370725,-0.0207276180370725
ITAUCORP,0,0.0215664929724347,-0.0215664929724347
ENEL AMERICAS,0,0.024015376750937,-0.024015376750937
ENEL CHILE,0,0.0281808404330366,-0.0281808404330366
CENCOSUD,0.026911765786119892,0.0569591472107166,-0.030047381424596706
COPEC,0,0.044916575406009,-0.044916575406009
FALABELLA,0.03558703596308302,0.0869240929229914,-0.05133705695990838
BANCO CHILE,0.0773398692389162,0.131347367184014,-0.05400749794509779
BANCO SANTANDER,0.017218840483634732,0.0721149473866311,-0.05489610690299637
LATAM AIRLINES,0.05619208601594356,0.119742967389921,-0.06355088137397744
