COMPANIES (GLORY),% PORTFOLIO,% GDUEEGFL,OVERWEIGHT/UNDERWEIGHT
COCA-COLA FEMSA,0,0.0066240569,-0.0066240569
BANCO SANTANDER,0,0.0069185397,-0.0069185397
ARCA CONTINENTAL,0,0.007210577,-0.007210577
JBS,0,0.007275448,-0.007275448
BCI,0,0.0077547116,-0.0077547116
SUZANO PAPEL,0,0.0084816431,-0.0084816431
AMBEV,0.004235554118662083,0.015724695,-0.011489140881337918
LATAM AIRLINES,0,0.0115632502,-0.0115632502
GRUPO AEROPORTUARIO DEL PACIFICO,0,0.0132056615,-0.0132056615
VALE,0.051045768842939813,0.0649131321,-0.013867363257060193
INDUSTRIAS PENOLES,0,0.0139876742,-0.0139876742
CIA. SANEAMENTO BASICO EST. SP,0,0.0154989307,-0.0154989307
EMBRAER,0,0.0161311411,-0.0161311411
BANCOLOMBIA,0,0.0167649482,-0.0167649482
ITAUSA,0,0.0170592475,-0.0170592475
WEG,0,0.0185172972,-0.0185172972
AMERICA MOVIL,0.004735926491977674,0.0236207343,-0.018884807808022326
SOUTHERN COPPER,0,0.0196823588,-0.0196823588
BANCO BRADESCO,0.009245199123673971,0.0295013797,-0.020256180576326027
CEMEX,0,0.0241568956,-0.0241568956
PETROBRAS,0.02274749360370462,0.06195952390000001,-0.039212030296295386
