COMPANIES (GLORY),% PORTFOLIO,% GDUEEGFL,OVERWEIGHT/UNDERWEIGHT
MULTIPLAN,0.03404769182934497,0,0.03404769182934497
GENTERA,0.02994765006339788,0,0.02994765006339788
B3,0.04457889575185908,0.0187996943,0.025779201451859083
MERCADOLIBRE,0.023900451670096266,0,0.023900451670096266
GRUPO MEXICO,0.06252259998871575,0.0403112588,0.022211341188715747
CREDICORP,0.04762769928266477,0.0278569306,0.01977076868266477
LOCAWEB,0.018609608391465172,0,0.018609608391465172
ITAUCORP,0.015859047613231765,0,0.015859047613231765
BANCO BTG PACTUAL,0.030406798403914435,0.0158819016,0.014524896803914434
VIVARA,0.01399024356809696,0,0.01399024356809696
EQUATORIAL ENERGIA,0.024468279491793185,0.0107878241,0.013680455391793186
ITAU,0.0686900821294101,0.0552162611,0.013473821029410096
DIRECIONAL ENGENHARIA,0.012998267375208525,0,0.012998267375208525
GRUPO FINANCIERO BANORTE,0.04605368653941326,0.03336964,0.012684046539413261
VISTA OIL & GAS,0.011713549713265721,0,0.011713549713265721
M DIAS BRANCO,0.01063168504805022,0,0.01063168504805022
PETRO RIO,0.01989862749845482,0.0095971119,0.010301515598454821
DLOCAL,0.010188115542511353,0,0.010188115542511353
MILLS ESTRUTURAS,0.009365817620850385,0,0.009365817620850385
CYRELA,0.009176072848212417,0,0.009176072848212417
COSAN,0.00848785487820342,0,0.00848785487820342
BRAVA ENERGIA,0.00822745174695136,0,0.00822745174695136
INVERSIONES LA CONSTRUCCION,0.0076989423743212175,0,0.0076989423743212175
LOJAS RENNER,0.007688706975053979,0,0.007688706975053979
LOCALIZA,0.01724300690251652,0.009842537,0.007400469902516521
FLEURY,0.006780403937742023,0,0.006780403937742023
PARQUE ARAUCO,0.006659160815318961,0,0.006659160815318961
GRUPO CEMENTOS CHIHUAHUA,0.00661139885339677,0,0.00661139885339677
WAL-MART MEXICO,0.02533066508711026,0.0192469495,0.00608371558711026
COGNA EDUCACAO,0.005460029073137506,0,0.005460029073137506
GRUPO MATEUS,0.004979595406701736,0,0.004979595406701736
