COMPANIES (ORANGE),% PORTFOLIO,% FTSE Orange,OVERWEIGHT/UNDERWEIGHT
ENTEL,0.067703428045139,0,0.067703428045139
QUINENCO,0.08172440624809144,0.0196640749955298,0.062060331252561635
BCI,0.13320109424664112,0.0749400959439136,0.05826099830272752
ANTARCHILE,0.047339757185616144,0,0.047339757185616144
NORTEGRANDE,0.039795394170438064,0,0.039795394170438064
MERCADOLIBRE,0.03583012426396989,0,0.03583012426396989
ENEL GENERACION CHILE,0.02485507549437257,0,0.02485507549437257
COLBUN,0.0398583095038125,0.0156624186653216,0.0241958908384909
FORUS,0.019622799846495193,0,0.019622799846495193
CCU,0.028954527557467646,0.0124395295398279,0.016514998017639747
ALMENDRAL,0.014655617327028332,0,0.014655617327028332
CMPC,0.03516460858591789,0.0213328139069105,0.01383179467900739
EMBOTELLADORA ANDINA,0.033299167694896485,0.0284945464390292,0.004804621255867284
MALL PLAZA,0.03978820777902361,0.0455416951719143,-0.005753487392890694
SOQUIMICH,0.14593130170530302,0.152834908666609,-0.006903606961305986
VAPORES,0,0.00949056812618227,-0.00949056812618227
AGUAS ANDINAS,0,0.0150568712989317,-0.0150568712989317
CENCOSUD SHOPPING,0,0.0192737743766665,-0.0192737743766665
ITAUCORP,0,0.0213475313128042,-0.0213475313128042
ENEL AMERICAS,0,0.0243633179011858,-0.0243633179011858
ENEL CHILE,0,0.0285639484828622,-0.0285639484828622
CENCOSUD,0.027349722146974606,0.0579687928735424,-0.030619070726567797
COPEC,0,0.0452540802753084,-0.0452540802753084
FALABELLA,0.03423356946849765,0.0837376153410406,-0.04950404587254295
BANCO CHILE,0.0773323871183987,0.131522304266259,-0.0541899171478603
BANCO SANTANDER,0.017455082644184588,0.0732088107451137,-0.055753728100929115
LATAM AIRLINES,0.05590541896773175,0.119302301671048,-0.06339688270331625
