COMPANIES (PIONERO),% PORTFOLIO,% IGPA Small Cap,OVERWEIGHT/UNDERWEIGHT
PUCOBRE,0.19537087103074144,0,0.19537087103074144
ENAEX,0.12303208220878843,0,0.12303208220878843
NORTEGRANDE,0.07561082617268655,0,0.07561082617268655
BLUMAR,0.05765887706889639,0,0.05765887706889639
SIGDO KOPPERS,0.05553283399731418,0,0.05553283399731418
EMBOTELLADORA ANDINA,0.04865086465768615,0,0.04865086465768615
BICECORP,0.04433182706855238,0,0.04433182706855238
WATTS,0.04035460267057879,0,0.04035460267057879
ALMENDRAL,0.0434221410523168,0.0164664541,0.0269556869523168
ECHEVERRIA IZQUIERDO,0.026137951961326202,0,0.026137951961326202
MULTIEXPORT FOODS,0.015023585865653912,0,0.015023585865653912
QUINENCO,0.01452427095595531,0,0.01452427095595531
FORUS,0.03856424273965471,0.0275737726,0.01099047013965471
ENTEL,0.009876624738847404,0,0.009876624738847404
ORO BLANCO,0.009720307894239562,0,0.009720307894239562
TRICOT,0.009237135028402756,0,0.009237135028402756
CRISTALERIAS CHILE,0.009054163564264724,0,0.009054163564264724
CAMANCHACA,0.008047029587474575,0,0.008047029587474575
FEPASA,0.005779367161699669,0,0.005779367161699669
SOCOVESA,0.003460288790328442,0,0.003460288790328442
EDELPA,0.0031521023774616374,0,0.0031521023774616374
LA POLAR,0,0.0053429586,-0.0053429586
SAAM,0.06688015936914811,0.0724296656,-0.005549506230851889
AAISA,0,0.0104491639,-0.0104491639
CLINICA LAS CONDES,0,0.013211751,-0.013211751
INGEVEC,0,0.0151886492,-0.0151886492
NATURGY,0,0.0154124851,-0.0154124851
INVERCAP,0,0.0155123321,-0.0155123321
SONDA,0,0.0174850577,-0.0174850577
EMBONOR,0.02844235870258124,0.04792811,-0.019485751297418762
INDISA,0,0.0296740483,-0.0296740483
BANVIDA,0,0.0329788325,-0.0329788325
NUAM,0,0.0449026425,-0.0449026425
INVERSIONES LA CONSTRUCCION,0.04524680737164813,0.0940968342,-0.04885002682835188
BESALCO,0,0.0532803017,-0.0532803017
SALFACORP,0.022888677963752588,0.0771639792,-0.05427530123624741
SMU,0,0.055040808,-0.055040808
CONCHA Y TORO,0,0.063096909,-0.063096909
RIPLEY,0,0.0642526143,-0.0642526143
CAP,0,0.0666254107,-0.0666254107
INVERSIONES AGUAS METROPOLITANAS,0,0.0747059947,-0.0747059947
ENGIE ENERGIA CHILE,0,0.0871812251,-0.0871812251
