COMPANIES (PIONERO),% PORTFOLIO,% IGPA Small Cap,OVERWEIGHT/UNDERWEIGHT
PUCOBRE,0.2153836166370533,0,0.2153836166370533
ENAEX,0.11899453928047961,0,0.11899453928047961
NORTEGRANDE,0.0754910764989804,0,0.0754910764989804
BLUMAR,0.056090498585729905,0,0.056090498585729905
SIGDO KOPPERS,0.051012184386598894,0,0.051012184386598894
EMBOTELLADORA ANDINA,0.04626027835694164,0,0.04626027835694164
BICECORP,0.04350158990309297,0,0.04350158990309297
WATTS,0.03804299309814975,0,0.03804299309814975
ALMENDRAL,0.047720513459660205,0.0175311151,0.030189398359660204
ECHEVERRIA IZQUIERDO,0.024891158516265326,0,0.024891158516265326
MULTIEXPORT FOODS,0.014512287713106507,0,0.014512287713106507
QUINENCO,0.014160780912923327,0,0.014160780912923327
ENTEL,0.011632500708881333,0,0.011632500708881333
FORUS,0.036640303094722826,0.0270413832,0.009598919894722825
ORO BLANCO,0.009561936002179803,0,0.009561936002179803
TRICOT,0.009518306960358686,0,0.009518306960358686
CRISTALERIAS CHILE,0.008521506457992593,0,0.008521506457992593
CAMANCHACA,0.008263366423514985,0,0.008263366423514985
FEPASA,0.005439366567875063,0,0.005439366567875063
SOCOVESA,0.0037635891369714506,0,0.0037635891369714506
EDELPA,0.002966663963505995,0,0.002966663963505995
CINTAC,0.0005987183218682097,0,0.0005987183218682097
SAAM,0.06467812177661246,0.0695987102,-0.004920588423387537
LA POLAR,0,0.0052527227,-0.0052527227
AAISA,0,0.010915352,-0.010915352
CLINICA LAS CONDES,0,0.0124389642,-0.0124389642
NATURGY,0,0.0149446902,-0.0149446902
INVERCAP,0,0.0164178794,-0.0164178794
SONDA,0,0.0169043606,-0.0169043606
INGEVEC,0,0.0171958387,-0.0171958387
EMBONOR,0.02615205639109276,0.0464093033,-0.020257246908907244
INDISA,0,0.0295068064,-0.0295068064
BANVIDA,0,0.0319634218,-0.0319634218
NUAM,0,0.0432540505,-0.0432540505
INVERSIONES LA CONSTRUCCION,0.04603534885493992,0.0963899291,-0.05035458024506007
BESALCO,0,0.0526901264,-0.0526901264
SMU,0,0.0557309455,-0.0557309455
SALFACORP,0.02016669799050212,0.078911111,-0.058744413009497884
CONCHA Y TORO,0,0.0611053979,-0.0611053979
RIPLEY,0,0.0660561728,-0.0660561728
CAP,0,0.0697982367,-0.0697982367
INVERSIONES AGUAS METROPOLITANAS,0,0.0748461997,-0.0748461997
ENGIE ENERGIA CHILE,0,0.0850972823,-0.0850972823
