COMPANIES (MSCLUX),% PORTFOLIO,% MSLUELAN,OVERWEIGHT/UNDERWEIGHT
LOCAWEB,0.04180721319931158,0,0.04180721319931158
MINSUR,0.03601544286004024,0,0.03601544286004024
CYRELA,0.044519296278604535,0.0132372359,0.03128206037860454
MULTIPLAN,0.04655927109963721,0.0180962978,0.028462973299637206
MOURA DUBEUX ENGENHARIA,0.02515400908841428,0,0.02515400908841428
MILLS ESTRUTURAS,0.02287640097550718,0,0.02287640097550718
ENTEL,0.02941540368617519,0.0070746429,0.02234076078617519
MARCOPOLO,0.03142146156054655,0.010068411,0.021353050560546552
VIVARA,0.026194625358838673,0.0060294309,0.020165194458838673
CCU,0.02833581448644838,0.0082887132,0.020047101286448377
MALL PLAZA,0.01916478612177789,0,0.01916478612177789
COGNA EDUCACAO,0.03382198634451375,0.015469422,0.01835256434451375
GRUPO SPORTS,0.017330750436479768,0,0.017330750436479768
DLOCAL,0.015523248542894125,0,0.015523248542894125
INTERCORP,0.028926882528744233,0.0141355139,0.014791368628744233
FERREYROS,0.013982673640505448,0,0.013982673640505448
PAMPA ENERGIA,0.01355815236431675,0,0.01355815236431675
C&A MODAS,0.017303350233786086,0.0042396644,0.013063685833786087
BRAVA ENERGIA,0.02453758480028607,0.0115687891,0.01296879570028607
FLEURY,0.018508926239132223,0.006740302,0.011768624239132223
M DIAS BRANCO,0.014073892718187533,0.0027727025,0.011301190218187533
GRUPO SBF,0.011267724164075807,0,0.011267724164075807
VULCABRAS AZALEIA,0.012193578675616054,0.0023715286,0.009822050075616054
CURY CONSTRUTORA E INCORPORADORA,0.017941013540220034,0.0083044704,0.009636543140220034
DIRECIONAL ENGENHARIA,0.017280075657153535,0.0077732951,0.009506780557153535
FARM PAGUE MENOS,0.008825552182306969,0,0.008825552182306969
ANDINO INVEST HOLDING,0.008795901626333844,0,0.008795901626333844
CENCOSUD SHOPPING,0.008266581652795962,0,0.008266581652795962
CAMANCHACA,0.008052726687492035,0,0.008052726687492035
OPERADORA SITES MEXICANOS,0.008004929719527,0,0.008004929719527
BANCO SANTANDER BRASIL,0.007047186880322583,0,0.007047186880322583
LOMA NEGRA,0.0069395250285141635,0,0.0069395250285141635
ULTRAPAR,0.006824500320917631,0,0.006824500320917631
SALFACORP,0.0055370327022222525,0,0.0055370327022222525
GENTERA,0.03191972628267756,0.0268483803,0.005071345982677559
BRADESPAR,0.014366580641359495,0.0100043022,0.004362278441359495
GBM,0.003460147586570493,0,0.003460147586570493
ORIZON VALORIZACAO DE RESIDUOS,0.009072675493933615,0.0058927502,0.0031799252939336154
GRUPO TRAXION,0.00285348654619431,0,0.00285348654619431
GRUPO CEMENTOS CHIHUAHUA,0.018130174252287936,0.0158585825,0.0022715917522879367
COPA HOLDINGS,0.0018983567537393068,0,0.0018983567537393068
COSAN,0.014128025553573391,0.0125128164,0.0016152091535733912
CONSTELLATION,0.0015674492076575657,0,0.0015674492076575657
GRUPO MATEUS,0.0055099797902808,0.0044531672,0.0010568125902807998
PAGSEGURO DIGITAL,0.017052924417335896,0.0161710366,0.0008818878173358947
GENOMMA LAB,0.006395951023258315,0.0058248974,0.0005710536232583149
INTER & CO,0.01993432817871253,0.0194679271,0.0004664010787125278
SMARTFIT,0.014972076295895868,0.014603602,0.0003684742958958674
INVERSIONES LA CONSTRUCCION,0.007978755962289015,0.0076213998,0.00035735616228901434
PROCAPS,1.2548999501107353e-05,0,1.2548999501107353e-05
CAP,0.00535791744812266,0.0055422616,-0.00018434415187734005
ITAUCORP,0.01738394921863335,0.0180016974,-0.0006177481813666487
MEGACABLE,0.013526677802292027,0.014327329,-0.0008006511977079727
EMBOTELLADORA ANDINA,0.015883664972372317,0.0173597188,-0.0014760538276276831
VTEX,0,0.0016456387,-0.0016456387
TRES TENTOS AGROINDUSTRIAL,0.0015963854666474987,0.0034223438,-0.0018259583333525011
AFYA,0,0.0019422424,-0.0019422424
INTELBRAS,0,0.0019975235,-0.0019975235
FERBASA,0,0.0022747706,-0.0022747706
LOJAS RENNER,0.02231954074803763,0.0247582145,-0.0024386737519623697
PETRORECONCAVO,0,0.002457846,-0.002457846
GRENDENE,0,0.002579468,-0.002579468
VINCI PARTNERS INVESTMENTS,0,0.0026742008,-0.0026742008
FRAS-LE,0,0.0028049208,-0.0028049208
BRASKEM,0,0.0028819443,-0.0028819443
ENGIE ENERGIA CHILE,0.004402517054236562,0.0073369974,-0.0029344803457634376
MAHLE-METAL LEVE,0,0.0030681337,-0.0030681337
VAMOS,0,0.003196841,-0.003196841
SIMPAR,0,0.0033668628,-0.0033668628
SAO PAULO ALPARGATAS,0,0.0036589631,-0.0036589631
BANCO ABC BRASIL,0,0.0037251545,-0.0037251545
