COMPANIES (ORANGE),% PORTFOLIO,% FTSE Orange,OVERWEIGHT/UNDERWEIGHT
ENTEL,0.06394992586725882,0,0.06394992586725882
QUINENCO,0.08403552663393908,0.0201700720574777,0.06386545457646138
BCI,0.1427363703956066,0.0801057843661996,0.062630586029407
ANTARCHILE,0.04680423138906503,0,0.04680423138906503
MERCADOLIBRE,0.03866012408786339,0,0.03866012408786339
NORTEGRANDE,0.03780439153321119,0,0.03780439153321119
ENEL GENERACION CHILE,0.026050991391582564,0,0.026050991391582564
COLBUN,0.041528868868236285,0.0162784418207914,0.025250427047444884
FORUS,0.02081194614382511,0,0.02081194614382511
CCU,0.027990432611279516,0.0119955415645051,0.015994891046774415
CMPC,0.039444046465762286,0.0238696799013536,0.015574366564408686
ALMENDRAL,0.015217281028213186,0,0.015217281028213186
EMBOTELLADORA ANDINA,0.03417473843048954,0.0291713377203278,0.0050034007101617435
SOQUIMICH,0.13130899690213654,0.135953791648287,-0.004644794746150455
VAPORES,0,0.0095788281968542,-0.0095788281968542
MALL PLAZA,0.03371372703420932,0.0457397781830723,-0.01202605114886298
AGUAS ANDINAS,0,0.0158931324890482,-0.0158931324890482
CENCOSUD SHOPPING,0,0.0192339293396217,-0.0192339293396217
ITAUCORP,0,0.0217049669501041,-0.0217049669501041
ENEL AMERICAS,0,0.0236107030240195,-0.0236107030240195
ENEL CHILE,0,0.0284173516599622,-0.0284173516599622
CENCOSUD,0.028702014772333057,0.0615039813938765,-0.032801966621543444
COPEC,0,0.0440426506032016,-0.0440426506032016
FALABELLA,0.035310545868263384,0.0861580005585484,-0.05084745469028502
BANCO CHILE,0.07720040938987256,0.130972576817381,-0.05377216742750844
BANCO SANTANDER,0.0179522003339658,0.0751072575548689,-0.0571550572209031
LATAM AIRLINES,0.05660323085288673,0.120492194150499,-0.06388896329761226
