COMPANIES (MERCER),% PORTFOLIO,% M1LAIM,OVERWEIGHT/UNDERWEIGHT
MULTIPLAN,0.0365024455119282,0.0020836844,0.0344187611119282
GRUPO MEXICO,0.068264705563216,0.037032519,0.031232186563215997
MERCADOLIBRE,0.029673814916649447,0,0.029673814916649447
GENTERA,0.031094335164311496,0.003447068,0.027647267164311495
B3,0.040461802398056794,0.0175234672,0.022938335198056794
MILLS ESTRUTURAS,0.02059080874101733,0,0.02059080874101733
BANCO BTG PACTUAL,0.03343558647350935,0.0136108184,0.01982476807350935
CREDICORP,0.03937803267258275,0.0222081085,0.017169924172582746
ITAU,0.06626457450069016,0.049981396,0.016283178500690165
DIRECIONAL ENGENHARIA,0.016647376433926383,0.0010438417,0.015603534733926384
INVERSIONES LA CONSTRUCCION,0.015604856765219749,0.0008084346,0.01479642216521975
LOCAWEB,0.014767830491068482,0,0.014767830491068482
VIVARA,0.014805265992762863,0.0007377487,0.014067517292762862
EQUATORIAL ENERGIA,0.021886683453783667,0.0093192214,0.012567462053783668
GRUPO FINANCIERO BANORTE,0.04244615177497603,0.0301255032,0.012320648574976029
CYRELA,0.013347453791373653,0.0015695377,0.011777916091373653
VISTA OIL & GAS,0.011040651048895407,0,0.011040651048895407
FLEURY,0.011345711383484239,0.0008221277,0.01052358368348424
ITAUCORP,0.01211317751994871,0.0019943284,0.01011884911994871
DLOCAL,0.008694911789615007,0,0.008694911789615007
PETRO RIO,0.016912677254276604,0.0085292029,0.008383474354276605
REDE DOR SAO LUIZ,0.014357322740628644,0.0065139424,0.007843380340628644
AXIA ENERGIA,0.027693920231192815,0.020282365099999998,0.007411555131192817
KIMBERLY-CLARK MEXICO,0.010960764252898872,0.0036600669,0.007300697352898872
COSAN,0.008524300919270353,0.0015017974,0.007022503519270353
CCU,0.007720997290300289,0.0009397059,0.0067812913903002895
BRAVA ENERGIA,0.007842768224994096,0.0012528838,0.006589884424994096
OPERADORA SITES MEXICANOS,0.006292870063996958,0,0.006292870063996958
INTERCORP,0.007564213742328867,0.0015867978,0.005977415942328867
NUBANK,0.06258918412967795,0.0569351417,0.005654042429677958
BUENAVENTURA,0.011272373467476345,0.006248566,0.005023807467476345
AGI INC,0.004935191303709904,0,0.004935191303709904
WAL-MART MEXICO,0.022521385883950144,0.0176328595,0.004888526383950143
GRUPO CEMENTOS CHIHUAHUA,0.006702504949524703,0.001946556,0.004755948949524703
M DIAS BRANCO,0.004385924909139052,0.000324566,0.0040613589091390515
VULCABRAS AZALEIA,0.00369178187980127,0.000272878,0.00341890387980127
GRUPO AEROPORTUARIO SURESTE,0.009993324016447631,0.0066540292,0.0033392948164476313
GRUPO SPORTS,0.003317574788035403,0,0.003317574788035403
RUMO LOGISTICA,0.007293602833538398,0.0040269583,0.0032666445335383975
SOQUIMICH,0.013196526419563882,0.0101564016,0.003040124819563882
COGNA EDUCACAO,0.004345051210678396,0.0013611176,0.0029839336106783957
FERREYROS,0.002628670216334054,0,0.002628670216334054
ENTEL,0.0030176454444230216,0.0006559109,0.0023617345444230217
GRUPO TRAXION,0.00204735932554502,0,0.00204735932554502
C&A MODAS,0.002542942707593253,0.0005287968,0.002014145907593253
GLOBANT,0.0011337908125804283,0,0.0011337908125804283
PARQUE ARAUCO,0.0038408586323630954,0.0027660997,0.0010747589323630955
GRUPO MATEUS,0.0015328714657483827,0.0005795328,0.0009533386657483827
MEGACABLE,0.0026470174383373913,0.0017757971,0.0008712203383373913
TOTVS,0.004339356623137577,0.003909673,0.0004296836231375773
ALSEA,0.0020924735185015265,0.0017443581,0.0003481154185015266
LOCALIZA RENT A CAR,0.0003271598080020239,0,0.0003271598080020239
BANCO CHILE,0.010062096297109444,0.0098460959,0.00021600039710944346
BANCO DO BRASIL,0.008380901122680843,0.0083318062,4.9094922680842715e-05
PROCAPS,7.966237190187262e-06,0,7.966237190187262e-06
MARCOPOLO,0.001119688503192194,0.0011500267,-3.0338196807805926e-05
VTEX,0,0.0001917022,-0.0001917022
LOCALIZA,0.008822180296457746,0.0090209013,-0.00019872100354225396
AFYA,0,0.0002103221,-0.0002103221
INTELBRAS,0,0.0002335608,-0.0002335608
FERBASA,0,0.0002453022,-0.0002453022
PETRORECONCAVO,0,0.000273063,-0.000273063
GRENDENE,0,0.0002876294,-0.0002876294
VINCI PARTNERS INVESTMENTS,0,0.0003018782,-0.0003018782
FRAS-LE,0,0.0003212079,-0.0003212079
BRASKEM,0,0.0003540741,-0.0003540741
MAHLE-METAL LEVE,0,0.0003628545,-0.0003628545
TRES TENTOS AGROINDUSTRIAL,0,0.0003786146,-0.0003786146
SIMPAR,0,0.000381997,-0.000381997
VAMOS,0,0.0004051226,-0.0004051226
VALE,0.05980520442177113,0.0602245537,-0.0004193492782288699
BANCO ABC BRASIL,0,0.0004327915,-0.0004327915
SAO PAULO ALPARGATAS,0,0.0004428097,-0.0004428097
SAO MARTINHO,0,0.0004580335,-0.0004580335
HIDROVIAS DO BRASIL,0,0.0004619792,-0.0004619792
MINEROS,0,0.0004836496,-0.0004836496
MINERVA,0,0.0004905153,-0.0004905153
DEXCO,0,0.0004930191,-0.0004930191
RIPLEY,0,0.0005065491,-0.0005065491
DANHOS,0,0.0005068584,-0.0005068584
CAP,0,0.0005438216,-0.0005438216
INVERSIONES AGUAS METROPOLITANAS,0,0.0005588258,-0.0005588258
LACOMER,0,0.0005632601,-0.0005632601
SMU,0,0.0005867873,-0.0005867873
USIMINAS,0,0.0005937415,-0.0005937415
FALABELLA,0.0040309714901766444,0.0046299367,-0.0005989652098233557
SLC AGRICOLA,0,0.0006041113,-0.0006041113
ODONTOPREV,0,0.0006173452,-0.0006173452
AZZAS 2154,0,0.0006261482,-0.0006261482
CONCHA Y TORO,0,0.0006324836,-0.0006324836
IRB BRASIL RESSEGUROS,0,0.0006443157,-0.0006443157
HAPVIDA,0,0.0006475146,-0.0006475146
ORIZON VALORIZACAO DE RESIDUOS,0,0.000650228,-0.000650228
UNIPAR PARTICIPACOES,0,0.0006828776,-0.0006828776
ECORODOVIAS,0,0.0006893773,-0.0006893773
BANCO EST. RIO GRANDE DO SUL,0,0.0007121205,-0.0007121205
GENOMMA LAB,0,0.0007289502,-0.0007289502
MRV ENGENHARIA,0,0.0007350369,-0.0007350369
MAGAZINE LUIZA,0,0.000756363,-0.000756363
ENGIE ENERGIA CHILE,0,0.0007994236,-0.0007994236
AUREN ENERGIA,0,0.0008154932,-0.0008154932
SIGMA LITHIUM,0,0.0008155735,-0.0008155735
VAPORES,0,0.0008332434,-0.0008332434
ALPEK,0,0.0008378274,-0.0008378274
RAIA DROGASIL,0.005621169648667705,0.0064994632,-0.0008782935513322945
BOLSA MEXICANA,0,0.0009172746,-0.0009172746
PATRIA INVESTMENTS,0,0.0009236,-0.0009236
CSN,0,0.000992784,-0.000992784
VOLARIS,0,0.0010015614,-0.0010015614
ORBIA,0,0.0010765306,-0.0010765306
ALUPAR,0,0.0011244221,-0.0011244221
CURY CONSTRUTORA E INCORPORADORA,0,0.0011346996,-0.0011346996
AGUAS ANDINAS,0,0.0011373292,-0.0011373292
BRADESPAR,0,0.0011614497,-0.0011614497
IGUATEMI,0,0.0011732,-0.0011732
COLBUN,0,0.001303583,-0.001303583
HYPERMARCAS,0,0.0014068073,-0.0014068073
TELEVISA,0,0.0015129606,-0.0015129606
TRANSMISSORA ALIANCA DE ENERGIA ELETRICA,0,0.0015419258,-0.0015419258
NATURA,0,0.0015647521,-0.0015647521
SMARTFIT,0,0.0015783008,-0.0015783008
GPS,0,0.0016036649,-0.0016036649
GRUPO ARGOS,0,0.0016284395,-0.0016284395
MACQUARIE MEXICO,0,0.0017133625,-0.0017133625
PAGSEGURO DIGITAL,0,0.0017553873,-0.0017553873
CMPC,0,0.0017791453,-0.0017791453
ENGIE BRASIL ENERGIA,0,0.001834017,-0.001834017
ENEL AMERICAS,0,0.0018559643,-0.0018559643
PORTO SEGURO,0,0.001885261,-0.001885261
REGIONAL,0.0004045578119695933,0.0023106512,-0.0019060933880304066
EMBOTELLADORA ANDINA,0,0.0019070026,-0.0019070026
QUALITAS CONTROLADORA,0,0.0020005911,-0.0020005911
CIA DE SANEAMENTO DO PARANA,0,0.0020038726,-0.0020038726
