COMPANIES (ORANGE),% PORTFOLIO,% FTSE Orange,OVERWEIGHT/UNDERWEIGHT
QUINENCO,0.08246266735641954,0.0193708746770578,0.06309179267936174
BCI,0.137044019290141,0.0752725527645962,0.06177146652554481
ENTEL,0.0535018196829761,0,0.0535018196829761
ANTARCHILE,0.04785708234910606,0,0.04785708234910606
MERCADOLIBRE,0.041920658874487704,0,0.041920658874487704
NORTEGRANDE,0.03904600226173981,0,0.03904600226173981
ENEL GENERACION CHILE,0.02716855656482179,0,0.02716855656482179
COLBUN,0.04272849158978026,0.0163918367501139,0.02633665483966636
FORUS,0.02048260899630013,0,0.02048260899630013
CMPC,0.04396374077520972,0.024062798502811,0.019900942272398716
CCU,0.02996803517180342,0.01256943764157,0.01739859753023342
ALMENDRAL,0.014152193372233182,0,0.014152193372233182
EMBOTELLADORA ANDINA,0.03400228790362074,0.0284057732194193,0.005596514684201439
SOQUIMICH,0.1359157905039304,0.137725413554718,-0.0018096230507876065
VAPORES,0,0.009490820608415,-0.009490820608415
MALL PLAZA,0.035622056289103116,0.0474664310599757,-0.011844374770872586
AGUAS ANDINAS,0,0.0154566476266132,-0.0154566476266132
CENCOSUD SHOPPING,0,0.019354491400199,-0.019354491400199
ITAUCORP,0,0.0213902826981528,-0.0213902826981528
ENEL AMERICAS,0,0.0235047981341745,-0.0235047981341745
ENEL CHILE,0,0.028680706288178,-0.028680706288178
FALABELLA,0.04462634359859366,0.0848878520134761,-0.040261508414882435
COPEC,0,0.0458793027674968,-0.0458793027674968
CENCOSUD,0.011066699211394422,0.0614917076121726,-0.050425008400778175
BANCO CHILE,0.07812488213919148,0.13238703857835,-0.05426215643915851
BANCO SANTANDER,0.0182131141063664,0.0745754282922457,-0.056362314185879295
LATAM AIRLINES,0.06213294996278103,0.121635805810264,-0.059502855847482966
