COMPANIES (GLORY),% PORTFOLIO,% GDUEEGFL,OVERWEIGHT/UNDERWEIGHT
MULTIPLAN,0.033702316962118756,0,0.033702316962118756
GENTERA,0.03153676638479662,0,0.03153676638479662
MERCADOLIBRE,0.029624172348410884,0,0.029624172348410884
B3,0.0459447313381649,0.0195535253,0.026391206038164902
GRUPO MEXICO,0.0653818222729598,0.0423859593,0.022995862972959802
CREDICORP,0.04598899063916645,0.0271453476,0.018843643039166448
LOCAWEB,0.017044566292038262,0,0.017044566292038262
VISTA OIL & GAS,0.015739874226422965,0,0.015739874226422965
ITAUCORP,0.01536318773703105,0,0.01536318773703105
DIRECIONAL ENGENHARIA,0.014389724336865521,0,0.014389724336865521
VIVARA,0.014136184080153862,0,0.014136184080153862
BANCO BTG PACTUAL,0.029860154096172126,0.0157395286,0.014120625496172125
EQUATORIAL ENERGIA,0.02388329617018222,0.0106265566,0.013256739570182221
ITAU,0.06894036847554799,0.0559260867,0.01301428177554799
GRUPO FINANCIERO BANORTE,0.04745661007534239,0.0347683951,0.012688214975342386
M DIAS BRANCO,0.010288921068984538,0,0.010288921068984538
PETRO RIO,0.019299914435882415,0.0093937866,0.009906127835882414
DLOCAL,0.009729179352865693,0,0.009729179352865693
CYRELA,0.009344139257586733,0,0.009344139257586733
MILLS ESTRUTURAS,0.00888890606736053,0,0.00888890606736053
COSAN,0.008108323981871697,0,0.008108323981871697
LOJAS RENNER,0.007797125886625697,0,0.007797125886625697
LOCALIZA,0.017751575424742382,0.0102258361,0.007525739324742382
INVERSIONES LA CONSTRUCCION,0.007515584811434557,0,0.007515584811434557
BRAVA ENERGIA,0.007432831952138312,0,0.007432831952138312
GRUPO CEMENTOS CHIHUAHUA,0.006824825829068557,0,0.006824825829068557
PARQUE ARAUCO,0.006468822957655398,0,0.006468822957655398
WAL-MART MEXICO,0.02610727575023611,0.0200807062,0.006026569550236109
FLEURY,0.006016782794043323,0,0.006016782794043323
GRUPO MATEUS,0.005025910118456479,0,0.005025910118456479
ENTEL,0.004764977414422424,0,0.004764977414422424
VULCABRAS AZALEIA,0.004271944963130368,0,0.004271944963130368
COGNA EDUCACAO,0.004252159755170498,0,0.004252159755170498
AXIA ENERGIA,0.026951029136952243,0.0228805159,0.004070513236952244
BUENAVENTURA,0.011006977648935034,0.0069402101,0.0040667675489350335
INTERCORP,0.003969615166146333,0,0.003969615166146333
GRUPO AEROPORTUARIO SURESTE,0.011350170147565411,0.0075476914,0.0038024787475654112
GRUPO TRAXION,0.003755772211143261,0,0.003755772211143261
MINSUR,0.003686267884352183,0,0.003686267884352183
