COMPANIES (MSCLUX),% PORTFOLIO,% MSLUELAN,OVERWEIGHT/UNDERWEIGHT
LOCAWEB,0.03881079308284082,0,0.03881079308284082
MINSUR,0.03428332677333089,0,0.03428332677333089
CYRELA,0.0395313011219326,0.0116573156,0.027873985521932598
VIVARA,0.03335098807621752,0.0070395098,0.026311478276217524
MULTIPLAN,0.04222180486109095,0.0167549492,0.02546685566109095
ENTEL,0.0309547886184605,0.0076011677,0.0233536209184605
MILLS ESTRUTURAS,0.02251928584028611,0,0.02251928584028611
MARCOPOLO,0.031158886738722958,0.0098796452,0.02127924153872296
GRUPO SPORTS,0.020476455350620055,0,0.020476455350620055
CCU,0.028272251841023614,0.0084437345,0.019828517341023616
MALL PLAZA,0.018207866401652246,0,0.018207866401652246
DLOCAL,0.018200413971004976,0,0.018200413971004976
DIRECIONAL ENGENHARIA,0.024709278674258768,0.0082454926,0.016463786074258767
COGNA EDUCACAO,0.029455360849838644,0.0133001621,0.016155198749838645
INTERCORP,0.028778031467061253,0.0139971703,0.014780861167061253
FERREYROS,0.014074559416683707,0,0.014074559416683707
PAMPA ENERGIA,0.013907622449497092,0,0.013907622449497092
BRAVA ENERGIA,0.023290227869274236,0.0108404554,0.012449772469274235
C&A MODAS,0.01629426846608829,0.0040762321,0.01221803636608829
FLEURY,0.018587061473351665,0.0066823076,0.011904753873351666
M DIAS BRANCO,0.0146735013490711,0.002908299,0.0117652023490711
VULCABRAS AZALEIA,0.014353947027540913,0.0027560446,0.011597902427540913
GRUPO SBF,0.010990294587121209,0,0.010990294587121209
ANDINO INVEST HOLDING,0.009358318213315222,0,0.009358318213315222
FARM PAGUE MENOS,0.008945604796722467,0,0.008945604796722467
CAMANCHACA,0.008127088860674014,0,0.008127088860674014
LOMA NEGRA,0.007985662047875826,0,0.007985662047875826
OPERADORA SITES MEXICANOS,0.007912804399436507,0,0.007912804399436507
CENCOSUD SHOPPING,0.007833450282552926,0,0.007833450282552926
MOURA DUBEUX ENGENHARIA,0.0072220553929386614,0,0.0072220553929386614
BANCO SANTANDER BRASIL,0.006892910475995603,0,0.006892910475995603
ULTRAPAR,0.005968842362624624,0,0.005968842362624624
SALFACORP,0.005219101044253005,0,0.005219101044253005
GENTERA,0.03172311358653734,0.0271945903,0.004528523286537335
BRADESPAR,0.01365700196333271,0.0093887234,0.004268278563332711
GBM,0.003522243652120523,0,0.003522243652120523
ORIZON VALORIZACAO DE RESIDUOS,0.009433336574590202,0.0060487573,0.0033845792745902025
GRUPO TRAXION,0.0029421634047520095,0,0.0029421634047520095
COPA HOLDINGS,0.002006416012648653,0,0.002006416012648653
GLOBANT,0.001912818732274317,0,0.001912818732274317
FRAS-LE,0.0045303748724229735,0.0029080984,0.0016222764724229733
GRUPO COMERCIAL CHEDRAUI,0.001382065858342561,0,0.001382065858342561
GRUPO CEMENTOS CHIHUAHUA,0.017713666193675433,0.0163943998,0.001319266393675432
GRUPO MATEUS,0.0056721118329229655,0.0043795589,0.0012925529329229652
COSAN,0.012914657344237716,0.0116782898,0.001236367544237716
PAGSEGURO DIGITAL,0.017177483482054435,0.0160811061,0.0010963773820544358
GENOMMA LAB,0.007212289868700763,0.0064418533,0.0007704365687007638
INTER & CO,0.020729715963715343,0.0199861518,0.000743564163715342
INVERSIONES LA CONSTRUCCION,0.007472323017345698,0.0070464537,0.00042586931734569806
SMARTFIT,0.016334884480723174,0.016267349,6.753548072317359e-05
PROCAPS,1.3362925510670193e-05,0,1.3362925510670193e-05
CAP,0.00562512079174624,0.0057443462,-0.00011922540825376037
ITAUCORP,0.01669967900133128,0.0170722751,-0.0003725960986687184
