COMPANIES (MLE (LX)),% PORTFOLIO,% MN40LAU,OVERWEIGHT/UNDERWEIGHT
MERCADOLIBRE,0.04374617874155053,0,0.04374617874155053
MULTIPLAN,0.03736559855995059,0,0.03736559855995059
GRUPO MEXICO,0.07619330908402895,0.041919522844061,0.03427378623996795
LOCALIZA,0.043948976923192135,0.010211346411904,0.033737630511288134
PETRO RIO,0.039314833738531785,0.009654760826452,0.029660072912079782
BANCO BTG PACTUAL,0.04423694354240738,0.015406972778148,0.028829970764259374
LOJAS RENNER,0.027275010348267587,0,0.027275010348267587
AEROMEXICO,0.024472113220606318,0,0.024472113220606318
NUBANK,0.08580101378423666,0.064448599180768,0.021352414603468664
GRUPO FINANCIERO BANORTE,0.05468280334651541,0.034101021311398,0.02058178203511741
LOCAWEB,0.019938972021411025,0,0.019938972021411025
EQUATORIAL ENERGIA,0.028059531371821673,0.010549034341714001,0.017510497030107673
B3,0.03655391380795274,0.019835955125137,0.01671795868281574
DLOCAL,0.0161362776299354,0,0.0161362776299354
VISTA OIL & GAS,0.0157274067166286,0,0.0157274067166286
TRANSPORTADORA GAS SUR,0.015346299461089303,0,0.015346299461089303
CREDICORP,0.03791944743831128,0.025138806021382,0.012780641416929278
GLOBANT,0.012454587143115791,0,0.012454587143115791
QUINENCO,0.011951006749752656,0,0.011951006749752656
KIMBERLY-CLARK MEXICO,0.01375710798232988,0.004143068414538,0.00961403956779188
CYRELA,0.009333026211877487,0,0.009333026211877487
COSAN,0.008569099876479122,0,0.008569099876479122
GRUPO AEROPORTUARIO SURESTE,0.016087311378592282,0.007532129484998,0.008555181893594282
SOQUIMICH,0.019690712493545648,0.011496693196972002,0.008194019296573646
AXIA ENERGIA,0.030534432436804124,0.023182689870822,0.007351742565982124
REDE DOR SAO LUIZ,0.011947484986066568,0.00737355607302,0.004573928913046569
EL PUERTO DE LIVERPOOL,0.004275111769270022,0,0.004275111769270022
FIBRA UNO,0.00901759639806255,0.005580884478419,0.003436711919643549
BUENAVENTURA,0.010263131338474934,0.007073159289955,0.003189972048519934
LOCALIZA RENT A CAR,0.0016685723068753124,0,0.0016685723068753124
RUMO LOGISTICA,0.006000136981384812,0.004558376616308,0.001441760365076812
GRUPO TRAXION,0.0010339504997063454,0,0.0010339504997063454
MINSUR,0.0009144792744375428,0,0.0009144792744375428
ITAU,0.05733252194930126,0.05657720098610999,0.0007553209631912666
TOTVS,0.004620832439729781,0.004425613754578,0.00019521868515178127
VIBRA ENERGIA,0.007441982093036631,0.007383468560226,5.851353281063117e-05
XP,0.008045816758168433,0.009038672641228,-0.0009928558830595673
CMPC,0,0.002013930619801,-0.002013930619801
ENGIE BRASIL ENERGIA,0,0.002076043422734,-0.002076043422734
ENEL AMERICAS,0,0.00210088695015,-0.00210088695015
PORTO SEGURO,0,0.002134049836517,-0.002134049836517
CAIXA SEGURIDADE PARTICIPACOES,0,0.002333639495353,-0.002333639495353
CPFL ENERGIA,0,0.002522409759321,-0.002522409759321
MBRF GLOBAL FOODS,0,0.002623666425648,-0.002623666425648
ENEL CHILE,0,0.002637015211777,-0.002637015211777
GRUPO COMERCIAL CHEDRAUI,0,0.002679365747983,-0.002679365747983
CIA PARANAENSE DE ENERGIA,0,0.0032895303029349997,-0.0032895303029349997
ENERGISA,0,0.0034125079339410004,-0.0034125079339410004
GRUMA,0,0.003563383943941,-0.003563383943941
MOTIVA INFRAESTRUTURA,0,0.0035666200151889997,-0.0035666200151889997
KLABIN,0,0.0036028700196840003,-0.0036028700196840003
PROMOTORA Y OPERADORA DE INF,0,0.003681745773183,-0.003681745773183
WAL-MART MEXICO,0.016240306045387384,0.019959783301259998,-0.0037194772558726136
COPEC,0,0.0037479315652849997,-0.0037479315652849997
MALL PLAZA,0,0.003806661143005,-0.003806661143005
INTERCONEXION ELECTRICA,0,0.0038998593264710003,-0.0038998593264710003
TELEFONICA BRASIL,0.0029608981090404113,0.007132514464139,-0.004171616355098589
ULTRAPAR,0,0.004221315957980001,-0.004221315957980001
STONECO,0,0.004247896398224,-0.004247896398224
ALFA,0,0.004313623770871,-0.004313623770871
CIA ENERGETICA MINAS GERAIS,0,0.004349833299888,-0.004349833299888
ENEVA,0,0.004479249863477999,-0.004479249863477999
GRUPO FINANCIERO INBURSA,0,0.00467454202885,-0.00467454202885
